Id,RelatedInvoice__c,RelatedInvoiceFreeeSyncStatus__c
a03RB00001UyZVrYAN,a00RB000023liu7YAA,Success
a03RB00001QugocYAB,a00RB000024Ux4BYAS,Success
a03RB00001NswjNYAR,a00RB000024Ux4BYAS,Success
a03RB00001NswjMYAR,a00RB000024Ux4BYAS,Success
a03RB00001NswjLYAR,a00RB000024Ux4BYAS,Success
a03RB00001NswjKYAR,a00RB000024Ux4BYAS,Success
a03RB00001NswjJYAR,a00RB000024Ux4BYAS,Success
a03RB00001NswjIYAR,a00RB000024Ux4BYAS,Success
a03RB00001NswjHYAR,a00RB000024Ux4BYAS,Success
a03RB00001NswjGYAR,a00RB000024Ux4BYAS,Success
a03RB00001NswjFYAR,a00RB000024Ux4BYAS,Success
a03RB00001NswjEYAR,a00RB000024Ux4BYAS,Success
a03RB00001NswjDYAR,a00RB000024Ux4BYAS,Success
a03RB00001NswjCYAR,a00RB000024Ux4BYAS,Success
a03RB00001QugokYAB,a00RB000024Ux4FYAS,Success
a03RB00001QugoYYAR,a00RB000024Ux4GYAS,Success
a03RB00001Uj0riYAB,a00RB000024Ux4HYAS,Success
a03RB00001QugoLYAR,a00RB000024Ux4HYAS,Success
a03RB00001QugomYAB,a00RB000024Ux4IYAS,Success
a03RB00001QugodYAB,a00RB000024Ux4JYAS,Success
a03RB00001RcABXYA3,a00RB000024Ux4NYAS,Success
a03RB00001NswcKYAR,a00RB000024Ux4NYAS,Success
a03RB00001NswcJYAR,a00RB000024Ux4NYAS,Success
a03RB00001NswcIYAR,a00RB000024Ux4NYAS,Success
a03RB00001NswcHYAR,a00RB000024Ux4NYAS,Success
a03RB00001NswcGYAR,a00RB000024Ux4NYAS,Success
a03RB00001NswcFYAR,a00RB000024Ux4NYAS,Success
a03RB00001NswcEYAR,a00RB000024Ux4NYAS,Success
a03RB00001NswcDYAR,a00RB000024Ux4NYAS,Success
a03RB00001NswcCYAR,a00RB000024Ux4NYAS,Success
a03RB00001NswcBYAR,a00RB000024Ux4NYAS,Success
a03RB00001NswcAYAR,a00RB000024Ux4NYAS,Success
