Id,Name,ContractYearMonth__c,RelatedInvoice__c,RelatedInvoice__r.Name,RelatedInvoice__r.Account__c,RelatedInvoice__r.Account__r.Name,RelatedInvoice__r.ParentContract__c,RelatedInvoice__r.Freee_Invoice_Id__c,RelatedInvoice__r.Freee_Invoice_Number__c,RelatedInvoice__r.Freee_Sync_Status__c,RelatedInvoice__r.Freee_Sync_Message__c,RelatedInvoice__r.Retry_Count__c,RelatedInvoice__r.Freee_Invoice_Status__c,RelatedInvoice__r.PaymentStatus__c,RelatedInvoice__r.CancelStatus__c,RelatedInvoice__r.Billing_Date__c,RelatedInvoice__r.LastModifiedDate
a03RB00001QugoWYAR,Mig_freee請求移行_株式会社アイ・キューブ_2026/03_INV-0000000042,2026/03,a00RB000024Ux4nYAC,INV-0000000042,001RB00001VTrlAYAT,株式会社アイ・キューブ,a04RB00000kVL7TYAW,53459621,INV-0000001027,Failed,"{""status_code"":429,""meta"":{""limit"":3000,""period"":86400,""remaining"":0,""reset"":""2026-07-04T09:00:00+09:00""}}",,送付待ち,決済待ち,通常,2026-03-27,2026-07-19T05:21:05.000+0000
a03RB00001QugoQYAR,Mig_freee請求移行_リユースせいわ 西和不動産株式会社 栗東店_2026/04_INV-0000000066,2026/04,a00RB000024Ux5BYAS,INV-0000000066,001RB00001VTtIZYA1,リユースせいわ 西和不動産株式会社 栗東店,a04RB00000kVL7QYAW,56527526,INV-0000001127,Failed,"{""status_code"":429,""meta"":{""limit"":3000,""period"":86400,""remaining"":0,""reset"":""2026-07-04T09:00:00+09:00""}}",,送付済み,決済待ち,通常,2026-04-20,2026-07-19T05:21:05.000+0000
a03RB00001QugoxYAB,Mig_freee請求移行_野村不動産株式会社_2026/04_INV-0000000068,2026/04,a00RB000024Ux5DYAS,INV-0000000068,001RB00001VTCYEYA5,野村不動産株式会社,a04RB00000kVL7jYAG,56826003,INV-0000001188,Failed,"{""status_code"":429,""meta"":{""limit"":3000,""period"":86400,""remaining"":0,""reset"":""2026-07-04T09:00:00+09:00""}}",,送付済み,決済待ち,通常,2026-04-22,2026-07-19T05:21:05.000+0000
a03RB00001QugoZYAR,Mig_freee請求移行_株式会社コスモスイニシア_2026/04_INV-0000000069,2026/04,a00RB000024Ux5EYAS,INV-0000000069,001RB00001VTqgBYAT,株式会社コスモスイニシア,a04RB00000kVL7VYAW,56841170,INV-0000001189,Failed,"{""status_code"":429,""meta"":{""limit"":3000,""period"":86400,""remaining"":0,""reset"":""2026-07-04T09:00:00+09:00""}}",,送付済み,決済待ち,通常,2026-04-22,2026-07-19T05:21:05.000+0000
a03RB00001QugoNYAR,Mig_freee請求移行_トヨタコニックプロ株式会社_2026/05_INV-0000000074,2026/05,a00RB000024Ux5JYAS,INV-0000000074,001RB00001VTrkUYAT,トヨタコニックプロ株式会社,a04RB00000kVL7OYAW,58268807,INV-0000001195,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-04T03:01:00+09:00""}}",,送付待ち,決済待ち,通常,2026-05-12,2026-07-24T10:37:57.000+0000
a03RB00001QugojYAB,Mig_freee請求移行_近鉄不動産株式会社_2026/05_INV-0000000103,2026/05,a00RB000024Vf1yYAC,INV-0000000103,001RB00001VTrvcYAD,近鉄不動産株式会社,a04RB00000kVL7cYAG,59295041,INV-0000001283,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-04T03:02:00+09:00""}}",,送付待ち,決済待ち,通常,2026-05-27,2026-07-19T05:21:05.000+0000
a03RB00001NswrPYAR,株式会社TAKUTO_2025/07,2025/07,a00RB000027fzNjYAI,INV-0000000152,001RB00001VTtIfYAL,株式会社TAKUTO,a04RB00000kUAQ0YAO,60861149,INV-0000001316,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswrQYAR,株式会社TAKUTO_2025/08,2025/08,a00RB000027fzNjYAI,INV-0000000152,001RB00001VTtIfYAL,株式会社TAKUTO,a04RB00000kUAQ0YAO,60861149,INV-0000001316,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswrRYAR,株式会社TAKUTO_2025/09,2025/09,a00RB000027fzNjYAI,INV-0000000152,001RB00001VTtIfYAL,株式会社TAKUTO,a04RB00000kUAQ0YAO,60861149,INV-0000001316,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswrSYAR,株式会社TAKUTO_2025/10,2025/10,a00RB000027fzNjYAI,INV-0000000152,001RB00001VTtIfYAL,株式会社TAKUTO,a04RB00000kUAQ0YAO,60861149,INV-0000001316,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
