"Id","Name","InvoiceWork__c","Description__c","Quantity__c","UnitPrice__c","LineAmount__c","SuggestedProductMaster__c","ConfirmedProductMaster__c","ProductResolveStatus__c","ImportStatus__c","CreatedInvoiceLine__c","ResolveMessage__c"
"a0ERB00000NrwqF2AR","MFILW-000050","a0FRB00000UtJta2AF","最終納品費","1","1670000","1670000",,"a0CRB0000CcXZ6x2QG","要確認","取得済み","a01RB00001VdyexYAB","Confirmed by migration rule: 受託開発"
"a0ERB00000Nrwrp2AB","MFILW-000051","a0FRB00000UtJvB2AV","【要件定義】 ヒアリング・仕様整理","1","1300000","1300000",,"a0CRB0000CcXZ6x2QG","要確認","取得済み","a01RB00001VdyeyYAB","Confirmed by migration rule: 受託開発"
"a0ERB00000Nrwrq2AB","MFILW-000052","a0FRB00000UtJvB2AV","【基本設計】UI設計・構成設計","2","1300000","2600000",,"a0CRB0000CcXZ6x2QG","要確認","反映済み","a01RB00001VdyezYAB","Confirmed by migration rule: 受託開発"
"a0ERB00000Nrwrr2AB","MFILW-000053","a0FRB00000UtJvB2AV","【詳細設計】 モジュール間IF仕様設計","1","1300000","1300000",,"a0CRB0000CcXZ6x2QG","要確認","取得済み","a01RB00001Vdyf0YAB","Confirmed by migration rule: 受託開発"
"a0ERB00000Nrwrs2AB","MFILW-000054","a0FRB00000UtJvB2AV","【実装】 インフラ構築/フロントエンド/バックエンド開発","4","1300000","5200000",,"a0CRB0000CcXZ6x2QG","要確認","反映済み","a01RB00001Vdyf1YAB","Confirmed by migration rule: 受託開発"
"a0ERB00000Nrwrt2AB","MFILW-000055","a0FRB00000UtJvB2AV","【テスト・導入】 動作検証、導入支援","1","1300000","1300000",,"a0CRB0000CcXZ6x2QG","要確認","取得済み","a01RB00001Vdyf2YAB","Confirmed by migration rule: 受託開発"
"a0ERB00000Nrx9p2AB","MFILW-000084","a0FRB00000UtK9v2AF","VISIOAL＿ベーシックプラン","3","85000","255000","a0CRB0000CcXZ6k2QG","a0CRB0000CcXZ6k2QG","確定済み","反映済み","a01RB00001VdyfPYAR","Matched by unit price."
"a0ERB00000Nrx9q2AB","MFILW-000085","a0FRB00000UtK9v2AF","既存写真との整合（敷地）","1","30000","30000","a0CRB0000CcXZ6b2QG","a0CRB0000CcXZ6b2QG","要確認","反映済み","a01RB00001VdyfQYAR","Matched by unit price.
要確認: 請求明細の件名と商品マスタ名が類似していません。金額一致だけで商品が選ばれている可能性があります。商品マスタを確認してください。"
"a0ERB00000Nrx9r2AB","MFILW-000086","a0FRB00000UtK9v2AF","詳細整合（インテリア）","2","25000","50000","a0CRB0000CcXZ6d2QG","a0CRB0000CcXZ6d2QG","要確認","反映済み","a01RB00001VdyfRYAR","Matched by unit price.
要確認: 請求明細の件名と商品マスタ名が類似していません。金額一致だけで商品が選ばれている可能性があります。商品マスタを確認してください。"
"a0ERB00000Nrx9s2AB","MFILW-000087","a0FRB00000UtK9v2AF","確認タイミング追加","1","30000","30000","a0CRB0000CcXZ6b2QG","a0CRB0000CcXZ6b2QG","要確認","反映済み","a01RB00001VdyfSYAR","Matched by unit price.
要確認: 請求明細の件名と商品マスタ名が類似していません。金額一致だけで商品が選ばれている可能性があります。商品マスタを確認してください。"
"a0ERB00000Nrx9t2AB","MFILW-000088","a0FRB00000UtK9v2AF","追加修正","3","30000","90000","a0CRB0000CcXZ6b2QG","a0CRB0000CcXZ6b2QG","要確認","反映済み","a01RB00001VdyfTYAR","Matched by unit price.
要確認: 請求明細の件名と商品マスタ名が類似していません。金額一致だけで商品が選ばれている可能性があります。商品マスタを確認してください。"
"a0ERB00000NrxJG2AZ","MFILW-000104","a0FRB00000UtKGA2A3","VISIOAL_ベーシックプラン","1","70000","70000",,"a0CRB0000CcXZ6x2QG","確定済み","反映済み","a01RB00001VdyfgYAB","Confirmed by migration rule: 受託開発"
"a0ERB00000NrxJH2AZ","MFILW-000105","a0FRB00000UtKGA2A3","詳細整合（インテリア）","1","25000","25000","a0CRB0000CcXZ6d2QG","a0CRB0000CcXZ6d2QG","要確認","反映済み","a01RB00001VdyfhYAB","Matched by unit price.
要確認: 請求明細の件名と商品マスタ名が類似していません。金額一致だけで商品が選ばれている可能性があります。商品マスタを確認してください。"
"a0ERB00000NrxJI2AZ","MFILW-000106","a0FRB00000UtKGA2A3","既存写真との整合（インテリア）","1","20000","20000",,"a0CRB0000CcXZ6x2QG","確定済み","反映済み","a01RB00001VdyfiYAB","Confirmed by migration rule: 受託開発"
"a0ERB00000NrxJJ2AZ","MFILW-000107","a0FRB00000UtKGA2A3","図面整合用モデリング","1","25000","25000","a0CRB0000CcXZ6d2QG","a0CRB0000CcXZ6d2QG","要確認","反映済み","a01RB00001VdyfjYAB","Matched by unit price.
要確認: 請求明細の件名と商品マスタ名が類似していません。金額一致だけで商品が選ばれている可能性があります。商品マスタを確認してください。"
"a0ERB00000NrxJK2AZ","MFILW-000108","a0FRB00000UtKGA2A3","デモ確認","1","20000","20000",,"a0CRB0000CcXZ6x2QG","確定済み","反映済み","a01RB00001VdyfkYAB","Confirmed by migration rule: 受託開発"
"a0ERB00000NrxMX2AZ","MFILW-000113","a0FRB00000UtKJO2A3","AI北斎_ビジュアル作成費用","3","140000","420000",,"a0CRB0000CcXZ6x2QG","要確認","取得済み","a01RB00001VdyfpYAB","Confirmed by migration rule: 受託開発"
"a0ERB00000NrxMY2AZ","MFILW-000114","a0FRB00000UtKJO2A3","額装","3","50000","150000","a0CRB0000CcXZ6e2QG","a0CRB0000CcXZ6e2QG","要確認","取得済み","a01RB00001VdyfqYAB","Matched by unit price.
要確認: 請求明細の件名と商品マスタ名が類似していません。金額一致だけで商品が選ばれている可能性があります。商品マスタを確認してください。"
"a0ERB00000NrxMZ2AZ","MFILW-000115","a0FRB00000UtKJO2A3","北斎ディレクション費用","1","450000","450000",,"a0CRB0000CcXZ6x2QG","要確認","取得済み","a01RB00001VdyfrYAB","Confirmed by migration rule: 受託開発"
"a0ERB00000NrxMa2AJ","MFILW-000116","a0FRB00000UtKJO2A3","事務局運営費用","1","850000","850000",,"a0CRB0000CcXZ6x2QG","要確認","取得済み","a01RB00001VdyfsYAB","Confirmed by migration rule: 受託開発"
"a0ERB00000NrxMb2AJ","MFILW-000117","a0FRB00000UtKJP2A3","AI北斎_ビジュアル作成費用","3","140000","420000",,"a0CRB0000CcXZ6x2QG","要確認","要確認",,"Confirmed by migration rule: 受託開発"
