"Id","Name","FreeeInvoiceId__c","FreeeInvoiceNumber__c","PartnerName__c","BillingDate__c","InvoiceAmount__c","ImportStatus__c","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","CreatedInvoice__c","ValidationMessage__c"
"a0FRB00000UtJta2AF","MFIW-000021","53100155","INV-0000001026","三菱商事株式会社","2026-03-02","1670000","要確認","001RB00001VTqkoYAD","a04RB00000kVL7eYAG","a0BRB00000ypw6J2AQ","a00RB000024Ux4IYAS","請求金額と明細合計が一致していません。請求金額=1670000、明細合計=1837000"
"a0FRB00000UtJvB2AV","MFIW-000022","53825605","INV-0000001028","株式会社スタッコ","2026-03-13","12870000","要確認","001RB00001VcyFMYAZ","a04RB00000kVL7XYAW","a0BRB00000ypw6A2AQ","a00RB000024Ux4JYAS","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtK9v2AF","MFIW-000044","54113194","INV-0000001043","戸田建設株式会社","2026-03-20","500500","要確認","001RB00001VTrmnYAD","a04RB00000kUAO0YAO","a0BRB00000ynb5v2AA","a00RB000024Ux4eYAC","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「VISIOAL＿ベーシックプラン」の商品マスタを確認してください。"
"a0FRB00000Wj59D2AR","MFIW-000271","54153830","INV-0000001050","西和不動産株式会社 栗東店","2026-03-20","12100","要確認","001RB00001br9KVYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wj59E2AR","MFIW-000272","54153831","INV-0000001051","株式会社香川不動産買取センター","2026-03-20","12100","要確認","001RB00001VTqaKYAT","a04RB00000kUAPnYAO","a0BRB00000ynn5f2AA",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wj59F2AR","MFIW-000273","54153832","INV-0000001052","株式会社博進コスモプラザ","2026-03-20","12100","要確認","001RB00001VTtIXYA1","a04RB00000kUAPlYAO","a0BRB00000ynn5d2AA",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wj59H2AR","MFIW-000275","54153834","INV-0000001054","株式会社ヨコハマ地所","2026-03-20","12100","要確認","001RB00001br9KKYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wj59I2AR","MFIW-000276","54153835","INV-0000001055","株式会社シアーズホーム","2026-03-20","12100","要確認","001RB00001VTtIVYA1",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wj59J2AR","MFIW-000277","54153836","INV-0000001056","リアルティホールディングス株式会社","2026-03-20","175450","要確認","001RB00001VTtIUYA1","a04RB00000kUAPdYAO","a0BRB00000ynn5V2AQ",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wj59K2AR","MFIW-000278","54153837","INV-0000001057","株式会社穂積住宅","2026-03-20","36300","要確認","001RB00001VTqaGYAT","a04RB00000kUAPbYAO","a0BRB00000ynn5T2AQ",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
