Id,InvoiceWork__c,ImportStatus__c,CreatedInvoiceLine__c,ConfirmedProductMaster__c
a0ERB00000NrwqD2AR,a0FRB00000UtJtZ2AV,反映済み,a01RB00001VdyevYAB,a0CRB0000CcXZ6e2QG
a0ERB00000NrwqE2AR,a0FRB00000UtJtZ2AV,反映済み,a01RB00001VdyewYAB,a0CRB0000CcXZ6x2QG
a0ERB00000NrwqF2AR,a0FRB00000UtJta2AF,反映済み,a01RB00001VdyexYAB,a0CRB0000CcXZ6x2QG
a0ERB00000Nrwrp2AB,a0FRB00000UtJvB2AV,取得済み,a01RB00001VdyeyYAB,a0CRB0000CcXZ6x2QG
a0ERB00000Nrwrq2AB,a0FRB00000UtJvB2AV,反映済み,a01RB00001VdyezYAB,a0CRB0000CcXZ6x2QG
a0ERB00000Nrwrr2AB,a0FRB00000UtJvB2AV,取得済み,a01RB00001Vdyf0YAB,a0CRB0000CcXZ6x2QG
a0ERB00000Nrwrs2AB,a0FRB00000UtJvB2AV,反映済み,a01RB00001Vdyf1YAB,a0CRB0000CcXZ6x2QG
a0ERB00000Nrwrt2AB,a0FRB00000UtJvB2AV,取得済み,a01RB00001Vdyf2YAB,a0CRB0000CcXZ6x2QG
a0ERB00000NrwtR2AR,a0FRB00000UtJwn2AF,反映済み,a01RB00001Vdyf3YAB,a0CRB0000CcXZ6Q2QW
a0ERB00000NrwtS2AR,a0FRB00000UtJwo2AF,反映済み,a01RB00001Vdyf4YAB,a0CRB0000CcXZ6T2QW
a0ERB00000NrwtT2AR,a0FRB00000UtJwp2AF,反映済み,a01RB00001Vdyf5YAB,a0CRB0000CcXZ6R2QW
a0ERB00000NrwtU2AR,a0FRB00000UtJwq2AF,反映済み,a01RB00001Vdyf6YAB,a0CRB0000CcXZ6Q2QW
a0ERB00000Nrwv32AB,a0FRB00000UtCfV2AV,反映済み,a01RB00001VdyepYAB,a0CRB0000CcXZ6x2QG
a0ERB00000Nrwv42AB,a0FRB00000UtCfV2AV,反映済み,a01RB00001VdyeqYAB,a0CRB0000CcXZ6x2QG
a0ERB00000Nrwv52AB,a0FRB00000UtCfV2AV,反映済み,a01RB00001VdyerYAB,a0CRB0000CcXZ6x2QG
a0ERB00000Nrwv62AB,a0FRB00000UtCfV2AV,反映済み,a01RB00001VdyesYAB,a0CRB0000CcXZ6x2QG
a0ERB00000Nrwv72AB,a0FRB00000UtCfV2AV,反映済み,a01RB00001VdyetYAB,a0CRB0000CcXZ6x2QG
a0ERB00000Nrwv82AB,a0FRB00000UtCfV2AV,反映済み,a01RB00001VdyeuYAB,a0CRB0000CcXZ6e2QG
a0ERB00000NrwyH2AR,a0FRB00000UtJyP2AV,反映済み,a01RB00001Vdyf7YAB,a0CRB0000CcXZ6x2QG
a0ERB00000NrwyI2AR,a0FRB00000UtJyQ2AV,反映済み,a01RB00001Vdyf8YAB,a0CRB0000CcXZ6T2QW
a0ERB00000Nrx9Z2AR,a0FRB00000UtK9h2AF,反映済み,a01RB00001Vdyf9YAB,a0CRB0000CcXZ6T2QW
a0ERB00000Nrx9a2AB,a0FRB00000UtK9i2AF,反映済み,a01RB00001VdyfAYAR,a0CRB0000CcXZ6T2QW
a0ERB00000Nrx9b2AB,a0FRB00000UtK9j2AF,反映済み,a01RB00001VdyfBYAR,a0CRB0000CcXZ6i2QG
a0ERB00000Nrx9c2AB,a0FRB00000UtK9k2AF,反映済み,a01RB00001VdyfCYAR,a0CRB0000CcXZ6Q2QW
a0ERB00000Nrx9d2AB,a0FRB00000UtK9l2AF,反映済み,a01RB00001VdyfDYAR,a0CRB0000CcXZ6T2QW
a0ERB00000Nrx9e2AB,a0FRB00000UtK9l2AF,反映済み,a01RB00001VdyfEYAR,a0CRB0000CcXZ6b2QG
a0ERB00000Nrx9f2AB,a0FRB00000UtK9m2AF,反映済み,a01RB00001VdyfFYAR,a0CRB0000CcXZ6V2QW
a0ERB00000Nrx9g2AB,a0FRB00000UtK9m2AF,反映済み,a01RB00001VdyfGYAR,a0CRB0000CcXZ6h2QG
a0ERB00000Nrx9h2AB,a0FRB00000UtK9n2AF,反映済み,a01RB00001VdyfHYAR,a0CRB0000CcXZ6Q2QW
