Id,Name,FreeeInvoiceId__c,BillingDate__c,InvoiceAmount__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c,ImportStatus__c,ValidationMessage__c
a0FRB00000UtJvB2AV,MFIW-000022,53825605,2026-03-13,12870000,001RB00001VcyFMYAZ,a04RB00000kVL7XYAW,a0BRB00000ypw6A2AQ,a00RB000024Ux4JYAS,反映可能,
a0FRB00000UtK9v2AF,MFIW-000044,54113194,2026-03-20,500500,001RB00001VTrmnYAD,a04RB00000kUAO0YAO,a0BRB00000ynb5v2AA,a00RB000024Ux4eYAC,反映可能,
a0FRB00000Wj59D2AR,MFIW-000271,54153830,2026-03-20,12100,001RB00001br9KVYAY,a04RB00000n5JdrYAE,a0BRB000012EChU2AW,,反映可能,
a0FRB00000Wj59I2AR,MFIW-000276,54153835,2026-03-20,12100,001RB00001VTtIVYA1,a04RB00000n5Je0YAE,a0BRB000012EChV2AW,,反映可能,
a0FRB00000Wj59O2AR,MFIW-000282,54153843,2026-03-20,8800,001RB00001br9KSYAY,a04RB00000n5JdtYAE,a0BRB000012EChW2AW,,反映可能,
a0FRB00000Wj59P2AR,MFIW-000283,54153844,2026-03-20,12100,001RB00001br9KgYAI,a04RB00000n5JdiYAE,a0BRB000012EChX2AW,,反映可能,
a0FRB00000Wj59Q2AR,MFIW-000284,54153845,2026-03-20,48400,001RB00001br9KfYAI,a04RB00000n5JdjYAE,a0BRB000012EChY2AW,,反映可能,
a0FRB00000Wj59R2AR,MFIW-000285,54153846,2026-03-20,8800,001RB00001br9KNYAY,a04RB00000n5JdkYAE,a0BRB000012EChZ2AW,,反映可能,
a0FRB00000Wj59S2AR,MFIW-000286,54153848,2026-03-20,60500,001RB00001VTqkQYAT,a04RB00000n5Je1YAE,a0BRB000012ECha2AG,,反映可能,
a0FRB00000Wio6k2AB,MFIW-000291,54248066,2026-03-20,82500,001RB00001br9KeYAI,a04RB00000n5JdzYAE,a0BRB000012EChT2AW,,反映可能,
a0FRB00000WjhrC2AR,MFIW-000354,54153857,2026-03-20,8800,001RB00001br9KLYAY,a04RB00000n5JdlYAE,a0BRB000012ECi42AG,,反映可能,
a0FRB00000WjhrE2AR,MFIW-000356,54153860,2026-03-20,8800,001RB00001VTCYwYAP,a04RB00000n5Je2YAE,a0BRB000012ECi52AG,,反映可能,
a0FRB00000WjhzH2AR,MFIW-000365,54153872,2026-03-20,8800,001RB00001br9KQYAY,a04RB00000n5JdnYAE,a0BRB000012ECi62AG,,反映可能,
a0FRB00000WjhzJ2AR,MFIW-000367,54153877,2026-03-20,8800,001RB00001br9KOYAY,a04RB00000n5JdoYAE,a0BRB000012ECi72AG,,反映可能,
a0FRB00000WjhzM2AR,MFIW-000370,54246103,2026-03-20,84700,001RB00001VTqlZYAT,a04RB00000n5Je4YAE,a0BRB000012ECi82AG,,反映可能,
a0FRB00000WjhzN2AR,MFIW-000371,54246260,2026-03-20,17600,001RB00001br9KdYAI,a04RB00000n5JduYAE,a0BRB000012ECi92AG,,反映可能,
a0FRB00000UtKGA2A3,MFIW-000056,54891605,2026-03-27,176000,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Ux4oYAC,反映可能,
a0FRB00000Wjfvx2AB,MFIW-000301,56527538,2026-04-20,8800,001RB00001br9KSYAY,a04RB00000n5JdtYAE,a0BRB000012EChy2AG,,反映可能,
a0FRB00000Wjfvy2AB,MFIW-000302,56527539,2026-04-20,12100,001RB00001br9KgYAI,a04RB00000n5JdiYAE,a0BRB000012EChz2AG,,反映可能,
a0FRB00000Wjfvz2AB,MFIW-000303,56527540,2026-04-20,48400,001RB00001br9KfYAI,a04RB00000n5JdjYAE,a0BRB000012ECi02AG,,反映可能,
a0FRB00000Wjfw02AB,MFIW-000304,56527541,2026-04-20,8800,001RB00001br9KNYAY,a04RB00000n5JdkYAE,a0BRB000012ECi12AG,,反映可能,
a0FRB00000Wjfw12AB,MFIW-000305,56527544,2026-04-20,60500,001RB00001VTqkQYAT,a04RB00000n5Je1YAE,a0BRB000012ECi22AG,,反映可能,
a0FRB00000Wjfw72AB,MFIW-000311,56527552,2026-04-20,8800,001RB00001br9KLYAY,a04RB00000n5JdlYAE,a0BRB000012ECi32AG,,反映可能,
a0FRB00000Wj5UA2AZ,MFIW-000313,56527554,2026-04-20,8800,001RB00001VTCYwYAP,a04RB00000n5Je2YAE,a0BRB000012EChb2AG,,反映可能,
a0FRB00000Wj5UI2AZ,MFIW-000321,56527564,2026-04-20,8800,001RB00001br9KQYAY,a04RB00000n5JdnYAE,a0BRB000012EChc2AG,,反映可能,
a0FRB00000Wj5UK2AZ,MFIW-000323,56527566,2026-04-20,8800,001RB00001br9KOYAY,a04RB00000n5JdoYAE,a0BRB000012EChd2AG,,反映可能,
a0FRB00000Wj5US2AZ,MFIW-000331,56679018,2026-04-20,52800,001RB00001VcyFPYAZ,a04RB00000n5Je3YAE,a0BRB000012EChe2AG,,反映可能,
a0FRB00000Wj5UT2AZ,MFIW-000332,56680866,2026-04-20,17600,001RB00001br9KdYAI,a04RB00000n5JduYAE,a0BRB000012EChf2AG,,反映可能,
a0FRB00000WjFOj2AN,MFIW-000335,56682295,2026-04-20,198000,001RB00001VTCYEYA5,a04RB00000n5JdvYAE,a0BRB000012EChg2AG,,反映可能,
