Id,Name,FreeeInvoiceId__c,BillingDate__c,InvoiceAmount__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c,CreatedInvoice__r.Name,ImportStatus__c,ValidationMessage__c
a0FRB00000UtJtZ2AV,MFIW-000020,53082772,2026-03-02,56940,001RB00001VcyFLYAZ,a04RB00000kVL7MYAW,a0BRB00000ypw5t2AA,a00RB000024Ux4HYAS,INV-0000000010,反映済み,
a0FRB00000UtJta2AF,MFIW-000021,53100155,2026-03-02,1670000,001RB00001VTqkoYAD,a04RB00000kVL7eYAG,a0BRB00000ypw6J2AQ,a00RB000024Ux4IYAS,INV-0000000011,反映済み,
a0FRB00000UtJvB2AV,MFIW-000022,53825605,2026-03-13,12870000,001RB00001VcyFMYAZ,a04RB00000kVL7XYAW,a0BRB00000ypw6A2AQ,a00RB000024Ux4JYAS,INV-0000000012,要確認,同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。
a0FRB00000UtJwn2AF,MFIW-000023,54237366,2026-03-18,70400,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,a00RB000024Ux4KYAS,INV-0000000013,反映済み,
a0FRB00000UtJwo2AF,MFIW-000024,54237761,2026-03-18,508200,001RB00001VTqlHYAT,a04RB00000kUANiYAO,a0BRB00000ynb5d2AA,a00RB000024Ux4LYAS,INV-0000000014,反映済み,
a0FRB00000UtJwp2AF,MFIW-000025,54238142,2026-03-18,14080,001RB00001VTqleYAD,a04RB00000kUAObYAO,a0BRB00000ynb6W2AQ,a00RB000024Ux4MYAS,INV-0000000015,反映済み,
a0FRB00000UtJwq2AF,MFIW-000026,54240654,2026-03-18,52800,001RB00001VTrtrYAD,a04RB00000kUAOEYA4,a0BRB00000ynb692AA,a00RB000024Ux4NYAS,INV-0000000016,反映済み,
a0FRB00000UtCfV2AV,MFIW-000027,54361336,2026-03-19,973500,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw662AA,a00RB000024Ux4GYAS,INV-0000000009,反映済み,
a0FRB00000UtJyP2AV,MFIW-000028,56091285,2026-04-09,132000,001RB00001VcyFNYAZ,a04RB00000kVL7dYAG,a0BRB00000ypw6I2AQ,a00RB000024Ux4OYAS,INV-0000000017,反映済み,
a0FRB00000UtJyQ2AV,MFIW-000029,56133730,2026-04-09,145200,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Ux4PYAS,INV-0000000018,反映済み,
a0FRB00000UtK9h2AF,MFIW-000030,54067648,2026-03-20,229900,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6O2AQ,a00RB000024Ux4QYAS,INV-0000000019,反映済み,
a0FRB00000UtK9i2AF,MFIW-000031,54067657,2026-03-20,121000,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Ux4RYAS,INV-0000000020,反映済み,
a0FRB00000UtK9j2AF,MFIW-000032,54067660,2026-03-20,12100,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,a00RB000024Ux4SYAS,INV-0000000021,反映済み,
a0FRB00000UtK9k2AF,MFIW-000033,54067663,2026-03-20,44000,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,a00RB000024Ux4TYAS,INV-0000000022,反映済み,
a0FRB00000UtK9l2AF,MFIW-000034,54067665,2026-03-20,154000,001RB00001VTqnMYAT,a04RB00000kVL7aYAG,a0BRB00000ypw6E2AQ,a00RB000024Ux4UYAS,INV-0000000023,反映済み,
a0FRB00000UtK9m2AF,MFIW-000035,54067668,2026-03-20,275000,001RB00001VTqxQYAT,a04RB00000kVL7SYAW,a0BRB00000ypw602AA,a00RB000024Ux4VYAS,INV-0000000024,反映済み,
a0FRB00000UtK9n2AF,MFIW-000036,54067671,2026-03-20,8800,001RB00001VTqy1YAD,a04RB00000kUAOgYAO,a0BRB00000ynb6b2AA,a00RB000024Ux4WYAS,INV-0000000025,反映済み,
a0FRB00000UtK9o2AF,MFIW-000037,54067674,2026-03-20,60500,001RB00001VTqatYAD,a04RB00000kUAQ9YAO,a0BRB00000ynn612AA,a00RB000024Ux4XYAS,INV-0000000026,反映済み,
a0FRB00000UtK9p2AF,MFIW-000038,54067677,2026-03-20,26400,001RB00001VTqW8YAL,a04RB00000kUAOpYAO,a0BRB00000ynb6k2AA,a00RB000024Ux4YYAS,INV-0000000027,反映済み,
a0FRB00000UtK9q2AF,MFIW-000039,54067679,2026-03-20,8800,001RB00001VTr0hYAD,a04RB00000kUAOhYAO,a0BRB00000ynb6c2AA,a00RB000024Ux4ZYAS,INV-0000000028,反映済み,
a0FRB00000UtK9r2AF,MFIW-000040,54067681,2026-03-20,60500,001RB00001VTrkYYAT,a04RB00000kUAQCYA4,a0BRB00000ynn642AA,a00RB000024Ux4aYAC,INV-0000000029,反映済み,
a0FRB00000UtK9s2AF,MFIW-000041,54067683,2026-03-20,12100,001RB00001VTtIiYAL,a04RB00000kUAQBYA4,a0BRB00000ynn632AA,a00RB000024Ux4bYAC,INV-0000000030,反映済み,
a0FRB00000UtK9t2AF,MFIW-000042,54067686,2026-03-20,17600,001RB00001VTrkRYAT,a04RB00000kUAOtYAO,a0BRB00000ynb6o2AA,a00RB000024Ux4cYAC,INV-0000000031,反映済み,
a0FRB00000UtK9u2AF,MFIW-000043,54108710,2026-03-20,175450,001RB00001VTtIUYA1,a04RB00000kUAPdYAO,a0BRB00000ynn5V2AQ,a00RB000024Ux4dYAC,INV-0000000032,反映済み,
a0FRB00000UtK9v2AF,MFIW-000044,54113194,2026-03-20,500500,001RB00001VTrmnYAD,a04RB00000kUAO0YAO,a0BRB00000ynb5v2AA,a00RB000024Ux4eYAC,INV-0000000033,要確認,請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「VISIOAL＿ベーシックプラン」の商品マスタを確認してください。
a0FRB00000UtK9w2AF,MFIW-000045,54153823,2026-03-20,12100,001RB00001VTtIfYAL,a04RB00000kUAQ0YAO,a0BRB00000ynn5s2AA,a00RB000024Ux4fYAC,INV-0000000034,反映済み,
a0FRB00000UtK9x2AF,MFIW-000046,54153824,2026-03-20,12100,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,,a00RB000024Ux4gYAC,INV-0000000035,反映済み,
a0FRB00000UtK9y2AF,MFIW-000047,54153825,2026-03-20,12100,001RB00001VTtIeYAL,a04RB00000kVL7fYAG,a0BRB00000ypw6K2AQ,a00RB000024Ux4hYAC,INV-0000000036,反映済み,
a0FRB00000UtK9z2AF,MFIW-000048,54153827,2026-03-20,12100,001RB00001VTtIdYAL,a04RB00000kUAPxYAO,a0BRB00000ynn5p2AA,a00RB000024Ux4iYAC,INV-0000000037,反映済み,
a0FRB00000UtKA02AN,MFIW-000049,54153829,2026-03-20,12100,001RB00001VTtIcYAL,a04RB00000kVL7ZYAW,a0BRB00000ypw6C2AQ,a00RB000024Ux4jYAC,INV-0000000038,反映済み,
a0FRB00000UsZSL2A3,MFIW-000050,54529958,2026-03-23,924000,001RB00001VTrvXYAT,a04RB00000kVL7WYAW,a0BRB00000ypw692AA,a00RB000024Ux4BYAS,INV-0000000004,反映済み,
a0FRB00000UtKCv2AN,MFIW-000051,54597510,2026-03-24,8800,001RB00001VTqeXYAT,a04RB00000kUAP3YAO,a0BRB00000ynb6y2AA,a00RB000024Ux4kYAC,INV-0000000039,反映済み,
a0FRB00000UtKCw2AN,MFIW-000052,54616884,2026-03-24,48400,001RB00001VTrGlYAL,a04RB00000kVL7bYAG,a0BRB00000ypw6F2AQ,a00RB000024Ux4lYAC,INV-0000000040,反映済み,
a0FRB00000UtKCx2AN,MFIW-000053,54630843,2026-03-24,275000,001RB00001VTqidYAD,a04RB00000kVL7RYAW,a0BRB00000ypw5z2AA,a00RB000024Ux4mYAC,INV-0000000041,反映済み,
a0FRB00000Usthk2AB,MFIW-000054,54695329,2026-03-25,53900,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Ux4EYAS,INV-0000000007,反映済み,
a0FRB00000UtKG92AN,MFIW-000055,53459621,2026-03-27,82500,001RB00001VTrlAYAT,a04RB00000kVL7TYAW,a0BRB00000ypw642AA,a00RB000024Ux4nYAC,INV-0000000042,反映済み,
a0FRB00000UtKGA2A3,MFIW-000056,54891605,2026-03-27,176000,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Ux4oYAC,INV-0000000043,要確認,同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。
a0FRB00000UtKJN2A3,MFIW-000057,55195079,2026-03-31,2057000,001RB00001VcyFOYAZ,a04RB00000kVL7gYAG,a0BRB00000ypw6M2AQ,a00RB000027lnMpYAI,INV-0000000167,反映済み,
a0FRB00000UtKJO2A3,MFIW-000058,55195797,2026-03-31,1870000,001RB00001VcyFOYAZ,a04RB00000kVL7gYAG,a0BRB00000ypw6M2AQ,a00RB000024Ux4qYAC,INV-0000000045,反映済み,
a0FRB00000UtKJP2A3,MFIW-000059,55196219,2026-03-31,1870000,001RB00001VcyFOYAZ,a04RB00000kVL7gYAG,a0BRB00000ypw6M2AQ,,,対象外,同一取引先・同一請求日・同額の反映済み請求が存在するため、重複候補として対象外にしました。
a0FRB00000UtKOD2A3,MFIW-000060,56351917,2026-04-14,145200,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Ux4sYAC,INV-0000000047,反映済み,
a0FRB00000UtKRR2A3,MFIW-000061,56461100,2026-04-20,229900,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6P2AQ,a00RB000024Ux4tYAC,INV-0000000048,反映済み,
a0FRB00000UtKRS2A3,MFIW-000062,56461105,2026-04-20,145200,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Ux4uYAC,INV-0000000049,反映済み,
a0FRB00000UtKRT2A3,MFIW-000063,56461107,2026-04-20,12100,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,a00RB000024Ux4vYAC,INV-0000000050,反映済み,
a0FRB00000UtKRU2A3,MFIW-000064,56461109,2026-04-20,44000,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,a00RB000024Ux4wYAC,INV-0000000051,反映済み,
a0FRB00000UtKRV2A3,MFIW-000065,56461111,2026-04-20,275000,001RB00001VTqxQYAT,a04RB00000kVL7SYAW,a0BRB00000ypw612AA,a00RB000024Ux4xYAC,INV-0000000052,反映済み,
a0FRB00000UtKRW2A3,MFIW-000066,56461113,2026-04-20,8800,001RB00001VTqy1YAD,a04RB00000kUAOgYAO,a0BRB00000ynb6b2AA,a00RB000024Ux4yYAC,INV-0000000053,反映済み,
a0FRB00000UtKRX2A3,MFIW-000067,56461115,2026-04-20,60500,001RB00001VTqatYAD,a04RB00000kUAQ9YAO,a0BRB00000ynn612AA,a00RB000024Ux4zYAC,INV-0000000054,反映済み,
a0FRB00000UtKRY2A3,MFIW-000068,56461117,2026-04-20,26400,001RB00001VTqW8YAL,a04RB00000kUAOpYAO,a0BRB00000ynb6k2AA,a00RB000024Ux50YAC,INV-0000000055,反映済み,
a0FRB00000UtKRZ2A3,MFIW-000069,56461119,2026-04-20,8800,001RB00001VTr0hYAD,a04RB00000kUAOhYAO,a0BRB00000ynb6c2AA,a00RB000024Ux51YAC,INV-0000000056,反映済み,
a0FRB00000UtKRa2AN,MFIW-000070,56461121,2026-04-20,60500,001RB00001VTrkYYAT,a04RB00000kUAQCYA4,a0BRB00000ynn642AA,a00RB000024Ux52YAC,INV-0000000057,反映済み,
a0FRB00000UtKRb2AN,MFIW-000071,56461123,2026-04-20,12100,001RB00001VTtIiYAL,a04RB00000kUAQBYA4,a0BRB00000ynn632AA,a00RB000024Ux53YAC,INV-0000000058,反映済み,
a0FRB00000UtKRc2AN,MFIW-000072,56461125,2026-04-20,17600,001RB00001VTrkRYAT,a04RB00000kUAOtYAO,a0BRB00000ynb6o2AA,a00RB000024Ux54YAC,INV-0000000059,反映済み,
a0FRB00000UtKRd2AN,MFIW-000073,56461126,2026-04-20,82500,001RB00001VTrI5YAL,a04RB00000kUAP0YAO,a0BRB00000ynb6v2AA,a00RB000024Ux55YAC,INV-0000000060,反映済み,
a0FRB00000UtKRe2AN,MFIW-000074,56527514,2026-04-20,12100,001RB00001VTtIfYAL,a04RB00000kUAQ0YAO,a0BRB00000ynn5s2AA,a00RB000024Ux56YAC,INV-0000000061,反映済み,
