"Id","Name","FreeeInvoiceId__c","ImportStatus__c","CreatedInvoice__c","CreatedInvoiceFreeeId","CreatedInvoiceExternalKey","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","ValidationMessage__c"
"a0FRB00000Usb9g2AB","MFIW-000090","58486360","要確認","a00RB000024Ux4DYAS","58486360","freee_invoice:3687550:58486360","001RB00001VTraTYAT","a04RB00000kUAOUYA4","a0BRB00000ynb6P2AQ","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000Ut0EN2AZ","MFIW-000122","60417633","反映済み","a00RB000024Ux4FYAS","60417633","freee_invoice:3687550:60417633","001RB00001VTrvcYAD","a04RB00000kVL7cYAG","a0BRB00000ypw6H2AQ",
"a0FRB00000UtJtZ2AV","MFIW-000020","53082772","反映済み","a00RB000024Ux4HYAS","53082772","freee_invoice:3687550:53082772","001RB00001VcyFLYAZ","a04RB00000kVL7MYAW","a0BRB00000ypw5t2AA",
"a0FRB00000UtJvB2AV","MFIW-000022","53825605","要確認","a00RB000024Ux4JYAS","53825605","freee_invoice:3687550:53825605","001RB00001VcyFMYAZ","a04RB00000kVL7XYAW","a0BRB00000ypw6A2AQ","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtK9v2AF","MFIW-000044","54113194","要確認","a00RB000024Ux4eYAC","54113194","freee_invoice:3687550:54113194","001RB00001VTrmnYAD","a04RB00000kUAO0YAO","a0BRB00000ynb5v2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「VISIOAL＿ベーシックプラン」の商品マスタを確認してください。"
"a0FRB00000UtKGA2A3","MFIW-000056","54891605","要確認","a00RB000024Ux4oYAC","54891605","freee_invoice:3687550:54891605","001RB00001VTraTYAT","a04RB00000kUAOUYA4","a0BRB00000ynb6P2AQ","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtKJN2A3","MFIW-000057","55195079","反映済み","a00RB000027lnMpYAI","55195079","freee_invoice:3687550:55195079","001RB00001VcyFOYAZ","a04RB00000kVL7gYAG","a0BRB00000ypw6M2AQ",
"a0FRB00000UtKjB2AV","MFIW-000087","58268807","要確認","a00RB000024Ux5JYAS","58268807","freee_invoice:3687550:58268807","001RB00001VTrkUYAT","a04RB00000kVL7OYAW","a0BRB00000ypw5v2AA","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtKw62AF","MFIW-000116","58940950","要確認","a00RB000024Ux5jYAC","58940950","freee_invoice:3687550:58940950","001RB00001VcyFKYAZ","a04RB00000kVL7KYAW","a0BRB00000ypw5r2AA","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtLlh2AF","MFIW-000123","60518749","反映済み","a00RB000024Vf21YAC","60518749","freee_invoice:3687550:60518749","001RB00001VTraTYAT","a04RB00000kUAOUYA4","a0BRB00000ynb6P2AQ",
"a0FRB00000UtM532AF","MFIW-000124","60970507","反映済み","a00RB000024Vf22YAC","60970507","freee_invoice:3687550:60970507","001RB00001VTruAYAT","a04RB00000kVL7YYAW","a0BRB00000ypw6B2AQ",
"a0FRB00000UtM9w2AF","MFIW-000128","60984868","反映済み","a00RB000024Vf25YAC","60984868","freee_invoice:3687550:60984868","001RB00001VTCZ9YAP","a04RB00000kVL7LYAW","a0BRB00000ypw5s2AA",
"a0FRB00000UtMBV2A3","MFIW-000129","60792877","反映済み","a00RB000024Vf26YAC","60792877","freee_invoice:3687550:60792877","001RB00001VTqUVYA1","a04RB00000kVL7iYAG","a0BRB00000ypw6R2AQ",
"a0FRB00000UtMBW2A3","MFIW-000130","60792884","反映済み","a00RB000024Vf27YAC","60792884","freee_invoice:3687550:60792884","001RB00001VTqbXYAT","a04RB00000kUAOTYA4","a0BRB00000ynb6O2AQ",
"a0FRB00000UtMBX2A3","MFIW-000131","60792886","反映済み","a00RB000024Vf28YAC","60792886","freee_invoice:3687550:60792886","001RB00001VTrGkYAL","a04RB00000kUAQAYA4","a0BRB00000ynn622AA",
"a0FRB00000UtMBY2A3","MFIW-000132","60792889","反映済み","a00RB000024Vf29YAC","60792889","freee_invoice:3687550:60792889","001RB00001VTqxsYAD","a04RB00000kUAOfYAO","a0BRB00000ynb6a2AA",
"a0FRB00000UtMBZ2A3","MFIW-000133","60792891","反映済み","a00RB000024Vf2AYAS","60792891","freee_invoice:3687550:60792891","001RB00001VTqxQYAT","a04RB00000kVL7SYAW","a0BRB00000ypw632AA",
"a0FRB00000UtMBa2AN","MFIW-000134","60792892","反映済み","a00RB000024Vf2BYAS","60792892","freee_invoice:3687550:60792892","001RB00001VTqy1YAD","a04RB00000kUAOgYAO","a0BRB00000ynb6b2AA",
"a0FRB00000UtMBb2AN","MFIW-000135","60792893","反映済み","a00RB000024Vf2CYAS","60792893","freee_invoice:3687550:60792893","001RB00001VTqatYAD","a04RB00000kUAQ9YAO","a0BRB00000ynn612AA",
"a0FRB00000UtMBc2AN","MFIW-000136","60792894","反映済み","a00RB000024Vf2DYAS","60792894","freee_invoice:3687550:60792894","001RB00001VTqW8YAL","a04RB00000kUAOpYAO","a0BRB00000ynb6k2AA",
"a0FRB00000UtMBd2AN","MFIW-000137","60792896","反映済み","a00RB000024Vf2EYAS","60792896","freee_invoice:3687550:60792896","001RB00001VTr0hYAD","a04RB00000kUAOhYAO","a0BRB00000ynb6c2AA",
"a0FRB00000UtMBe2AN","MFIW-000138","60792897","反映済み","a00RB000024Vf2FYAS","60792897","freee_invoice:3687550:60792897","001RB00001VTrkYYAT","a04RB00000kUAQCYA4","a0BRB00000ynn642AA",
"a0FRB00000UtMBf2AN","MFIW-000139","60792898","反映済み","a00RB000024Vf2GYAS","60792898","freee_invoice:3687550:60792898","001RB00001VTtIiYAL","a04RB00000kUAQBYA4","a0BRB00000ynn632AA",
"a0FRB00000UtMBg2AN","MFIW-000140","60792899","反映済み","a00RB000024Vf2HYAS","60792899","freee_invoice:3687550:60792899","001RB00001VTrkRYAT","a04RB00000kUAOtYAO","a0BRB00000ynb6o2AA",
"a0FRB00000UtMBh2AN","MFIW-000141","60792900","反映済み","a00RB000024Vf2IYAS","60792900","freee_invoice:3687550:60792900","001RB00001VTrI5YAL","a04RB00000kUAP0YAO","a0BRB00000ynb6v2AA",
"a0FRB00000UtMBi2AN","MFIW-000142","60792903","反映済み","a00RB000024Vf2JYAS","60792903","freee_invoice:3687550:60792903","001RB00001VTrlBYAT","a04RB00000kUAOyYAO","a0BRB00000ynb6t2AA",
"a0FRB00000UtMBj2AN","MFIW-000143","60792904","反映済み","a00RB000024Vf2KYAS","60792904","freee_invoice:3687550:60792904","001RB00001VTqgHYAT","a04RB00000kUAOzYAO","a0BRB00000ynb6u2AA",
"a0FRB00000UtMBk2AN","MFIW-000144","60792905","反映済み","a00RB000024Vf2LYAS","60792905","freee_invoice:3687550:60792905","001RB00001VTqeXYAT","a04RB00000kUAP3YAO","a0BRB00000ynb6y2AA",
"a0FRB00000UtMBl2AN","MFIW-000145","60792906","反映済み","a00RB000024Vf2MYAS","60792906","freee_invoice:3687550:60792906","001RB00001VTrkbYAD","a04RB00000kUAP5YAO","a0BRB00000ynb702AA",
"a0FRB00000UtMBm2AN","MFIW-000146","60792907","反映済み","a00RB000024Vf2NYAS","60792907","freee_invoice:3687550:60792907","001RB00001VTrlqYAD","a04RB00000kUAP6YAO","a0BRB00000ynb712AA",
"a0FRB00000UtMBn2AN","MFIW-000147","60792909","反映済み","a00RB000024Vf2OYAS","60792909","freee_invoice:3687550:60792909","001RB00001VTrqdYAD","a04RB00000kUAP7YAO","a0BRB00000ynb722AA",
"a0FRB00000UtMBo2AN","MFIW-000148","60792910","反映済み","a00RB000024Vf2PYAS","60792910","freee_invoice:3687550:60792910","001RB00001VTqnvYAD","a04RB00000kUAP4YAO","a0BRB00000ynb6z2AA",
"a0FRB00000UtMbJ2AV","MFIW-000149","60792928","反映済み","a00RB000024Vf2QYAS","60792928","freee_invoice:3687550:60792928","001RB00001VTCZLYA5","a04RB00000kVL7PYAW","a0BRB00000ypw5x2AA",
"a0FRB00000WhTPO2A3","MFIW-000182","60861172","反映済み","a00RB000027fzNRYAY","60861172","freee_invoice:3687550:60861172","001RB00001VTqbbYAD","a04RB00000kUAOFYA4","a0BRB00000ynb6A2AQ",
"a0FRB00000WhTPQ2A3","MFIW-000184","60861174","反映済み","a00RB000027fzNSYAY","60861174","freee_invoice:3687550:60861174","001RB00001VTqU3YAL","a04RB00000kUAO7YAO","a0BRB00000ynb622AA",
"a0FRB00000WhTPR2A3","MFIW-000185","60861175","反映済み","a00RB000027fzNTYAY","60861175","freee_invoice:3687550:60861175","001RB00001VTCYFYA5","a04RB00000kUAO2YAO","a0BRB00000ynb5x2AA",
"a0FRB00000WhTPS2A3","MFIW-000186","60861177","要確認","a00RB000027fzNUYAY","60861177","freee_invoice:3687550:60861177","001RB00001VTCYGYA5","a04RB00000kUAO1YAO","a0BRB00000ynb5w2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery(エンタープライズプラン)」の商品マスタを確認してください。"
"a0FRB00000WhTPU2A3","MFIW-000188","60861180","反映済み","a00RB000027fzNVYAY","60861180","freee_invoice:3687550:60861180","001RB00001VTqUoYAL","a04RB00000kUANwYAO","a0BRB00000ynb5r2AA",
"a0FRB00000WhTPW2A3","MFIW-000190","60861182","反映済み","a00RB000027fzNWYAY","60861182","freee_invoice:3687550:60861182","001RB00001VTqlOYAT","a04RB00000kUANmYAO","a0BRB00000ynb5h2AA",
