"Id","Name","FreeeInvoiceId__c","FreeeInvoiceNumber__c","PartnerName__c","BillingDate__c","InvoiceAmount__c","ImportStatus__c","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","ValidationMessage__c"
"a0FRB00000Wj59T2AR","MFIW-000287","54153849","INV-0000001066","野原グループ株式会社","2026-03-20","8800","反映可能","001RB00001VTqbbYAD","a04RB00000kUAOFYA4","a0BRB00000ynb6A2AQ",""
"a0FRB00000Wj59V2AR","MFIW-000289","54153853","INV-0000001068","吉村紳　一級建築士事務所","2026-03-20","8800","反映可能","001RB00001VTqU3YAL","a04RB00000kUAO7YAO","a0BRB00000ynb622AA",""
"a0FRB00000Wj59W2AR","MFIW-000290","54153854","INV-0000001069","ANAスカイビルサービス株式会社","2026-03-20","17600","反映可能","001RB00001VTCYFYA5","a04RB00000kUAO2YAO","a0BRB00000ynb5x2AA",""
"a0FRB00000Wj5UC2AZ","MFIW-000315","56527557","INV-0000001151","株式会社ムゲンエステート","2026-04-20","8800","反映可能","001RB00001VTqlOYAT","a04RB00000kUANmYAO","a0BRB00000ynb5h2AA",""
"a0FRB00000Wj5UD2AZ","MFIW-000316","56527558","INV-0000001152","東急株式会社","2026-04-20","12100","反映可能","001RB00001VTrs0YAD","a04RB00000kUANgYAO","a0BRB00000ynb5b2AA",""
"a0FRB00000Wj5UE2AZ","MFIW-000317","56527559","INV-0000001153","戸田建設株式会社","2026-04-20","60500","反映可能","001RB00001VTrmnYAD","a04RB00000kUAO0YAO","a0BRB00000ynb5v2AA",""
"a0FRB00000Wj5UJ2AZ","MFIW-000322","56527565","INV-0000001158","JOA株式会社","2026-04-20","60500","反映可能","001RB00001VTqmBYAT","a04RB00000kUAORYA4","a0BRB00000ynb6M2AQ",""
"a0FRB00000Wj5UL2AZ","MFIW-000324","56527568","INV-0000001160","株式会社レーベントラスト","2026-04-20","60500","反映可能","001RB00001VTqbqYAD","a04RB00000kUAQ6YAO","a0BRB00000ynn5y2AA",""
"a0FRB00000Wj5UN2AZ","MFIW-000326","56675516","INV-0000001162","サンフロンティア不動産株式会社","2026-04-20","70400","反映可能","001RB00001VTqlYYAT","a04RB00000kUANdYAO","a0BRB00000ynb5Y2AQ",""
"a0FRB00000Wj5UP2AZ","MFIW-000328","56677820","INV-0000001164","株式会社フロンティアコンサルティング","2026-04-20","508200","反映可能","001RB00001VTqlHYAT","a04RB00000kUANiYAO","a0BRB00000ynb5d2AA",""
"a0FRB00000WjFOh2AN","MFIW-000333","56681225","INV-0000001169","三菱地所レジデンス株式会社","2026-04-20","17600","反映可能","001RB00001VTqf7YAD","a04RB00000kUAOjYAO","a0BRB00000ynb6e2AA",""
"a0FRB00000WjFOk2AN","MFIW-000336","56683113","INV-0000001172","花菱不動産株式会社","2026-04-20","17600","反映可能","001RB00001VTrlBYAT","a04RB00000kUAOyYAO","a0BRB00000ynb6t2AA",""
"a0FRB00000WjFOl2AN","MFIW-000337","56683462","INV-0000001173","コンチネンタルホーム株式会社","2026-04-20","26400","反映可能","001RB00001VTqgHYAT","a04RB00000kUAOzYAO","a0BRB00000ynb6u2AA",""
"a0FRB00000WjFOm2AN","MFIW-000338","56683907","INV-0000001174","三井住友建設株式会社","2026-04-20","8800","反映可能","001RB00001VTqeXYAT","a04RB00000kUAP3YAO","a0BRB00000ynb6y2AA",""
"a0FRB00000WjFOn2AN","MFIW-000339","56684523","INV-0000001175","株式会社スタイルテック総合計画","2026-04-20","82500","反映可能","001RB00001VTrkbYAD","a04RB00000kUAP5YAO","a0BRB00000ynb702AA",""
"a0FRB00000WjFOo2AN","MFIW-000340","56684847","INV-0000001176","株式会社ecoaハウス","2026-04-20","82500","反映可能","001RB00001VTrlqYAD","a04RB00000kUAP6YAO","a0BRB00000ynb712AA",""
"a0FRB00000WjFOp2AN","MFIW-000341","56685055","INV-0000001177","株式会社ドムコス","2026-04-20","8800","反映可能","001RB00001VTrqdYAD","a04RB00000kUAP7YAO","a0BRB00000ynb722AA",""
"a0FRB00000WjFOr2AN","MFIW-000343","56692304","INV-0000001179","Asplead株式会社","2026-04-20","17600","反映可能","001RB00001VTqnvYAD","a04RB00000kUAP4YAO","a0BRB00000ynb6z2AA",""
"a0FRB00000WjFOs2AN","MFIW-000344","56692529","INV-0000001180","株式会社フィールド・デザイン・アーキテクツ一級建築士事務所","2026-04-20","8800","反映可能","001RB00001VTrqeYAD","a04RB00000kUAPAYA4","a0BRB00000ynb752AA",""
"a0FRB00000WjFOv2AN","MFIW-000347","56695322","INV-0000001183","株式会社紀伊國屋書店","2026-04-20","44000","反映可能","001RB00001VTrUSYA1","a04RB00000kUAP1YAO","a0BRB00000ynb6w2AA",""
