Id,InvoiceWork__c,FreeeLineId__c,Description__c,Quantity__c,UnitPrice__c,LineAmount__c,TaxRate__c,TaxAmount__c,ConfirmedProductMaster__c,ImportStatus__c,RawJson__c
a0ERB00000NrwqF2AR,a0FRB00000UtJta2AF,236096788,最終納品費,1,1670000,1670000,10,167000,a0CRB0000CcXZ6x2QG,取得済み,"{""amount_excluding_tax"":null,""withholding"":false,""reduced_tax_rate"":false,""tax_rate"":10,""unit_price"":""1670000.0"",""quantity"":1.0,""unit"":""式"",""sales_date"":null,""description"":""最終納品費"",""type"":""item"",""id"":236096788}"
a0ERB00000NrxMX2AZ,a0FRB00000UtKJO2A3,244981930,AI北斎_ビジュアル作成費用,3,140000,420000,10,42000,a0CRB0000CcXZ6x2QG,取得済み,"{""amount_excluding_tax"":null,""withholding"":false,""reduced_tax_rate"":false,""tax_rate"":10,""unit_price"":""140000.0"",""quantity"":3.0,""unit"":""式"",""sales_date"":null,""description"":""AI北斎_ビジュアル作成費用"",""type"":""item"",""id"":244981930}"
a0ERB00000NrxMY2AZ,a0FRB00000UtKJO2A3,244981931,額装,3,50000,150000,10,15000,a0CRB0000CcXZ6e2QG,取得済み,"{""amount_excluding_tax"":null,""withholding"":false,""reduced_tax_rate"":false,""tax_rate"":10,""unit_price"":""50000.0"",""quantity"":3.0,""unit"":""式"",""sales_date"":null,""description"":""額装"",""type"":""item"",""id"":244981931}"
a0ERB00000NrxMZ2AZ,a0FRB00000UtKJO2A3,244981932,北斎ディレクション費用,1,450000,450000,10,45000,a0CRB0000CcXZ6x2QG,取得済み,"{""amount_excluding_tax"":null,""withholding"":false,""reduced_tax_rate"":false,""tax_rate"":10,""unit_price"":""450000.0"",""quantity"":1.0,""unit"":""式"",""sales_date"":null,""description"":""北斎ディレクション費用"",""type"":""item"",""id"":244981932}"
a0ERB00000NrxMa2AJ,a0FRB00000UtKJO2A3,244981933,事務局運営費用,1,850000,850000,10,85000,a0CRB0000CcXZ6x2QG,取得済み,"{""amount_excluding_tax"":null,""withholding"":false,""reduced_tax_rate"":false,""tax_rate"":10,""unit_price"":""850000.0"",""quantity"":1.0,""unit"":""式"",""sales_date"":null,""description"":""事務局運営費用"",""type"":""item"",""id"":244981933}"
a0ERB00000NrxMb2AJ,a0FRB00000UtKJP2A3,244983672,AI北斎_ビジュアル作成費用,3,140000,420000,10,42000,a0CRB0000CcXZ6x2QG,要確認,"{""amount_excluding_tax"":null,""withholding"":false,""reduced_tax_rate"":false,""tax_rate"":10,""unit_price"":""140000.0"",""quantity"":3.0,""unit"":""式"",""sales_date"":null,""description"":""AI北斎_ビジュアル作成費用"",""type"":""item"",""id"":244983672}"
a0ERB00000NrxMc2AJ,a0FRB00000UtKJP2A3,244983673,額装,3,50000,150000,10,15000,a0CRB0000CcXZ6e2QG,要確認,"{""amount_excluding_tax"":null,""withholding"":false,""reduced_tax_rate"":false,""tax_rate"":10,""unit_price"":""50000.0"",""quantity"":3.0,""unit"":""式"",""sales_date"":null,""description"":""額装"",""type"":""item"",""id"":244983673}"
a0ERB00000NrxMd2AJ,a0FRB00000UtKJP2A3,244983674,北斎ディレクション費用,1,450000,450000,10,45000,a0CRB0000CcXZ6x2QG,要確認,"{""amount_excluding_tax"":null,""withholding"":false,""reduced_tax_rate"":false,""tax_rate"":10,""unit_price"":""450000.0"",""quantity"":1.0,""unit"":""式"",""sales_date"":null,""description"":""北斎ディレクション費用"",""type"":""item"",""id"":244983674}"
a0ERB00000NrxMe2AJ,a0FRB00000UtKJP2A3,244983675,事務局運営費用,1,850000,850000,10,85000,a0CRB0000CcXZ6x2QG,要確認,"{""amount_excluding_tax"":null,""withholding"":false,""reduced_tax_rate"":false,""tax_rate"":10,""unit_price"":""850000.0"",""quantity"":1.0,""unit"":""式"",""sales_date"":null,""description"":""事務局運営費用"",""type"":""item"",""id"":244983675}"
a0ERB00000Ojmlp2AB,a0FRB00000Wic2L2AR,277838120,交通費,1,72630,72630,10,7263,,取得済み,"{""amount_excluding_tax"":null,""withholding"":false,""reduced_tax_rate"":false,""tax_rate"":10,""unit_price"":""72630.0"",""quantity"":1.0,""unit"":""式"",""sales_date"":null,""description"":""交通費"",""type"":""item"",""id"":277838120}"
a0ERB00000Oy1t32AB,a0FRB00000XX8tV2AT,278900365,講師費,1,60000,60000,10,6000,,取得済み,"{""amount_excluding_tax"":null,""withholding"":false,""reduced_tax_rate"":false,""tax_rate"":10,""unit_price"":""60000.0"",""quantity"":1.0,""unit"":""式"",""sales_date"":null,""description"":""講師費"",""type"":""item"",""id"":278900365}"
a0ERB00000Oy1t42AB,a0FRB00000XX8tV2AT,278900366,交通費（往復）,3,22600,67800,10,6780,,取得済み,"{""amount_excluding_tax"":null,""withholding"":false,""reduced_tax_rate"":false,""tax_rate"":10,""unit_price"":""22600.0"",""quantity"":3.0,""unit"":""名"",""sales_date"":null,""description"":""交通費（往復）"",""type"":""item"",""id"":278900366}"
