Id,Name,InvoiceAmount__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c,ImportStatus__c,ValidationMessage__c
a0FRB00000WjSKN2A3,MFIW-000223,12100,001RB00001VTtIdYAL,a04RB00000kUAPxYAO,a0BRB00000ynn5p2AA,,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
a0FRB00000WjSKR2A3,MFIW-000227,12100,001RB00001VTtIXYA1,a04RB00000kUAPlYAO,a0BRB00000ynn5d2AA,,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
a0FRB00000WjSKW2A3,MFIW-000232,12100,001RB00001VTqZVYA1,a04RB00000kUAPXYA4,a0BRB00000ynn5P2AQ,,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
a0FRB00000WjSKY2A3,MFIW-000234,12100,001RB00001VTqZpYAL,a04RB00000kUAPVYA4,a0BRB00000ynn5N2AQ,,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
a0FRB00000Wj59F2AR,MFIW-000273,12100,001RB00001VTtIXYA1,a04RB00000kUAPlYAO,a0BRB00000ynn5d2AA,,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
a0FRB00000Wj59L2AR,MFIW-000279,12100,001RB00001VTqZVYA1,a04RB00000kUAPXYA4,a0BRB00000ynn5P2AQ,,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
a0FRB00000Wj59N2AR,MFIW-000281,12100,001RB00001VTqZpYAL,a04RB00000kUAPVYA4,a0BRB00000ynn5N2AQ,,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
a0FRB00000Wjfvp2AB,MFIW-000293,12100,001RB00001VTtIXYA1,a04RB00000kUAPlYAO,a0BRB00000ynn5d2AA,,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
a0FRB00000Wjfvu2AB,MFIW-000298,12100,001RB00001VTqZVYA1,a04RB00000kUAPXYA4,a0BRB00000ynn5P2AQ,,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
a0FRB00000Wjfvw2AB,MFIW-000300,12100,001RB00001VTqZpYAL,a04RB00000kUAPVYA4,a0BRB00000ynn5N2AQ,,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
a0FRB00000YqSO42AN,MFIW-000417,12100,001RB00001VTtIdYAL,a04RB00000kUAPxYAO,a0BRB00000ynn5p2AA,,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
a0FRB00000YqSO62AN,MFIW-000419,12100,001RB00001VTtIXYA1,a04RB00000kUAPlYAO,a0BRB00000ynn5d2AA,,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
a0FRB00000YqSOB2A3,MFIW-000424,12100,001RB00001VTqZVYA1,a04RB00000kUAPXYA4,a0BRB00000ynn5P2AQ,,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
a0FRB00000YqLuQ2AV,MFIW-000425,12100,001RB00001VTqZpYAL,a04RB00000kUAPVYA4,a0BRB00000ynn5N2AQ,,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
