"Id","Name","ImportStatus__c","CreatedInvoice__c","ValidationMessage__c"
"a0FRB00000Usb9g2AB","MFIW-000090","要確認","a00RB000024Ux4DYAS","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtJvB2AV","MFIW-000022","要確認","a00RB000024Ux4JYAS","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtK9v2AF","MFIW-000044","要確認","a00RB000024Ux4eYAC","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「VISIOAL＿ベーシックプラン」の商品マスタを確認してください。"
"a0FRB00000UtKGA2A3","MFIW-000056","要確認","a00RB000024Ux4oYAC","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtKjB2AV","MFIW-000087","要確認","a00RB000024Ux5JYAS","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtKw62AF","MFIW-000116","要確認","a00RB000024Ux5jYAC","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000WhTPS2A3","MFIW-000186","要確認","a00RB000027fzNUYAY","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery(エンタープライズプラン)」の商品マスタを確認してください。"
"a0FRB00000WhTPX2A3","MFIW-000191","要確認","a00RB000027fzNXYAY","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery(エンタープライズプラン)」の商品マスタを確認してください。"
"a0FRB00000WhTPY2A3","MFIW-000192","要確認","a00RB000027fzNYYAY","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery　エンタープライズプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WhTPZ2A3","MFIW-000193","要確認","a00RB000027fzNZYAY","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI Basicプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WhTPa2AN","MFIW-000194","要確認","a00RB000027fzNaYAI","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WhTPb2AN","MFIW-000195","要確認","a00RB000027fzNbYAI","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WicaL2AR","MFIW-000166","要確認","a00RB000027fzNjYAI","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WicaM2AR","MFIW-000167","要確認","a00RB000027fzNkYAI","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「KnockKnockAI_Basicプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WicaQ2AR","MFIW-000171","要確認","a00RB000027fzNmYAI","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン」の商品マスタを確認してください。"
"a0FRB00000WicaU2AR","MFIW-000175","要確認","a00RB000027fzNnYAI","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WicaV2AR","MFIW-000176","要確認","a00RB000027fzNoYAI","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン」の商品マスタを確認してください。"
"a0FRB00000WicaW2AR","MFIW-000177","要確認","a00RB000027fzNpYAI","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン」の商品マスタを確認してください。"
"a0FRB00000Wifcv2AB","MFIW-000158","要確認","a00RB000027flsLYAQ","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000WihDL2AZ","MFIW-000201","要確認","a00RB000027fzNsYAI","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery　エンタープライズプラン」の商品マスタを確認してください。"
"a0FRB00000WihDM2AZ","MFIW-000202","要確認","a00RB000027fzNtYAI","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery_Pro_月額利用料_注文番号：405342480」の商品マスタを確認してください。"
"a0FRB00000WihDX2AZ","MFIW-000213","要確認","a00RB000027fzNwYAI","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery_Pro_1アカウント年間利用料(アーキデザイン株式会社様)」の商品マスタを確認してください。"
