"Id","Name","FreeeInvoiceId__c","PartnerName__c","BillingDate__c","InvoiceAmount__c","ImportStatus__c","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","CreatedInvoice__c","ValidationMessage__c"
"a0FRB00000UtJvB2AV","MFIW-000022","53825605","株式会社スタッコ","2026-03-13","12870000","反映可能","001RB00001VcyFMYAZ","a04RB00000kVL7XYAW","a0BRB00000ypw6A2AQ","a00RB000024Ux4JYAS",
"a0FRB00000UtK9v2AF","MFIW-000044","54113194","戸田建設株式会社","2026-03-20","500500","反映可能","001RB00001VTrmnYAD","a04RB00000kUAO0YAO","a0BRB00000ynb5v2AA","a00RB000024Ux4eYAC",
"a0FRB00000UtKGA2A3","MFIW-000056","54891605","株式会社ＬＩＸＩＬ住宅研究所","2026-03-27","176000","反映可能","001RB00001VTraTYAT","a04RB00000kUAOUYA4","a0BRB00000ynb6P2AQ","a00RB000024Ux4oYAC",
"a0FRB00000UtKjB2AV","MFIW-000087","58268807","トヨタ・コニック・プロ株式会社","2026-05-12","0","反映可能","001RB00001VTrkUYAT","a04RB00000kVL7OYAW","a0BRB00000ypw5v2AA","a00RB000024Ux5JYAS",
"a0FRB00000Usb9g2AB","MFIW-000090","58486360","株式会社ＬＩＸＩＬ住宅研究所","2026-05-15","3168000","反映可能","001RB00001VTraTYAT","a04RB00000kUAOUYA4","a0BRB00000ynb6P2AQ","a00RB000024Ux4DYAS",
"a0FRB00000UtKw62AF","MFIW-000116","58940950","クウジット株式会社","2026-05-22","165000","反映可能","001RB00001VcyFKYAZ","a04RB00000kVL7KYAW","a0BRB00000ypw5r2AA","a00RB000024Ux5jYAC",
"a0FRB00000Wifcv2AB","MFIW-000158","60861151","TC神鋼不動産株式会社","2026-06-20","12100","反映可能","001RB00001VTqfsYAD","a04RB00000kUAPzYAO","a0BRB0000124lpu2AA","a00RB000027flsLYAQ",
"a0FRB00000WicaL2AR","MFIW-000166","60861149","株式会社TAKUTO","2026-06-20","12100","反映可能","001RB00001VTtIfYAL","a04RB00000kUAQ0YAO","a0BRB00000ynn5s2AA","a00RB000027fzNjYAI",
"a0FRB00000WicaM2AR","MFIW-000167","60861153","ONETEAM不動産","2026-06-20","12100","反映可能","001RB00001VTtIdYAL","a04RB00000kUAPxYAO","a0BRB00000ynn5p2AA","a00RB000027fzNkYAI",
"a0FRB00000WicaQ2AR","MFIW-000171","60861157","株式会社博進コスモプラザ","2026-06-20","12100","反映可能","001RB00001VTtIXYA1","a04RB00000kUAPlYAO","a0BRB00000ynn5d2AA","a00RB000027fzNmYAI",
"a0FRB00000WicaU2AR","MFIW-000175","60861162","株式会社穂積住宅","2026-06-20","36300","反映可能","001RB00001VTqaGYAT","a04RB00000kUAPbYAO","a0BRB00000ynn5T2AQ","a00RB000027fzNnYAI",
"a0FRB00000WicaV2AR","MFIW-000176","60861164","株式会社イーグランド","2026-06-20","12100","反映可能","001RB00001VTqZVYA1","a04RB00000kUAPXYA4","a0BRB00000ynn5P2AQ","a00RB000027fzNoYAI",
"a0FRB00000WicaW2AR","MFIW-000177","60861166","株式会社ハウスプラザ","2026-06-20","12100","反映可能","001RB00001VTqZpYAL","a04RB00000kUAPVYA4","a0BRB00000ynn5N2AQ","a00RB000027fzNpYAI",
"a0FRB00000WhTPS2A3","MFIW-000186","60861177","47内装株式会社","2026-06-20","60500","反映可能","001RB00001VTCYGYA5","a04RB00000kUAO1YAO","a0BRB00000ynb5w2AA","a00RB000027fzNUYAY",
"a0FRB00000WhTPX2A3","MFIW-000191","60861183","東急株式会社","2026-06-20","12100","反映可能","001RB00001VTrs0YAD","a04RB00000kUANgYAO","a0BRB00000ynb5b2AA","a00RB000027fzNXYAY",
"a0FRB00000WhTPY2A3","MFIW-000192","60861184","戸田建設株式会社","2026-06-20","60500","反映可能","001RB00001VTrmnYAD","a04RB00000kUAO0YAO","a0BRB00000ynb5v2AA","a00RB000027fzNYYAY",
"a0FRB00000WhTPZ2A3","MFIW-000193","60861185","株式会社エージェント","2026-06-20","12100","反映可能","001RB00001VTqZWYA1","a04RB00000kUAPjYAO","a0BRB00000ynn5b2AA","a00RB000027fzNZYAY",
"a0FRB00000WhTPa2AN","MFIW-000194","60861186","ホームトレードセンター株式会社","2026-06-20","12100","反映可能","001RB00001VTqnbYAD","a04RB00000kUAQ2YAO","a0BRB00000ynn5u2AA","a00RB000027fzNaYAI",
"a0FRB00000WhTPb2AN","MFIW-000195","60861187","株式会社アズスタット","2026-06-20","12100","反映可能","001RB00001VTqnHYAT","a04RB00000kUAQ3YAO","a0BRB00000ynn5v2AA","a00RB000027fzNbYAI",
"a0FRB00000WihDL2AZ","MFIW-000201","60900081","株式会社フロンティアコンサルティング","2026-06-20","605000","反映可能","001RB00001VTqlHYAT","a04RB00000kUANiYAO","a0BRB00000ynb5d2AA","a00RB000027fzNsYAI",
"a0FRB00000WihDM2AZ","MFIW-000202","60901483","株式会社大塚商会","2026-06-20","14080","反映可能","001RB00001VTqleYAD","a04RB00000kUAObYAO","a0BRB00000ynb6W2AQ","a00RB000027fzNtYAI",
"a0FRB00000WihDX2AZ","MFIW-000213","60953208","株式会社大塚商会","2026-06-20","84480","反映可能","001RB00001VTqleYAD","a04RB00000kUAObYAO","a0BRB00000ynb6W2AQ","a00RB000027fzNwYAI",
