"Id","Name","InvoiceWork__c","WorkName","WorkStatus","Description__c","Quantity__c","UnitPrice__c","LineAmount__c","SuggestedProductMaster__c","ConfirmedProductMaster__c","ProductResolveStatus__c","ImportStatus__c","CreatedInvoiceLine__c","CreatedInvoiceLineProduct","ResolveMessage__c"
"a0ERB00000OjnOX2AZ","MFILW-000253","a0FRB00000Wifcv2AB","MFIW-000158","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6T2QW","a0CRB0000CcXZ6i2QG","確定済み","取得済み","a01RB00001ZIOTpYAP","a0CRB0000CcXZ6T2QW","Matched by unit price."
"a0ERB00000OjnWj2AJ","MFILW-000262","a0FRB00000WicaL2AR","MFIW-000166","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6T2QW","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfbYAH","a0CRB0000CcXZ6T2QW","Matched by unit price."
"a0ERB00000OjnWl2AJ","MFILW-000264","a0FRB00000WicaN2AR","MFIW-000168","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6T2QW","a0CRB0000CcXZ6T2QW","要確認","取得済み",,,"Matched by unit price."
"a0ERB00000OjnWs2AJ","MFILW-000271","a0FRB00000WicaU2AR","MFIW-000175","要確認","knock knock AI_Basicプラン(月額)","3","11000","33000","a0CRB0000CcXZ6T2QW","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQffYAH","a0CRB0000CcXZ6T2QW","Matched by unit price."
"a0ERB00000OjndI2AR","MFILW-000290","a0FRB00000WhTPa2AN","MFIW-000194","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6T2QW","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfSYAX","a0CRB0000CcXZ6T2QW","Matched by unit price."
"a0ERB00000OjndJ2AR","MFILW-000291","a0FRB00000WhTPb2AN","MFIW-000195","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6T2QW","a0CRB0000CcXZ6T2QW","要確認","取得済み","a01RB00001ZIQfTYAX","a0CRB0000CcXZ6T2QW","Matched by unit price."
"a0ERB00000OjwBk2AJ","MFILW-000319","a0FRB00000WjSKK2A3","MFIW-000220","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000OjwBo2AJ","MFILW-000323","a0FRB00000WjSKO2A3","MFIW-000224","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000OjwBv2AJ","MFILW-000330","a0FRB00000WjSKV2A3","MFIW-000231","要確認","knock knock AI_Basicプラン(月額)","3","11000","33000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000OjwQT2AZ","MFILW-000352","a0FRB00000WjTBl2AN","MFIW-000253","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
