"Id","Name","ImportStatus__c","CreatedInvoice__c","ValidationMessage__c"
"a0FRB00000WhTPa2AN","MFIW-000194","要確認","a00RB000027fzNaYAI","請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000WhTPb2AN","MFIW-000195","要確認","a00RB000027fzNbYAI","請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000WicaL2AR","MFIW-000166","要確認","a00RB000027fzNjYAI","請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000WicaN2AR","MFIW-000168","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。
契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WicaU2AR","MFIW-000175","要確認","a00RB000027fzNnYAI","請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000Wifcv2AB","MFIW-000158","要確認","a00RB000027flsLYAQ","請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000Wj59K2AR","MFIW-000278","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000Wj5UG2AZ","MFIW-000319","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000Wj5UH2AZ","MFIW-000320","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000WjFOz2AN","MFIW-000351","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。
契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WjSKK2A3","MFIW-000220","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000WjSKO2A3","MFIW-000224","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。
契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WjSKV2A3","MFIW-000231","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000WjTBl2AN","MFIW-000253","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000WjTBm2AN","MFIW-000254","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000Wjfvt2AB","MFIW-000297","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000WjhzF2AR","MFIW-000363","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000WjhzG2AR","MFIW-000364","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000Ypg4t2AB","MFIW-000376","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000Ypg512AB","MFIW-000384","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000YqSO32AN","MFIW-000416","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000YqSOA2A3","MFIW-000423","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000Yr46p2AB","MFIW-000441","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
"a0FRB00000Yr46q2AB","MFIW-000442","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。"
