"Id","Name","ImportStatus__c","CreatedInvoice__c","ValidationMessage__c"
"a0FRB00000WhTPa2AN","MFIW-000194","要確認","a00RB000027fzNaYAI","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000WhTPb2AN","MFIW-000195","要確認","a00RB000027fzNbYAI","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000WicaL2AR","MFIW-000166","要確認","a00RB000027fzNjYAI","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000WicaN2AR","MFIW-000168","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。
契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WicaU2AR","MFIW-000175","要確認","a00RB000027fzNnYAI","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000Wifcv2AB","MFIW-000158","要確認","a00RB000027flsLYAQ","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000Wj59K2AR","MFIW-000278","反映済み","a00RB00002AyE69YAF",
"a0FRB00000Wj5UG2AZ","MFIW-000319","反映済み","a00RB00002AyE6AYAV",
"a0FRB00000Wj5UH2AZ","MFIW-000320","反映済み","a00RB00002AyE6BYAV",
"a0FRB00000WjFOz2AN","MFIW-000351","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。
契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WjSKK2A3","MFIW-000220","反映済み","a00RB00002AyE6CYAV",
"a0FRB00000WjSKO2A3","MFIW-000224","要確認",,"請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。
契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WjSKV2A3","MFIW-000231","反映済み","a00RB00002AyE6DYAV",
"a0FRB00000WjTBl2AN","MFIW-000253","反映済み","a00RB00002AyE6EYAV",
"a0FRB00000WjTBm2AN","MFIW-000254","反映済み","a00RB00002AyE6FYAV",
"a0FRB00000Wjfvt2AB","MFIW-000297","反映済み","a00RB00002AyE6GYAV",
"a0FRB00000WjhzF2AR","MFIW-000363","反映済み","a00RB00002AyE6HYAV",
"a0FRB00000WjhzG2AR","MFIW-000364","反映済み","a00RB00002AyE6IYAV",
"a0FRB00000Ypg4t2AB","MFIW-000376","反映済み","a00RB00002AyE6JYAV",
"a0FRB00000Ypg512AB","MFIW-000384","反映済み","a00RB00002AyE6KYAV",
"a0FRB00000YqSO32AN","MFIW-000416","反映済み","a00RB00002AyE6LYAV",
"a0FRB00000YqSOA2A3","MFIW-000423","反映済み","a00RB00002AyE6MYAV",
"a0FRB00000Yr46p2AB","MFIW-000441","反映済み","a00RB00002AyE6NYAV",
"a0FRB00000Yr46q2AB","MFIW-000442","反映済み","a00RB00002AyE6OYAV",
