Id,Name,Account__c,ProductCategory__c,PlanCategory__c,StageName__c,MRR__c,LastModifiedDate
a08RB00001Z1G9IYAV,FUJITA の取引,,Rendery,Enterprise,Closed Won,140000,2026-07-19T04:40:24.000+0000
a08RB00001Z1G8QYAV,iFIND株式会社,,Rendery,Enterprise,Closed Won,132000,2026-07-19T04:40:24.000+0000
a08RB00001Z16QxYAJ,JOA株式会社 の取引,001RB00001VTqmBYAT,Rendery,Enterprise,Closed Won,55000,2026-07-19T04:40:23.000+0000
a08RB00001Z1G8pYAF,アイリスオーヤマ株式会社(S),,Rendery,Enterprise,Closed Won,90000,2026-07-22T12:05:45.000+0000
a08RB00001Z1G80YAF,ジーク株式会社,,Rendery,Enterprise,Closed Won,75000,2026-07-19T04:40:23.000+0000
a08RB00001Z1GBPYA3,ジーク株式会社（福岡）,,Rendery,Enterprise,Closed Won,75000,2026-07-22T12:05:50.000+0000
a08RB00001dugjxYAA,ライフステージ福山様　Rendery Enterprise導入（アップセル）,001RB00001VTr0AYAT,Rendery,Enterprise,Closed Won,90000,2026-07-27T01:14:47.000+0000
a08RB00001Z16QmYAJ,株式会社B-PROJECT の取引,001RB00001VTqm7YAD,Rendery,Enterprise,Closed Won,66000,2026-07-19T04:40:23.000+0000
a08RB00001Z1GACYA3,株式会社ecoaハウス,,Rendery,Enterprise,Closed Won,75000,2026-07-19T04:40:24.000+0000
a08RB00001Z1G7mYAF,株式会社NTTファシリティーズ の取引,,Rendery,Enterprise,Closed Won,150000,2026-07-19T04:40:23.000+0000
a08RB00001Z1G6xYAF,株式会社アールシーコア,,Rendery,Enterprise,Closed Won,250000,2026-07-19T04:40:23.000+0000
a08RB00001Z16QuYAJ,株式会社アットオフィス の取引,001RB00001VTqlgYAD,Rendery,Enterprise,Closed Won,55000,2026-07-19T04:40:23.000+0000
a08RB00001Z1G8dYAF,株式会社サンケイビル,,Rendery,Enterprise,Closed Won,70000,2026-07-19T04:40:24.000+0000
a08RB00001Z1GBOYA3,株式会社デザインアーク,,Rendery,Enterprise,Closed Won,30000,2026-07-19T04:40:24.000+0000
a08RB00001Z1G9tYAF,株式会社デザインアーク東京スペースソリューション第１営業所(S),,Rendery,Enterprise,Closed Won,30000,2026-07-22T12:01:24.000+0000
a08RB00001Z16Q9YAJ,株式会社フジタ,001RB00001VTrwFYAT,Rendery,Enterprise,Closed Won,75000,2026-07-19T04:40:23.000+0000
a08RB00001Z1G8OYAV,株式会社フジタ(A),,Rendery,Enterprise,Closed Won,75000,2026-07-22T12:01:29.000+0000
a08RB00001Z1GBGYA3,株式会社フロンティアコンサルティング,,Rendery,Enterprise,Closed Won,22000,2026-07-19T04:40:24.000+0000
a08RB00001Z16QtYAJ,株式会社石勝エクステリア の取引,001RB00001VTqnMYAT,Rendery,Enterprise,Closed Won,140000,2026-07-19T04:40:23.000+0000
a08RB00001Z1G8PYAV,株式会社石勝エクステリア の取引 (A),,Rendery,Enterprise,Closed Won,140000,2026-07-22T12:35:45.000+0000
a08RB00001Z1GA2YAN,戸田建設株式会社,,Rendery,Enterprise,Closed Won,105000,2026-07-22T12:11:51.000+0000
a08RB00001Z16R1YAJ,戸田建設株式会社 Upsell の取引,001RB00001VTrmnYAD,Rendery,Enterprise,Closed Won,33000,2026-07-19T04:40:23.000+0000
