Id,Name,Freee_Invoice_Id__c,Freee_Sync_Status__c,Freee_Sync_Message__c,Freee_Last_Synced_At__c,Freee_Invoice_Status__c,PaymentStatus__c,CancelStatus__c,InvoiceAmount__c,Payment_Date__c
a00RB000024Ux4PYAS,INV-0000000018,56133730,Success,,2026-07-28T03:26:54.000+0000,送付待ち,決済待ち,通常,145200,
a00RB000024Ux4bYAC,INV-0000000030,54067683,Success,,2026-07-28T03:26:55.000+0000,送付済み,決済待ち,通常,12100,2026-04-30
a00RB000024Ux4cYAC,INV-0000000031,54067686,Success,,2026-07-28T03:26:55.000+0000,送付済み,決済済み,通常,17600,2026-04-30
a00RB000024Ux4dYAC,INV-0000000032,54108710,Success,,2026-07-28T03:26:56.000+0000,送付待ち,決済待ち,通常,175450,2026-04-30
a00RB000024Ux4uYAC,INV-0000000049,56461105,Success,,2026-07-28T03:26:57.000+0000,送付待ち,決済待ち,通常,145200,2026-05-31
a00RB000024Ux53YAC,INV-0000000058,56461123,Success,,2026-07-28T03:26:57.000+0000,送付済み,決済待ち,通常,12100,2026-05-31
a00RB000024Ux54YAC,INV-0000000059,56461125,Success,,2026-07-28T03:26:58.000+0000,送付済み,決済済み,通常,17600,2026-05-31
a00RB000024Ux5CYAS,INV-0000000067,56527527,Success,,2026-07-28T03:26:59.000+0000,送付済み,決済済み,通常,12100,2026-05-31
a00RB000024Ux5IYAS,INV-0000000073,57073276,Success,,2026-07-28T03:28:18.000+0000,送付待ち,決済待ち,通常,8800,2026-05-31
a00RB000024Ux5KYAS,INV-0000000075,58388932,Success,,2026-07-28T03:28:18.000+0000,送付待ち,決済待ち,通常,181500,
a00RB000027fzNeYAI,INV-0000000147,60792915,Success,,2026-07-28T03:28:19.000+0000,送付済み,決済待ち,通常,44000,2026-07-31
a00RB000027fzNgYAI,INV-0000000149,60792918,Success,,2026-07-28T03:28:20.000+0000,送付済み,決済待ち,通常,8800,2026-07-31
a00RB000027fzNhYAI,INV-0000000150,60792921,Success,,2026-07-28T03:28:20.000+0000,送付済み,決済待ち,通常,8800,2026-07-31
a00RB000027fzNiYAI,INV-0000000151,60792925,Success,,2026-07-28T03:28:21.000+0000,送付済み,決済待ち,通常,8800,2026-07-31
a00RB000027fzNkYAI,INV-0000000153,60861153,Success,,2026-07-28T03:28:21.000+0000,送付済み,決済待ち,通常,12100,2026-07-31
a00RB000027fzNmYAI,INV-0000000155,60861157,Success,,2026-07-28T03:28:22.000+0000,送付済み,決済待ち,通常,12100,2026-07-31
a00RB000027fzNoYAI,INV-0000000157,60861164,Success,,2026-07-28T03:29:51.000+0000,送付済み,決済待ち,通常,12100,2026-07-31
a00RB000027fzNpYAI,INV-0000000158,60861166,Success,,2026-07-28T03:29:52.000+0000,送付済み,決済待ち,通常,12100,2026-07-31
a00RB000027fzNqYAI,INV-0000000159,60861193,Success,,2026-07-28T03:29:52.000+0000,送付済み,決済待ち,通常,60500,2026-07-31
a00RB000027fzNrYAI,INV-0000000160,60899966,Success,,2026-07-28T03:29:53.000+0000,送付済み,決済待ち,通常,70400,2026-07-31
a00RB000027fzNsYAI,INV-0000000161,60900081,Success,,2026-07-28T03:29:54.000+0000,送付済み,決済待ち,通常,605000,2026-07-31
a00RB000027fzNtYAI,INV-0000000162,60901483,Success,,2026-07-28T03:29:54.000+0000,送付済み,決済待ち,通常,14080,2026-07-31
a00RB000027fzNwYAI,INV-0000000165,60953208,Success,,2026-07-28T03:29:55.000+0000,送付済み,決済待ち,通常,84480,2026-07-31
a00RB000027fzNxYAI,INV-0000000166,60953422,Success,,2026-07-28T03:29:55.000+0000,送付済み,決済待ち,通常,82500,2026-07-31
