Id,Name,ParentContract__c,Freee_Invoice_Id__c,Freee_Sync_Status__c,Freee_Sync_Message__c,Freee_Last_Synced_At__c,Freee_Invoice_Status__c,PaymentStatus__c,CancelStatus__c,Sent_To_Freee__c,InvoiceAmount__c,Payment_Date__c,Billing_Date__c,Freee_Account_Item_Picklist__c
a00RB000024Ux4bYAC,INV-0000000030,a04RB00000kUAQBYA4,54067683,Failed,"{""status_code"":429,""meta"":{""limit"":3000,""period"":86400,""remaining"":0,""reset"":""2026-07-04T09:00:00+09:00""}}",2026-07-03T18:00:31.000+0000,送付済み,決済待ち,通常,true,12100,2026-04-30,2026-03-20,Sales
a00RB000024Ux4cYAC,INV-0000000031,a04RB00000kUAOtYAO,54067686,Failed,"{""status_code"":429,""meta"":{""limit"":3000,""period"":86400,""remaining"":0,""reset"":""2026-07-04T09:00:00+09:00""}}",2026-07-03T18:00:33.000+0000,送付済み,決済待ち,通常,true,17600,2026-04-30,2026-03-20,Sales
a00RB000024Ux4dYAC,INV-0000000032,a04RB00000kUAPdYAO,54108710,Failed,"{""status_code"":429,""meta"":{""limit"":3000,""period"":86400,""remaining"":0,""reset"":""2026-07-04T09:00:00+09:00""}}",2026-07-03T18:00:35.000+0000,送付待ち,決済待ち,通常,true,175450,2026-04-30,2026-03-20,Sales
a00RB000024Ux4PYAS,INV-0000000018,a04RB00000kUAOTYA4,56133730,Failed,"{""status_code"":429,""meta"":{""limit"":3000,""period"":86400,""remaining"":0,""reset"":""2026-07-04T09:00:00+09:00""}}",2026-07-03T18:00:29.000+0000,送付待ち,決済待ち,通常,true,145200,,2026-04-09,Sales
a00RB000024Ux4uYAC,INV-0000000049,a04RB00000kUAOTYA4,56461105,Failed,"{""status_code"":429,""meta"":{""limit"":3000,""period"":86400,""remaining"":0,""reset"":""2026-07-04T09:00:00+09:00""}}",2026-07-03T18:00:38.000+0000,送付待ち,決済待ち,通常,true,145200,2026-05-31,2026-04-20,Sales
a00RB000024Ux53YAC,INV-0000000058,a04RB00000kUAQBYA4,56461123,Failed,"{""status_code"":429,""meta"":{""limit"":3000,""period"":86400,""remaining"":0,""reset"":""2026-07-04T09:00:00+09:00""}}",2026-07-03T18:00:40.000+0000,送付済み,決済待ち,通常,true,12100,2026-05-31,2026-04-20,Sales
a00RB000024Ux54YAC,INV-0000000059,a04RB00000kUAOtYAO,56461125,Failed,"{""status_code"":429,""meta"":{""limit"":3000,""period"":86400,""remaining"":0,""reset"":""2026-07-04T09:00:00+09:00""}}",2026-07-03T18:00:42.000+0000,送付済み,決済待ち,通常,true,17600,2026-05-31,2026-04-20,Sales
a00RB000024Ux5CYAS,INV-0000000067,a04RB00000kUAPnYAO,56527527,Failed,"{""status_code"":429,""meta"":{""limit"":3000,""period"":86400,""remaining"":0,""reset"":""2026-07-04T09:00:00+09:00""}}",2026-07-03T18:00:46.000+0000,送付済み,決済待ち,通常,true,12100,2026-05-31,2026-04-20,Sales
a00RB000024Ux5IYAS,INV-0000000073,a04RB00000kUAP3YAO,57073276,Failed,"{""status_code"":429,""meta"":{""limit"":3000,""period"":86400,""remaining"":0,""reset"":""2026-07-04T09:00:00+09:00""}}",2026-07-03T18:00:52.000+0000,送付待ち,決済待ち,通常,true,8800,2026-05-31,2026-04-30,Sales
a00RB000024Ux5KYAS,INV-0000000075,a04RB00000kUAOAYA4,58388932,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-04T03:01:00+09:00""}}",2026-07-03T18:00:55.000+0000,送付待ち,決済待ち,通常,true,181500,,2026-05-13,Sales
