"Id","Name","ContractName__c","Account__c","Account__r.Name","Status__c","UnresolvedReason"
"a04RB00000kUANnYAO","CN-00000013","studio55","001RB00001VTrOjYAL","株式会社 STUDIO55","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUANqYAO","CN-00000016","東急リゾーツ＆ステイ","001RB00001VTrkXYAT","東急リゾーツ&ステイ株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUANtYAO","CN-00000019","ジェイアール北海道エンジニアリング株式会社(大塚商会)","001RB00001VTr0TYAT","ジェイアール北海道エンジニアリング株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUANuYAO","CN-00000020","リリカラ(大塚商会)","001RB00001VTr1PYAT","リリカラ株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUANxYAO","CN-00000023","九州旅客鉄道株式会社　工事部施設課","001RB00001VTrOlYAL","九州旅客鉄道 株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAO6YAO","CN-00000032","佐伯綜合建設(大塚商会)","001RB00001VTtIQYA1","佐伯綜合建設","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAO9YAO","CN-00000035","矢作建設工業株式会社","001RB00001VTqlfYAD","矢作建設工業株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAOIYA4","CN-00000044","九州旅客鉄道株式会社　博多設備区","001RB00001VTrOlYAL","九州旅客鉄道 株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAOKYA4","CN-00000046","アイリスオーヤマ（ストアデザイン部）","001RB00001VTqkwYAD","アイリスオーヤマ株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAOLYA4","CN-00000047","アイリスオーヤマ（空間デザイン部）","001RB00001VTqkwYAD","アイリスオーヤマ株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAONYA4","CN-00000049","九州旅客鉄道株式会社　開発工事部","001RB00001VTrOlYAL","九州旅客鉄道 株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAOOYA4","CN-00000050","株式会社JR東日本建築設計","001RB00001VTrHVYA1","株式会社 JR東日本建築設計","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAOVYA4","CN-00000057","三菱地所株式会社(DX推進部)","001RB00001VTqeCYAT","三菱地所株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAOXYA4","CN-00000059","株式会社コスモスイニシア　建築本部","001RB00001VTqgBYAT","株式会社コスモスイニシア","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAOYYA4","CN-00000060","株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）","001RB00001VTqgBYAT","株式会社コスモスイニシア","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAOZYA4","CN-00000061","株式会社コスモスイニシア　事業本部（流通事業）","001RB00001VTqgBYAT","株式会社コスモスイニシア","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAOaYAO","CN-00000062","株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）","001RB00001VTqgBYAT","株式会社コスモスイニシア","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAOdYAO","CN-00000065","生和コーポレーション株式会社","001RB00001VTqmcYAD","生和コーポレーション株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAOiYAO","CN-00000070","大東建託株式会社　商品開発部","001RB00001VTruMYAT","大東建託株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAOlYAO","CN-00000073","株式会社フジタ（調達本部　インテリア・ソリューション統括部　インテリア部）","001RB00001VTrwFYAT","株式会社フジタ","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAOvYAO","CN-00000083","野村不動産株式会社","001RB00001VTCYEYA5","野村不動産株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAOwYAO","CN-00000084","野村不動産株式会社（シングルサインオン分）","001RB00001VTCYEYA5","野村不動産株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAP8YAO","CN-00000096","近鉄不動産","001RB00001VTrvcYAD","近鉄不動産株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAP9YAO","CN-00000097","近鉄不動産(セキュリティオプション月額）","001RB00001VTrvcYAD","近鉄不動産株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAPCYA4","CN-00000100","株式会社フジタ　BIM推進部","001RB00001VTrwFYAT","株式会社フジタ","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAPDYA4","CN-00000101","株式会社フジタ　設計統括部","001RB00001VTrwFYAT","株式会社フジタ","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAPKYA4","CN-00000108","株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所","001RB00001VTruAYAT","株式会社デザインアーク","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAPLYA4","CN-00000109","NTTファシリティーズ株式会社","001RB00001VTrnrYAD","NTTファシリティーズ","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAPMYA4","CN-00000110","合同会社小島屋","001RB00001VTruZYAT","小島屋","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAPZYA4","CN-00000123","株式会社西武開発","001RB00001VTqaIYAT","株式会社西武開発","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000kUAPgYAO","CN-00000130","株式会社ヨコハマ地所","001RB00001VTqYlYAL","ヨコハマ地所株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000lZ54zYAC","CN-00000191","野村不動産株式会社　商業事業本部","001RB00001VTCYEYA5","野村不動産株式会社","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
"a04RB00000nA94DYAS","CN-00000230","【着手金】AIシミュレーション開発・保守費⽤（2026年6⽉-2027年3⽉）","001RB00001VTqidYAD","株式会社LIXIL","Activated","契約管理への直接請求、契約期間経由の請求、月次明細の関連請求が存在しないため特定不可"
