Id,Name,FreeeInvoiceId__c,BillingDate__c,FreeePartnerId__c,PartnerName__c,ResolvedAccount__c,ResolvedAccount__r.Name,ResolvedAccount__r.Freee_Partner_Id__c,ResolvedContract__c,ResolvedContract__r.Name,ImportStatus__c,CreatedInvoice__c,CreatedInvoice__r.Name,ValidationMessage__c
a0FRB00000Wj59O2AR,MFIW-000282,54153843,2026-03-20,100332683,株式会社JR東日本建築設計,001RB00001br9KSYAY,株式会社JR東日本建築設計,100332683,a04RB00000n5JdtYAE,CN-00000211,反映済み,a00RB00002B4i3XYAR,INV-0000000321,
a0FRB00000Wjfvx2AB,MFIW-000301,56527538,2026-04-20,100332683,株式会社JR東日本建築設計,001RB00001br9KSYAY,株式会社JR東日本建築設計,100332683,a04RB00000n5JdtYAE,CN-00000211,反映済み,a00RB00002B4i3zYAB,INV-0000000349,
a0FRB00000WjSKZ2A3,MFIW-000235,58573626,2026-05-20,100332683,株式会社JR東日本建築設計,001RB00001br9KSYAY,株式会社JR東日本建築設計,100332683,a04RB00000n5JdtYAE,CN-00000211,反映済み,a00RB00002B4i3nYAB,INV-0000000337,
a0FRB00000WicaX2AR,MFIW-000178,60861167,2026-06-20,100332683,株式会社JR東日本建築設計,001RB00001br9KSYAY,株式会社JR東日本建築設計,100332683,a04RB00000n5JdtYAE,CN-00000211,反映済み,a00RB00002B4i3NYAR,INV-0000000311,
a0FRB00000YqLuR2AV,MFIW-000426,63150551,2026-07-20,100332683,株式会社JR東日本建築設計,001RB00001br9KSYAY,株式会社JR東日本建築設計,100332683,a04RB00000n5JdtYAE,CN-00000211,反映済み,a00RB00002B4i4KYAR,INV-0000000370,
a0FRB00000WjhrF2AR,MFIW-000357,54153861,2026-03-20,86796448,東急リゾーツ＆ステイ株式会社,001RB00001br9KMYAY,東急リゾーツ＆ステイ株式会社,86796448,,,要確認,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
a0FRB00000Wj5UB2AZ,MFIW-000314,56527556,2026-04-20,86796448,東急リゾーツ＆ステイ株式会社,001RB00001br9KMYAY,東急リゾーツ＆ステイ株式会社,86796448,,,要確認,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
a0FRB00000WjTBg2AN,MFIW-000248,58573648,2026-05-20,86796448,東急リゾーツ＆ステイ株式会社,001RB00001br9KMYAY,東急リゾーツ＆ステイ株式会社,86796448,,,要確認,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
a0FRB00000WhTPV2A3,MFIW-000189,60861181,2026-06-20,86796448,東急リゾーツ＆ステイ株式会社,001RB00001br9KMYAY,東急リゾーツ＆ステイ株式会社,86796448,a04RB00000n5JdmYAE,CN-00000204,反映済み,a00RB00002B2ejcYAB,INV-0000000378,
a0FRB00000Yr46l2AB,MFIW-000437,63150570,2026-07-20,86796448,東急リゾーツ＆ステイ株式会社,001RB00001br9KMYAY,東急リゾーツ＆ステイ株式会社,86796448,a04RB00000n5JdmYAE,CN-00000204,反映済み,a00RB00002B4i4PYAR,INV-0000000375,
