Id,Name,MasterContract__c,ContractYearMonth__c,RelatedInvoice__c,RelatedInvoice__r.Name,ProductMaster__c,ProductMaster__r.Name,MRR_Target__c,RevenueAmount__c
a03RB00001NswhHYAR,株式会社石勝エクステリア_2026/03,a04RB00000kUAOkYAO,2026/03,a00RB000024Ux4UYAS,INV-0000000023,,,false,
a03RB00001Nswi0YAB,株式会社アールシーコア_2026/05,a04RB00000kUAOoYAO,2026/05,a00RB000024Ux5SYAS,INV-0000000083,,,false,
a03RB00001NswhzYAB,株式会社アールシーコア_2026/04,a04RB00000kUAOoYAO,2026/04,a00RB000024Ux4xYAC,INV-0000000052,,,false,
a03RB00001NswiOYAR,株式会社石勝エクステリア(シングルサインオン分）_2026/03,a04RB00000kUAOrYAO,2026/03,a00RB000024Ux4UYAS,INV-0000000023,,,false,
a03RB00001NswifYAB,株式会社アールシーコア(セキュリティオプション月額）_2026/05,a04RB00000kUAOsYAO,2026/05,a00RB000024Ux5SYAS,INV-0000000083,,,false,
a03RB00001NswieYAB,株式会社アールシーコア(セキュリティオプション月額）_2026/04,a04RB00000kUAOsYAO,2026/04,a00RB000024Ux4xYAC,INV-0000000052,,,false,
a03RB00001NswjNYAR,株式会社サンケイビル_2027/03,a04RB00000kUAP2YAO,2027/03,a00RB000024Ux4BYAS,INV-0000000004,,,false,
a03RB00001NswjMYAR,株式会社サンケイビル_2027/02,a04RB00000kUAP2YAO,2027/02,a00RB000024Ux4BYAS,INV-0000000004,,,false,
a03RB00001NswjLYAR,株式会社サンケイビル_2027/01,a04RB00000kUAP2YAO,2027/01,a00RB000024Ux4BYAS,INV-0000000004,,,false,
a03RB00001NswjKYAR,株式会社サンケイビル_2026/12,a04RB00000kUAP2YAO,2026/12,a00RB000024Ux4BYAS,INV-0000000004,,,false,
a03RB00001NswjJYAR,株式会社サンケイビル_2026/11,a04RB00000kUAP2YAO,2026/11,a00RB000024Ux4BYAS,INV-0000000004,,,false,
a03RB00001NswjIYAR,株式会社サンケイビル_2026/10,a04RB00000kUAP2YAO,2026/10,a00RB000024Ux4BYAS,INV-0000000004,,,false,
a03RB00001NswjHYAR,株式会社サンケイビル_2026/09,a04RB00000kUAP2YAO,2026/09,a00RB000024Ux4BYAS,INV-0000000004,,,false,
a03RB00001NswjGYAR,株式会社サンケイビル_2026/08,a04RB00000kUAP2YAO,2026/08,a00RB000024Ux4BYAS,INV-0000000004,,,false,
a03RB00001NswjFYAR,株式会社サンケイビル_2026/07,a04RB00000kUAP2YAO,2026/07,a00RB000024Ux4BYAS,INV-0000000004,,,false,
a03RB00001NswjEYAR,株式会社サンケイビル_2026/06,a04RB00000kUAP2YAO,2026/06,a00RB000024Ux4BYAS,INV-0000000004,,,false,
a03RB00001NswjDYAR,株式会社サンケイビル_2026/05,a04RB00000kUAP2YAO,2026/05,a00RB000024Ux4BYAS,INV-0000000004,,,false,
a03RB00001NswjCYAR,株式会社サンケイビル_2026/04,a04RB00000kUAP2YAO,2026/04,a00RB000024Ux4BYAS,INV-0000000004,,,false,
a03RB00001UyZVrYAN,a03RB00001UyZVr,a04RB00000n5JdhYAE,2026/06,a00RB000023liu7YAA,INV-0000000003,a0CRB0000CcXZ6Q2QW,Rendery Proプラン,true,24000
a03RB00001UyZX6YAN,a03RB00001UyZX6,a04RB00000n5JeAYAU,2026/07,a00RB000029duDrYAI,INV-0000000177,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,true,75000
