"Id","Name","ContractName","Account","CurrentPlan","MRR","ProposedProductCategory","ProposedPlanCategory","ProposedAccountCount","Evidence","Confidence","Classification","Reason","SalesforceUrl"
"a04RB00000kUANnYAO","CN-00000013","studio55","株式会社 STUDIO55","BA","","Rendery","Basic","1","最新月2026/08・契約月次明細 PeopleNumber=1・Plan=BA","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUANnYAO/view"
"a04RB00000kUANqYAO","CN-00000016","東急リゾーツ＆ステイ","東急リゾーツ&ステイ株式会社","EN","44000","Rendery","Enterprise","4","最新月2026/08・契約月次明細 PeopleNumber=4・Plan=EN","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUANqYAO/view"
"a04RB00000kUANtYAO","CN-00000019","ジェイアール北海道エンジニアリング株式会社(大塚商会)","ジェイアール北海道エンジニアリング株式会社","Pro＋","6400","Rendery","Pro","1","最新月2026/10・契約月次明細 PeopleNumber=1・Plan=Pro＋","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUANtYAO/view"
"a04RB00000kUANuYAO","CN-00000020","リリカラ(大塚商会)","リリカラ株式会社","Pro＋","12800","Rendery","Pro","2","最新月2026/10・契約月次明細 PeopleNumber=2・Plan=Pro＋","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUANuYAO/view"
"a04RB00000kUANxYAO","CN-00000023","九州旅客鉄道株式会社　工事部施設課","九州旅客鉄道 株式会社","Pro","8000","Rendery","Pro","1","最新月2026/08・契約月次明細 PeopleNumber=1・Plan=Pro","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUANxYAO/view"
"a04RB00000kUAO6YAO","CN-00000032","佐伯綜合建設(大塚商会)","佐伯綜合建設","Pro＋","6400","Rendery","Pro","1","最新月2027/01・契約月次明細 PeopleNumber=1・Plan=Pro＋","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAO6YAO/view"
"a04RB00000kUAO9YAO","CN-00000035","矢作建設工業株式会社","矢作建設工業株式会社","EN","55000","Rendery","Enterprise","5","最新月2026/07・契約月次明細 PeopleNumber=5・Plan=EN","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAO9YAO/view"
"a04RB00000kUAOIYA4","CN-00000044","九州旅客鉄道株式会社　博多設備区","九州旅客鉄道 株式会社","Pro","8000","Rendery","Pro","1","最新月2026/08・契約月次明細 PeopleNumber=1・Plan=Pro","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAOIYA4/view"
"a04RB00000kUAOKYA4","CN-00000046","アイリスオーヤマ（ストアデザイン部）","アイリスオーヤマ株式会社","EN","44000","Rendery","Enterprise","4","最新月2026/08・契約月次明細 PeopleNumber=4・Plan=EN","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAOKYA4/view"
"a04RB00000kUAOLYA4","CN-00000047","アイリスオーヤマ（空間デザイン部）","アイリスオーヤマ株式会社","EN","11000","Rendery","Enterprise","1","最新月2026/08・契約月次明細 PeopleNumber=1・Plan=EN","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAOLYA4/view"
"a04RB00000kUAONYA4","CN-00000049","九州旅客鉄道株式会社　開発工事部","九州旅客鉄道 株式会社","Pro","8000","Rendery","Pro","1","最新月2026/08・契約月次明細 PeopleNumber=1・Plan=Pro","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAONYA4/view"
"a04RB00000kUAOOYA4","CN-00000050","株式会社JR東日本建築設計","株式会社 JR東日本建築設計","Pro","8000","Rendery","Pro","1","最新月2027/03・契約月次明細 PeopleNumber=1・Plan=Pro","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAOOYA4/view"
"a04RB00000kUAOVYA4","CN-00000057","三菱地所株式会社(DX推進部)","三菱地所株式会社","Pro","16000","Rendery","Pro","2","最新月2026/08・契約月次明細 PeopleNumber=2・Plan=Pro","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAOVYA4/view"
"a04RB00000kUAOXYA4","CN-00000059","株式会社コスモスイニシア　建築本部","株式会社コスモスイニシア","EN","98000","Rendery","Enterprise","7","最新月2027/03・契約月次明細 PeopleNumber=7・Plan=EN","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAOXYA4/view"
"a04RB00000kUAOYYA4","CN-00000060","株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）","株式会社コスモスイニシア","EN","70000","Rendery","Enterprise","7","セキュリティオプション契約のため、同一取引先の本体契約 CN-00000059 の最新アカウント数 7 を継承","高","機械更新可能","月次明細の数量1はオプション行数でありアカウント数ではない","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAOYYA4/view"
"a04RB00000kUAOZYA4","CN-00000061","株式会社コスモスイニシア　事業本部（流通事業）","株式会社コスモスイニシア","EN","42000","Rendery","Enterprise","3","最新月2027/03・契約月次明細 PeopleNumber=3・Plan=EN","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAOZYA4/view"
"a04RB00000kUAOaYAO","CN-00000062","株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）","株式会社コスモスイニシア","EN","30000","Rendery","Enterprise","3","セキュリティオプション契約のため、同一取引先の本体契約 CN-00000061 の最新アカウント数 3 を継承","高","機械更新可能","月次明細の数量1はオプション行数でありアカウント数ではない","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAOaYAO/view"
"a04RB00000kUAOdYAO","CN-00000065","生和コーポレーション株式会社","生和コーポレーション株式会社","Pro","8000","Rendery","Pro","1","最新月2026/08・契約月次明細 PeopleNumber=1・Plan=Pro","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAOdYAO/view"
"a04RB00000kUAOiYAO","CN-00000070","大東建託株式会社　商品開発部","大東建託株式会社","Pro","24000","Rendery","Pro","3","最新月2026/12・契約月次明細 PeopleNumber=3・Plan=Pro","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAOiYAO/view"
"a04RB00000kUAOlYAO","CN-00000073","株式会社フジタ（調達本部　インテリア・ソリューション統括部　インテリア部）","株式会社フジタ","EN","70000","Rendery","Enterprise","5","最新月2027/03・契約月次明細 PeopleNumber=5・Plan=EN","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAOlYAO/view"
"a04RB00000kUAOvYAO","CN-00000083","野村不動産株式会社","野村不動産株式会社","EN","150000","Rendery","Enterprise","10","最新月2026/08・契約月次明細 PeopleNumber=10・Plan=EN","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAOvYAO/view"
"a04RB00000kUAOwYAO","CN-00000084","野村不動産株式会社（シングルサインオン分）","野村不動産株式会社","EN","30000","Rendery","Enterprise","10","セキュリティオプション契約のため、同一取引先の本体契約 CN-00000083 の最新アカウント数 10 を継承","高","機械更新可能","月次明細の数量1はオプション行数でありアカウント数ではない","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAOwYAO/view"
"a04RB00000kUAP8YAO","CN-00000096","近鉄不動産","近鉄不動産株式会社","EN","180000","Rendery","Enterprise","12","最新月2026/08・契約月次明細 PeopleNumber=12・Plan=EN","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAP8YAO/view"
"a04RB00000kUAP9YAO","CN-00000097","近鉄不動産(セキュリティオプション月額）","近鉄不動産株式会社","EN","100000","Rendery","Enterprise","12","セキュリティオプション契約のため、同一取引先の本体契約 CN-00000096 の最新アカウント数 12 を継承","高","機械更新可能","月次明細の数量1はオプション行数でありアカウント数ではない","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAP9YAO/view"
"a04RB00000kUAPCYA4","CN-00000100","株式会社フジタ　BIM推進部","株式会社フジタ","EN","42000","Rendery","Enterprise","3","最新月2027/03・契約月次明細 PeopleNumber=3・Plan=EN","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAPCYA4/view"
"a04RB00000kUAPDYA4","CN-00000101","株式会社フジタ　設計統括部","株式会社フジタ","EN","98000","Rendery","Enterprise","7","最新月2027/03・契約月次明細 PeopleNumber=7・Plan=EN","高","機械更新可能","最新の契約月次明細に旧プラン・人数が存在","https://samuraiarchitects.lightning.force.com/lightning/r/Contract__c/a04RB00000kUAPDYA4/view"
