Id,Name,ContractName__c,Account__r.Name,StartDate__c,EndDate__c,ContractUpdate__c,AnnualBillingMonthType__c,NextInvoiceCreationDate__c,Payment__c,MRR__c,ARR__c
a04RB00000kUANnYAO,CN-00000013,studio55,株式会社 STUDIO55,2024-09-01,,月,利用開始月,,Invoice,,
a04RB00000kUANqYAO,CN-00000016,東急リゾーツ＆ステイ,東急リゾーツ&ステイ株式会社,2024-11-01,,月,利用開始月,,Invoice,44000,528000
a04RB00000kUANtYAO,CN-00000019,ジェイアール北海道エンジニアリング株式会社(大塚商会),ジェイアール北海道エンジニアリング株式会社,2024-12-01,,月,利用開始月,,Invoice,6400,76800
a04RB00000kUANuYAO,CN-00000020,リリカラ(大塚商会),リリカラ株式会社,2024-11-01,,月,利用開始月,,Invoice,12800,153600
a04RB00000kUANxYAO,CN-00000023,九州旅客鉄道株式会社　工事部施設課,九州旅客鉄道 株式会社,2024-12-01,,月,利用開始月,,Invoice,8000,96000
a04RB00000kUAO6YAO,CN-00000032,佐伯綜合建設(大塚商会),佐伯綜合建設,2025-02-01,,年,利用開始前月,,Invoice,6400,76800
a04RB00000kUAO9YAO,CN-00000035,矢作建設工業株式会社,矢作建設工業株式会社,2025-04-01,,年,利用開始前月,,Invoice,55000,660000
a04RB00000kUAOIYA4,CN-00000044,九州旅客鉄道株式会社　博多設備区,九州旅客鉄道 株式会社,2025-05-01,,月,利用開始月,,Invoice,8000,96000
a04RB00000kUAOKYA4,CN-00000046,アイリスオーヤマ（ストアデザイン部）,アイリスオーヤマ株式会社,2025-06-01,,月,利用開始月,,Invoice,44000,528000
a04RB00000kUAOLYA4,CN-00000047,アイリスオーヤマ（空間デザイン部）,アイリスオーヤマ株式会社,2025-06-01,,月,利用開始月,,Invoice,11000,132000
a04RB00000kUAONYA4,CN-00000049,九州旅客鉄道株式会社　開発工事部,九州旅客鉄道 株式会社,2025-06-01,,月,利用開始月,,Invoice,8000,96000
a04RB00000kUAOOYA4,CN-00000050,株式会社JR東日本建築設計,株式会社 JR東日本建築設計,2025-07-01,,月,利用開始月,,Invoice,8000,96000
a04RB00000kUAOVYA4,CN-00000057,三菱地所株式会社(DX推進部),三菱地所株式会社,2025-10-01,,月,利用開始月,,Invoice,16000,192000
a04RB00000kUAOXYA4,CN-00000059,株式会社コスモスイニシア　建築本部,株式会社コスモスイニシア,2025-10-01,,月,利用開始月,,Invoice,98000,1176000
a04RB00000kUAOYYA4,CN-00000060,株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）,株式会社コスモスイニシア,2026-04-01,,年,利用開始前月,,Invoice,70000,840000
a04RB00000kUAOZYA4,CN-00000061,株式会社コスモスイニシア　事業本部（流通事業）,株式会社コスモスイニシア,2025-10-01,,年,利用開始前月,,Invoice,42000,504000
a04RB00000kUAOaYAO,CN-00000062,株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）,株式会社コスモスイニシア,2026-04-01,,年,利用開始前月,,Invoice,30000,360000
a04RB00000kUAOdYAO,CN-00000065,生和コーポレーション株式会社,生和コーポレーション株式会社,2025-11-01,,月,利用開始月,,Invoice,8000,96000
a04RB00000kUAOiYAO,CN-00000070,大東建託株式会社　商品開発部,大東建託株式会社,2026-01-01,,年,利用開始前月,,Invoice,24000,288000
a04RB00000kUAOlYAO,CN-00000073,株式会社フジタ（調達本部　インテリア・ソリューション統括部　インテリア部）,株式会社フジタ,2026-02-01,,年,利用開始前月,,Invoice,70000,840000
a04RB00000kUAOvYAO,CN-00000083,野村不動産株式会社,野村不動産株式会社,2026-04-01,,月,利用開始月,,Invoice,150000,1800000
a04RB00000kUAOwYAO,CN-00000084,野村不動産株式会社（シングルサインオン分）,野村不動産株式会社,2026-04-01,,月,利用開始月,,Invoice,30000,360000
a04RB00000kUAP8YAO,CN-00000096,近鉄不動産,近鉄不動産株式会社,2026-04-01,,月,利用開始月,,Invoice,180000,2160000
a04RB00000kUAP9YAO,CN-00000097,近鉄不動産(セキュリティオプション月額）,近鉄不動産株式会社,2026-04-01,,月,利用開始月,,Invoice,100000,1200000
a04RB00000kUAPCYA4,CN-00000100,株式会社フジタ　BIM推進部,株式会社フジタ,2026-04-01,,年,利用開始前月,,Invoice,42000,504000
a04RB00000kUAPDYA4,CN-00000101,株式会社フジタ　設計統括部,株式会社フジタ,2026-04-01,,年,利用開始前月,,Invoice,98000,1176000
a04RB00000kUAPKYA4,CN-00000108,株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所,株式会社デザインアーク,2026-06-01,,月,利用開始月,,Invoice,30000,360000
a04RB00000kUAPLYA4,CN-00000109,NTTファシリティーズ株式会社,NTTファシリティーズ,2026-06-01,,月,利用開始月,,Invoice,150000,1800000
a04RB00000kUAPMYA4,CN-00000110,合同会社小島屋,小島屋,2026-06-01,,月,利用開始月,,Invoice,8000,96000
a04RB00000kUAPZYA4,CN-00000123,株式会社西武開発,株式会社西武開発,2024-12-01,,年,利用開始前月,,Invoice,93500,1122000
a04RB00000kUAPgYAO,CN-00000130,株式会社ヨコハマ地所,ヨコハマ地所株式会社,2025-02-01,,月,利用開始月,,Invoice,11000,132000
a04RB00000lZ54zYAC,CN-00000191,野村不動産株式会社　商業事業本部,野村不動産株式会社,2026-07-01,2027-06-30,年,利用開始月,2027-07-20,Invoice,198000,2040000
a04RB00000nA94DYAS,CN-00000230,【着手金】AIシミュレーション開発・保守費⽤（2026年6⽉-2027年3⽉）,株式会社LIXIL,2026-06-29,,月,利用開始月,,Invoice,,
