Id,Name,ContractName__c,Account__c,Account__r.Name,StartDate__c,EndDate__c,Status__c,Payment__c,Oppotunity__c,Oppotunity__r.Name,Oppotunity__r.ProductCategory__c,Oppotunity__r.PlanCategory__c,Oppotunity__r.AccountCount__c,SourceQuotation__c,SourceQuotation__r.Name,Plan__c,MRR__c,ARR__c,Description__c,CreationSource__c,AutoCreatedFromFreee__c
a04RB00000kUANnYAO,CN-00000013,studio55,001RB00001VTrOjYAL,株式会社 STUDIO55,2024-09-01,,Activated,Invoice,,,,,,,,BA,,,備考: 無料,,false
a04RB00000kUANqYAO,CN-00000016,東急リゾーツ＆ステイ,001RB00001VTrkXYAT,東急リゾーツ&ステイ株式会社,2024-11-01,,Activated,Invoice,,,,,,,,EN,44000,528000,,,false
a04RB00000kUANtYAO,CN-00000019,ジェイアール北海道エンジニアリング株式会社(大塚商会),001RB00001VTr0TYAT,ジェイアール北海道エンジニアリング株式会社,2024-12-01,,Activated,Invoice,,,,,,,,Pro＋,6400,76800,備考: 半年払い,,false
a04RB00000kUANuYAO,CN-00000020,リリカラ(大塚商会),001RB00001VTr1PYAT,リリカラ株式会社,2024-11-01,,Activated,Invoice,,,,,,,,Pro＋,12800,153600,備考: 半年払い,,false
a04RB00000kUANxYAO,CN-00000023,九州旅客鉄道株式会社　工事部施設課,001RB00001VTrOlYAL,九州旅客鉄道 株式会社,2024-12-01,,Activated,Invoice,,,,,,,,Pro,8000,96000,部署: 工事部施設課,,false
a04RB00000kUAO6YAO,CN-00000032,佐伯綜合建設(大塚商会),001RB00001VTtIQYA1,佐伯綜合建設,2025-02-01,,Activated,Invoice,,,,,,,,Pro＋,6400,76800,備考: 年払1/31まで,,false
a04RB00000kUAO9YAO,CN-00000035,矢作建設工業株式会社,001RB00001VTqlfYAD,矢作建設工業株式会社,2025-04-01,,Activated,Invoice,,,,,,,,EN,55000,660000,備考: 年払い,,false
a04RB00000kUAOIYA4,CN-00000044,九州旅客鉄道株式会社　博多設備区,001RB00001VTrOlYAL,九州旅客鉄道 株式会社,2025-05-01,,Activated,Invoice,,,,,,,,Pro,8000,96000,部署: 博多設備区 / 備考: 5月15日スタート,,false
a04RB00000kUAOKYA4,CN-00000046,アイリスオーヤマ（ストアデザイン部）,001RB00001VTqkwYAD,アイリスオーヤマ株式会社,2025-06-01,,Activated,Invoice,,,,,,,,EN,44000,528000,,,false
a04RB00000kUAOLYA4,CN-00000047,アイリスオーヤマ（空間デザイン部）,001RB00001VTqkwYAD,アイリスオーヤマ株式会社,2025-06-01,,Activated,Invoice,,,,,,,,EN,11000,132000,備考: 購買管理課　中島様へ請求書を送付,,false
a04RB00000kUAONYA4,CN-00000049,九州旅客鉄道株式会社　開発工事部,001RB00001VTrOlYAL,九州旅客鉄道 株式会社,2025-06-01,,Activated,Invoice,,,,,,,,Pro,8000,96000,部署: 開発工事部,,false
a04RB00000kUAOOYA4,CN-00000050,株式会社JR東日本建築設計,001RB00001VTrHVYA1,株式会社 JR東日本建築設計,2025-07-01,,Activated,Invoice,,,,,,,,Pro,8000,96000,,,false
a04RB00000kUAOVYA4,CN-00000057,三菱地所株式会社(DX推進部),001RB00001VTqeCYAT,三菱地所株式会社,2025-10-01,,Activated,Invoice,,,,,,,,Pro,16000,192000,,,false
a04RB00000kUAOXYA4,CN-00000059,株式会社コスモスイニシア　建築本部,001RB00001VTqgBYAT,株式会社コスモスイニシア,2025-10-01,,Activated,Invoice,,,,,,,,EN,98000,1176000,部署: 建築本部 / 備考: 半年分→更新時年払い,,false
a04RB00000kUAOYYA4,CN-00000060,株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）,001RB00001VTqgBYAT,株式会社コスモスイニシア,2026-04-01,,Activated,Invoice,,,,,,,,EN,70000,840000,部署: 建築本部 / 備考: 26年４月から年払い,,false
a04RB00000kUAOZYA4,CN-00000061,株式会社コスモスイニシア　事業本部（流通事業）,001RB00001VTqgBYAT,株式会社コスモスイニシア,2025-10-01,,Activated,Invoice,,,,,,,,EN,42000,504000,部署: 事業本部 / 備考: 26年４月から年払い,,false
a04RB00000kUAOaYAO,CN-00000062,株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）,001RB00001VTqgBYAT,株式会社コスモスイニシア,2026-04-01,,Activated,Invoice,,,,,,,,EN,30000,360000,部署: 流通事業部 / 備考: 26年４月から年払い,,false
a04RB00000kUAOdYAO,CN-00000065,生和コーポレーション株式会社,001RB00001VTqmcYAD,生和コーポレーション株式会社,2025-11-01,,Activated,Invoice,,,,,,,,Pro,8000,96000,備考: 半年契約,,false
a04RB00000kUAOiYAO,CN-00000070,大東建託株式会社　商品開発部,001RB00001VTruMYAT,大東建託株式会社,2026-01-01,,Activated,Invoice,,,,,,,,Pro,24000,288000,部署: 商品開発部 / 備考: 年払い,,false
a04RB00000kUAOlYAO,CN-00000073,株式会社フジタ（調達本部　インテリア・ソリューション統括部　インテリア部）,001RB00001VTrwFYAT,株式会社フジタ,2026-02-01,,Activated,Invoice,,,,,,,,EN,70000,840000,備考: 年払い　4月スタート,,false
a04RB00000kUAOvYAO,CN-00000083,野村不動産株式会社,001RB00001VTCYEYA5,野村不動産株式会社,2026-04-01,,Activated,Invoice,,,,,,,,EN,150000,1800000,備考: ３ヶ月のみ,,false
a04RB00000kUAOwYAO,CN-00000084,野村不動産株式会社（シングルサインオン分）,001RB00001VTCYEYA5,野村不動産株式会社,2026-04-01,,Activated,Invoice,,,,,,,,EN,30000,360000,備考: ３ヶ月のみ,,false
a04RB00000kUAP8YAO,CN-00000096,近鉄不動産,001RB00001VTrvcYAD,近鉄不動産株式会社,2026-04-01,,Activated,Invoice,,,,,,,,EN,180000,2160000,備考: ２ヶ月目以降初月利用料を抜く,,false
