Id,Name,FreeeInvoiceId__c,BillingDate__c,FreeePartnerId__c,ResolvedAccount__c,ResolvedAccount__r.Name,ResolvedContract__c,ResolvedContract__r.Name,ResolvedContract__r.AutoCreatedFromFreee__c,ImportStatus__c,CreatedInvoice__c,CreatedInvoice__r.Name,ValidationMessage__c
a0FRB00000YqK412AF,MFIW-000413,63126510,2026-07-20,104523268,001RB00001VTCYEYA5,野村不動産株式会社,a04RB00000lZ54zYAC,CN-00000191,false,要確認,,,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
a0FRB00000YomM12AJ,MFIW-000374,62989809,2026-07-14,104523268,001RB00001VTCYEYA5,野村不動産株式会社,,,,要確認,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
a0FRB00000WihDO2AZ,MFIW-000204,60905395,2026-06-20,104523268,001RB00001VTCYEYA5,野村不動産株式会社,a04RB00000n5JdvYAE,CN-00000213,true,反映済み,a00RB00002B4i3PYAR,INV-0000000313,
a0FRB00000WjTmj2AF,MFIW-000265,58710933,2026-05-20,104523268,001RB00001VTCYEYA5,野村不動産株式会社,a04RB00000n5JdvYAE,CN-00000213,true,反映済み,a00RB00002B4i3yYAB,INV-0000000348,
a0FRB00000UtKT62AN,MFIW-000084,56857997,2026-04-22,104523268,001RB00001VTCYEYA5,野村不動産株式会社,a04RB00000kVL7jYAG,CN-00000190,false,反映済み,a00RB000024Ux5GYAS,INV-0000000071,
a0FRB00000UtKT32AN,MFIW-000081,56826003,2026-04-22,104523268,001RB00001VTCYEYA5,野村不動産株式会社,a04RB00000kVL7jYAG,CN-00000190,false,反映済み,a00RB000024Ux5DYAS,INV-0000000068,
a0FRB00000WjFOj2AN,MFIW-000335,56682295,2026-04-20,104523268,001RB00001VTCYEYA5,野村不動産株式会社,a04RB00000n5JdvYAE,CN-00000213,true,反映済み,a00RB00002B4i3hYAB,INV-0000000331,
a0FRB00000Wi6a42AB,MFIW-000157,61466312,2026-06-26,114219627,001RB00001VTqgBYAT,株式会社コスモスイニシア,,,,要確認,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
a0FRB00000UtKw52AF,MFIW-000115,58937326,2026-05-22,114219627,001RB00001VTqgBYAT,株式会社コスモスイニシア,a04RB00000kVL7VYAW,CN-00000176,false,反映済み,a00RB000024Ux5iYAC,INV-0000000099,
a0FRB00000UtKT42AN,MFIW-000082,56841170,2026-04-22,105448655,001RB00001VTqgBYAT,株式会社コスモスイニシア,a04RB00000kVL7VYAW,CN-00000176,false,反映済み,a00RB000024Ux5EYAS,INV-0000000069,
a0FRB00000UtKT52AN,MFIW-000083,56841400,2026-04-22,105043583,001RB00001VTqgBYAT,株式会社コスモスイニシア,a04RB00000kVL7VYAW,CN-00000176,false,反映済み,a00RB000024Ux5FYAS,INV-0000000070,
a0FRB00000UtCfV2AV,MFIW-000027,54361336,2026-03-19,114219627,001RB00001VTqgBYAT,株式会社コスモスイニシア,a04RB00000kVL7VYAW,CN-00000176,false,反映済み,a00RB000024Ux4GYAS,INV-0000000009,
a0FRB00000Wi4ge2AB,MFIW-000151,61633340,2026-06-29,111309576,001RB00001VTqidYAD,株式会社LIXIL,,,,対象外,,,"こちらは受託契約の総額の方であり、着手金・後払い金の請求書は別で作成しているため、重複登録になることからこちらは対象外とする。

契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
a0FRB00000UtKCx2AN,MFIW-000053,54630843,2026-03-24,111309576,001RB00001VTqidYAD,株式会社LIXIL,a04RB00000kVL7RYAW,CN-00000172,false,反映済み,a00RB000024Ux4mYAC,INV-0000000041,
a0FRB00000YqLuW2AV,MFIW-000431,63150560,2026-07-20,94597892,001RB00001VTruAYAT,株式会社デザインアーク,,,,要確認,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
a0FRB00000WhTPP2A3,MFIW-000183,60861173,2026-06-20,94597892,001RB00001VTruAYAT,株式会社デザインアーク,,,,要確認,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
a0FRB00000UtM532AF,MFIW-000124,60970507,2026-06-18,94597892,001RB00001VTruAYAT,株式会社デザインアーク,a04RB00000kUAOAYA4,CN-00000036,false,反映済み,a00RB00002BahLdYAJ,INV-0000000408,
a0FRB00000WjTBZ2A3,MFIW-000241,58573635,2026-05-20,94597892,001RB00001VTruAYAT,株式会社デザインアーク,a04RB00000kUAOAYA4,CN-00000036,false,反映済み,a00RB000027lnMrYAI,INV-0000000169,
a0FRB00000UtKmP2AV,MFIW-000088,58388932,2026-05-13,94597892,001RB00001VTruAYAT,株式会社デザインアーク,a04RB00000kUAOAYA4,CN-00000036,false,反映済み,a00RB000024Ux5KYAS,INV-0000000075,
a0FRB00000Wjfw32AB,MFIW-000307,56527546,2026-04-20,94597892,001RB00001VTruAYAT,株式会社デザインアーク,a04RB00000kUAOAYA4,CN-00000036,false,反映済み,a00RB000027lnMsYAI,INV-0000000170,
a0FRB00000Wj59U2AR,MFIW-000288,54153851,2026-03-20,94597892,001RB00001VTruAYAT,株式会社デザインアーク,a04RB00000kUAOAYA4,CN-00000036,false,反映済み,a00RB000027lnMqYAI,INV-0000000168,
a0FRB00000Yq7Em2AJ,MFIW-000398,63077980,2026-07-20,113391577,001RB00001VTrvcYAD,近鉄不動産株式会社,,,,要確認,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
請求金額と明細合計が一致していません。請求金額=357500、明細合計=665500"
a0FRB00000WicaJ2AR,MFIW-000164,60792923,2026-06-20,113391577,001RB00001VTrvcYAD,近鉄不動産株式会社,a04RB00000n5JdpYAE,CN-00000207,true,反映済み,a00RB00002B4i3KYAR,INV-0000000308,
a0FRB00000Ut0EN2AZ,MFIW-000122,60417633,2026-06-09,113391577,001RB00001VTrvcYAD,近鉄不動産株式会社,a04RB00000kVL7cYAG,CN-00000183,false,反映済み,a00RB000024Ux4FYAS,INV-0000000008,
