Id,Name,MasterContract__c,ContractYearMonth__c,Plan__c,PeopleNumber__c,RevenueAmount__c,ProductMaster__c,ProductMaster__r.Name
a03RB00001STmGuYAL,studio55_2026/08,a04RB00000kUANnYAO,2026/08,BA,1,,,
a03RB00001RcABDYA3,studio55_2026/07,a04RB00000kUANnYAO,2026/07,BA,1,,,
a03RB00001RIREdYAP,studio55_2026/06,a04RB00000kUANnYAO,2026/06,BA,1,,,
a03RB00001Nswl5YAB,studio55_2024/11,a04RB00000kUANnYAO,2024/11,BA,1,,,
a03RB00001NswX9YAJ,studio55_2024/11,a04RB00000kUANnYAO,2024/11,BA,1,,,
a03RB00001NswX8YAJ,studio55_2024/10,a04RB00000kUANnYAO,2024/10,BA,1,,,
a03RB00001Nswl4YAB,studio55_2024/10,a04RB00000kUANnYAO,2024/10,BA,1,,,
a03RB00001Nswl3YAB,studio55_2024/09,a04RB00000kUANnYAO,2024/09,BA,1,,,
a03RB00001NswX7YAJ,studio55_2024/09,a04RB00000kUANnYAO,2024/09,BA,1,,,
a03RB00001STmGvYAL,東急リゾーツ＆ステイ_2026/08,a04RB00000kUANqYAO,2026/08,EN,4,44000,,
a03RB00001RcABIYA3,東急リゾーツ＆ステイ_2026/07,a04RB00000kUANqYAO,2026/07,EN,4,44000,,
a03RB00001NswXnYAJ,東急リゾーツ＆ステイ_2026/06,a04RB00000kUANqYAO,2026/06,EN,4,,,
a03RB00001NswXmYAJ,東急リゾーツ＆ステイ_2026/05,a04RB00000kUANqYAO,2026/05,EN,9,,,
a03RB00001NswXlYAJ,東急リゾーツ＆ステイ_2026/04,a04RB00000kUANqYAO,2026/04,EN,9,,,
a03RB00001NswXkYAJ,東急リゾーツ＆ステイ_2026/03,a04RB00000kUANqYAO,2026/03,EN,9,,,
a03RB00001NswXjYAJ,東急リゾーツ＆ステイ_2026/02,a04RB00000kUANqYAO,2026/02,EN,9,,,
a03RB00001NswXiYAJ,東急リゾーツ＆ステイ_2026/01,a04RB00000kUANqYAO,2026/01,EN,9,,,
a03RB00001NswXhYAJ,東急リゾーツ＆ステイ_2025/12,a04RB00000kUANqYAO,2025/12,EN,9,,,
a03RB00001NswXgYAJ,東急リゾーツ＆ステイ_2025/11,a04RB00000kUANqYAO,2025/11,EN,9,,,
