"Priority","ContractId","ContractName","Status","NoBillingType","FreeeWorkMatch","LineCount","PeriodRange","Policy"
"中","a04RB00000kUAOXYA4","株式会社コスモスイニシア　建築本部","Activated","C. 契約月次明細あり・請求なし","FreeeWorkAccountMatchedOnly","18","2025-10-01 - 2027-03-01","freee請求Workは取引先まで一致。契約・対象月・金額の一致確認後、確定できるものだけRelatedInvoice__cを補完する。判断不能なものは業務確認。"
"中","a04RB00000kUAOYYA4","株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）","Activated","C. 契約月次明細あり・請求なし","FreeeWorkAccountMatchedOnly","12","2026-04-01 - 2027-03-01","freee請求Workは取引先まで一致。契約・対象月・金額の一致確認後、確定できるものだけRelatedInvoice__cを補完する。判断不能なものは業務確認。"
"中","a04RB00000kUAOZYA4","株式会社コスモスイニシア　事業本部（流通事業）","Activated","C. 契約月次明細あり・請求なし","FreeeWorkAccountMatchedOnly","18","2025-10-01 - 2027-03-01","freee請求Workは取引先まで一致。契約・対象月・金額の一致確認後、確定できるものだけRelatedInvoice__cを補完する。判断不能なものは業務確認。"
"中","a04RB00000kUAOaYAO","株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）","Activated","C. 契約月次明細あり・請求なし","FreeeWorkAccountMatchedOnly","12","2026-04-01 - 2027-03-01","freee請求Workは取引先まで一致。契約・対象月・金額の一致確認後、確定できるものだけRelatedInvoice__cを補完する。判断不能なものは業務確認。"
"中","a04RB00000kUAPKYA4","株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所","Activated","C. 契約月次明細あり・請求なし","FreeeWorkAccountMatchedOnly","1","2026-06-01 - 2026-06-01","freee請求Workは取引先まで一致。契約・対象月・金額の一致確認後、確定できるものだけRelatedInvoice__cを補完する。判断不能なものは業務確認。"
"中","a04RB00000kUAP8YAO","近鉄不動産","Activated","C. 契約月次明細あり・請求なし","FreeeWorkAccountMatchedOnly","3","2026-04-01 - 2026-06-01","freee請求Workは取引先まで一致。契約・対象月・金額の一致確認後、確定できるものだけRelatedInvoice__cを補完する。判断不能なものは業務確認。"
"中","a04RB00000kUAP9YAO","近鉄不動産(セキュリティオプション月額）","Activated","C. 契約月次明細あり・請求なし","FreeeWorkAccountMatchedOnly","2","2026-04-01 - 2026-05-01","freee請求Workは取引先まで一致。契約・対象月・金額の一致確認後、確定できるものだけRelatedInvoice__cを補完する。判断不能なものは業務確認。"
"中","a04RB00000kUAOvYAO","野村不動産株式会社","Activated","C. 契約月次明細あり・請求なし","FreeeWorkAccountMatchedOnly","3","2026-04-01 - 2026-06-01","freee請求Workは取引先まで一致。契約・対象月・金額の一致確認後、確定できるものだけRelatedInvoice__cを補完する。判断不能なものは業務確認。"
"中","a04RB00000kUAOwYAO","野村不動産株式会社（シングルサインオン分）","Activated","C. 契約月次明細あり・請求なし","FreeeWorkAccountMatchedOnly","3","2026-04-01 - 2026-06-01","freee請求Workは取引先まで一致。契約・対象月・金額の一致確認後、確定できるものだけRelatedInvoice__cを補完する。判断不能なものは業務確認。"
"中","a04RB00000kUAO1YAO","47内装株式会社","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","15","2025-03-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAO2YAO","ANAスカイビルサービス株式会社　※郵送希望","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","14","2025-04-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAORYA4","JOA株式会社","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","9","2025-09-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPLYA4","NTTファシリティーズ株式会社","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","1","2026-06-01 - 2026-06-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUANnYAO","studio55","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","6","2024-09-01 - 2024-11-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAOKYA4","アイリスオーヤマ（ストアデザイン部）","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","12","2025-06-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAOLYA4","アイリスオーヤマ（空間デザイン部）","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","12","2025-06-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUANtYAO","ジェイアール北海道エンジニアリング株式会社(大塚商会)","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","9","2024-12-01 - 2026-10-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPVYA4","ハウスプラザ","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","20","2024-10-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAQ2YAO","ホームトレードセンター株式会社","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","10","2025-08-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUANmYAO","ムゲンエステート","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","37","2024-10-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
