"Classification","ContractId","ContractName","RecordName","AccountName","StartDate","EndDate","ContractUpdate","NextInvoiceCreationDate","LineCount","PastOrCurrentLineCount","FutureLineCount","MinPeriodStart","MaxPeriodStart","ProductMissingLineCount"
"ImmediateAction","a04RB00000kUANgYAO","東急株式会社","CN-00000006","東急株式会社","2024-10-01","","月","","20","20","0","2024-10-01","2026-05-01","20"
"ImmediateAction","a04RB00000kUANhYAO","東急建設 ○独特の請求書式あり","CN-00000007","東急建設株式会社","2024-09-01","","年","","29","20","9","2024-09-01","2027-03-01","29"
"ImmediateAction","a04RB00000kUANjYAO","前田工務店","CN-00000009","株式会社前田工務店","2024-10-01","","月","","19","19","0","2024-10-01","2026-04-01","19"
"ImmediateAction","a04RB00000kUANmYAO","ムゲンエステート","CN-00000012","株式会社ムゲンエステート","2024-10-01","","月","","37","37","0","2024-10-01","2026-05-01","37"
"ImmediateAction","a04RB00000kUANnYAO","studio55","CN-00000013","株式会社 STUDIO55","2024-09-01","","月","","6","6","0","2024-09-01","2024-11-01","6"
"ImmediateAction","a04RB00000kUANqYAO","東急リゾーツ＆ステイ","CN-00000016","東急リゾーツ&ステイ株式会社","2024-11-01","","月","","20","20","0","2024-11-01","2026-06-01","20"
"ImmediateAction","a04RB00000kUANtYAO","ジェイアール北海道エンジニアリング株式会社(大塚商会)","CN-00000019","ジェイアール北海道エンジニアリング株式会社","2024-12-01","","月","","9","5","4","2024-12-01","2026-10-01","9"
"ImmediateAction","a04RB00000kUANuYAO","リリカラ(大塚商会)","CN-00000020","リリカラ株式会社","2024-11-01","","月","","24","20","4","2024-11-01","2026-10-01","24"
"ImmediateAction","a04RB00000kUANwYAO","株式会社TRIAD","CN-00000022","株式会社TRIAD","2025-01-01","","月","","17","17","0","2025-01-01","2026-05-01","17"
"ImmediateAction","a04RB00000kUANxYAO","九州旅客鉄道株式会社　工事部施設課","CN-00000023","九州旅客鉄道 株式会社","2024-12-01","","月","","18","18","0","2024-12-01","2026-05-01","18"
"ImmediateAction","a04RB00000kUAO1YAO","47内装株式会社","CN-00000027","47内装株式会社","2025-03-01","","月","","15","15","0","2025-03-01","2026-05-01","15"
"ImmediateAction","a04RB00000kUAO2YAO","ANAスカイビルサービス株式会社　※郵送希望","CN-00000028","ANAスカイビルサービス株式会社","2025-04-01","","月","","14","14","0","2025-04-01","2026-05-01","14"
"ImmediateAction","a04RB00000kUAO6YAO","佐伯綜合建設(大塚商会)","CN-00000032","佐伯綜合建設","2025-02-01","","年","","24","17","7","2025-02-01","2027-01-01","24"
"ImmediateAction","a04RB00000kUAO7YAO","吉村紳　一級建築士事務所","CN-00000033","吉村紳 一級建築士事務所","2025-04-01","","月","","14","14","0","2025-04-01","2026-05-01","14"
"ImmediateAction","a04RB00000kUAO9YAO","矢作建設工業株式会社","CN-00000035","矢作建設工業株式会社","2025-04-01","","年","","14","13","1","2025-04-01","2026-07-01","14"
"ImmediateAction","a04RB00000kUAOFYA4","野原グループ株式会社","CN-00000041","野原グループ株式会社","2025-05-01","","月","","13","13","0","2025-05-01","2026-05-01","13"
"ImmediateAction","a04RB00000kUAOIYA4","九州旅客鉄道株式会社　博多設備区","CN-00000044","九州旅客鉄道 株式会社","2025-05-01","","月","","13","13","0","2025-05-01","2026-05-01","13"
"ImmediateAction","a04RB00000kUAOKYA4","アイリスオーヤマ（ストアデザイン部）","CN-00000046","アイリスオーヤマ株式会社","2025-06-01","","月","","12","12","0","2025-06-01","2026-05-01","12"
"ImmediateAction","a04RB00000kUAOLYA4","アイリスオーヤマ（空間デザイン部）","CN-00000047","アイリスオーヤマ株式会社","2025-06-01","","月","","12","12","0","2025-06-01","2026-05-01","12"
"ImmediateAction","a04RB00000kUAONYA4","九州旅客鉄道株式会社　開発工事部","CN-00000049","九州旅客鉄道 株式会社","2025-06-01","","月","","12","12","0","2025-06-01","2026-05-01","12"
"ImmediateAction","a04RB00000kUAOOYA4","株式会社JR東日本建築設計","CN-00000050","株式会社 JR東日本建築設計","2025-07-01","","月","","21","12","9","2025-07-01","2027-03-01","21"
"ImmediateAction","a04RB00000kUAORYA4","JOA株式会社","CN-00000053","JOA株式会社","2025-09-01","","月","","9","9","0","2025-09-01","2026-05-01","9"
"ImmediateAction","a04RB00000kUAOVYA4","三菱地所株式会社(DX推進部)","CN-00000057","三菱地所株式会社","2025-10-01","","月","","8","8","0","2025-10-01","2026-05-01","8"
"ImmediateAction","a04RB00000kUAOXYA4","株式会社コスモスイニシア　建築本部","CN-00000059","株式会社コスモスイニシア","2025-10-01","","月","","18","9","9","2025-10-01","2027-03-01","18"
"ImmediateAction","a04RB00000kUAOYYA4","株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）","CN-00000060","株式会社コスモスイニシア","2026-04-01","","年","","12","3","9","2026-04-01","2027-03-01","12"
"ImmediateAction","a04RB00000kUAOZYA4","株式会社コスモスイニシア　事業本部（流通事業）","CN-00000061","株式会社コスモスイニシア","2025-10-01","","年","","18","9","9","2025-10-01","2027-03-01","18"
"ImmediateAction","a04RB00000kUAOaYAO","株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）","CN-00000062","株式会社コスモスイニシア","2026-04-01","","年","","12","3","9","2026-04-01","2027-03-01","12"
"ImmediateAction","a04RB00000kUAOdYAO","生和コーポレーション株式会社","CN-00000065","生和コーポレーション株式会社","2025-11-01","","月","","6","6","0","2025-11-01","2026-04-01","6"
"ImmediateAction","a04RB00000kUAOiYAO","大東建託株式会社　商品開発部","CN-00000070","大東建託株式会社","2026-01-01","","年","","12","6","6","2026-01-01","2026-12-01","12"
"ImmediateAction","a04RB00000kUAOjYAO","三菱地所レジデンス株式会社","CN-00000071","三菱地所レジデンス株式会社","2026-01-01","","月","","7","6","1","2026-01-01","2026-08-01","7"
"ImmediateAction","a04RB00000kUAOkYAO","株式会社石勝エクステリア","CN-00000072","株式会社石勝エクステリア","2025-10-01","","年","","18","9","9","2025-10-01","2027-03-01","18"
"ImmediateAction","a04RB00000kUAOlYAO","株式会社フジタ（調達本部　インテリア・ソリューション統括部　インテリア部）","CN-00000073","株式会社フジタ","2026-02-01","","年","","14","5","9","2026-02-01","2027-03-01","14"
