"Id","RelatedInvoice__c","InvoiceStatus__c","MatchRule","ContractLineItemName","ContractYearMonth__c","InvoiceName","Billing_Date__c","Freee_Invoice_Status__c","PaymentStatus__c"
"a03RB00001NswUcYAJ","a00RB000024Ux4KYAS","請求済","period_month_unique_invoice","サンフロンティア不動産株式会社_2026/03","2026/03","INV-0000000013","2026-03-18","送付済み","決済済み"
"a03RB00001NswUeYAJ","a00RB000024Ux5LYAS","請求済","period_month_unique_invoice","サンフロンティア不動産株式会社_2026/05","2026/05","INV-0000000076","2026-05-19","送付済み","決済待ち"
"a03RB00001NswWFYAZ","a00RB000024Ux4LYAS","請求済","period_month_unique_invoice","株式会社フロンティアコンサルティング_2026/03","2026/03","INV-0000000014","2026-03-18","送付済み","決済済み"
"a03RB00001NswWHYAZ","a00RB000024Ux5MYAS","請求済","period_month_unique_invoice","株式会社フロンティアコンサルティング_2026/05","2026/05","INV-0000000077","2026-05-19","送付済み","決済済み"
"a03RB00001NswZzYAJ","a00RB000024Ux4eYAC","請求済","period_month_unique_invoice","戸田建設(設計部:月額)_2026/03","2026/03","INV-0000000033","2026-03-20","送付済み","決済済み"
"a03RB00001Nswc1YAB","a00RB000024Ux5KYAS","請求済","period_month_unique_invoice","株式会社デザインアーク_2026/05","2026/05","INV-0000000075","2026-05-13","送付待ち","決済待ち"
"a03RB00001NswcHYAR","a00RB000024Ux4NYAS","請求済","period_month_unique_invoice","株式会社アーキテクト・ディベロッパー（5月1日より帝国不動産株式会社）_2026/03","2026/03","INV-0000000016","2026-03-18","送付済み","決済済み"
"a03RB00001NsweoYAB","a00RB000024Ux4RYAS","請求済","period_month_unique_invoice","三井不動産レジデンシャルリース株式会社(ソリューション推進部)_2026/03","2026/03","INV-0000000020","2026-03-20","送付済み","決済済み"
"a03RB00001NsweqYAB","a00RB000024Ux5PYAS","請求済","period_month_unique_invoice","三井不動産レジデンシャルリース株式会社(ソリューション推進部)_2026/05","2026/05","INV-0000000080","2026-05-20","送付済み","決済待ち"
"a03RB00001NswgIYAR","a00RB000024Ux4MYAS","請求済","period_month_unique_invoice","大塚商会（大和財宅）_2026/03","2026/03","INV-0000000015","2026-03-18","送付済み","決済済み"
"a03RB00001NswgfYAB","a00RB000024Ux4TYAS","請求済","period_month_unique_invoice","株式会社三越伊勢丹プロパティデザイン_2026/03","2026/03","INV-0000000022","2026-03-20","送付済み","決済済み"
"a03RB00001NswggYAB","a00RB000024Ux4wYAC","請求済","period_month_unique_invoice","株式会社三越伊勢丹プロパティデザイン_2026/04","2026/04","INV-0000000051","2026-04-20","送付済み","決済済み"
"a03RB00001NswghYAB","a00RB000024Ux5RYAS","請求済","period_month_unique_invoice","株式会社三越伊勢丹プロパティデザイン_2026/05","2026/05","INV-0000000082","2026-05-20","送付済み","決済待ち"
"a03RB00001NswgiYAB","a00RB000024Vf29YAC","請求済","period_month_unique_invoice","株式会社三越伊勢丹プロパティデザイン_2026/06","2026/06","INV-0000000114","2026-06-20","送付済み","決済待ち"
"a03RB00001NswglYAB","a00RB000024Ux4WYAS","請求済","period_month_unique_invoice","豊通ファシリティーズ株式会社 建築・設計部_2026/03","2026/03","INV-0000000025","2026-03-20","送付済み","決済済み"
"a03RB00001NswgmYAB","a00RB000024Ux4yYAC","請求済","period_month_unique_invoice","豊通ファシリティーズ株式会社 建築・設計部_2026/04","2026/04","INV-0000000053","2026-04-20","送付済み","決済済み"
"a03RB00001NswgnYAB","a00RB000024Ux5TYAS","請求済","period_month_unique_invoice","豊通ファシリティーズ株式会社 建築・設計部_2026/05","2026/05","INV-0000000084","2026-05-20","送付済み","決済待ち"
"a03RB00001NswgoYAB","a00RB000024Vf2BYAS","請求済","period_month_unique_invoice","豊通ファシリティーズ株式会社 建築・設計部_2026/06","2026/06","INV-0000000116","2026-06-20","送付済み","決済待ち"
"a03RB00001NswgpYAB","a00RB000024Ux4ZYAS","請求済","period_month_unique_invoice","フロンヴィルホームズ名古屋株式会社_2026/03","2026/03","INV-0000000028","2026-03-20","送付済み","決済済み"
"a03RB00001NswgqYAB","a00RB000024Ux51YAC","請求済","period_month_unique_invoice","フロンヴィルホームズ名古屋株式会社_2026/04","2026/04","INV-0000000056","2026-04-20","送付済み","決済済み"
"a03RB00001NswgrYAB","a00RB000024Ux5WYAS","請求済","period_month_unique_invoice","フロンヴィルホームズ名古屋株式会社_2026/05","2026/05","INV-0000000087","2026-05-20","送付済み","決済済み"
"a03RB00001NswhoYAB","a00RB000024Ux5kYAC","請求済","period_month_unique_invoice","ジーク株式会社_2026/05","2026/05","INV-0000000101","2026-05-22","送付待ち","決済待ち"
"a03RB00001Nswi2YAB","a00RB000024Ux4YYAS","請求済","period_month_unique_invoice","株式会社錢高組_2026/03","2026/03","INV-0000000027","2026-03-20","送付済み","決済済み"
"a03RB00001Nswi3YAB","a00RB000024Ux50YAC","請求済","period_month_unique_invoice","株式会社錢高組_2026/04","2026/04","INV-0000000055","2026-04-20","送付済み","決済済み"
"a03RB00001Nswi4YAB","a00RB000024Ux5VYAS","請求済","period_month_unique_invoice","株式会社錢高組_2026/05","2026/05","INV-0000000086","2026-05-20","送付済み","決済済み"
"a03RB00001NswihYAB","a00RB000024Ux4cYAC","請求済","period_month_unique_invoice","Phantom株式会社_2026/03","2026/03","INV-0000000031","2026-03-20","送付済み","決済待ち"
"a03RB00001NswiiYAB","a00RB000024Ux54YAC","請求済","period_month_unique_invoice","Phantom株式会社_2026/04","2026/04","INV-0000000059","2026-04-20","送付済み","決済待ち"
"a03RB00001NswijYAB","a00RB000024Ux5ZYAS","請求済","period_month_unique_invoice","Phantom株式会社_2026/05","2026/05","INV-0000000090","2026-05-20","送付済み","決済待ち"
"a03RB00001Nswj4YAB","a00RB000024Ux5bYAC","請求済","period_month_unique_invoice","花菱不動産株式会社_2026/05","2026/05","INV-0000000092","2026-05-20","送付済み","決済済み"
"a03RB00001Nswj6YAB","a00RB000024Ux5cYAC","請求済","period_month_unique_invoice","コンチネンタルホーム株式会社_2026/05","2026/05","INV-0000000093","2026-05-20","送付済み","決済待ち"
"a03RB00001Nswj8YAB","a00RB000024Ux55YAC","請求済","period_month_unique_invoice","柏井建設株式会社_2026/04","2026/04","INV-0000000060","2026-04-20","送付済み","決済済み"
"a03RB00001Nswj9YAB","a00RB000024Ux5aYAC","請求済","period_month_unique_invoice","柏井建設株式会社_2026/05","2026/05","INV-0000000091","2026-05-20","送付済み","決済待ち"
"a03RB00001NswjOYAR","a00RB000024Ux4kYAC","請求済","period_month_unique_invoice","三井住友建設株式会社_2026/03","2026/03","INV-0000000039","2026-03-24","送付済み","決済済み"
"a03RB00001NswjPYAR","a00RB000024Ux5IYAS","請求済","period_month_unique_invoice","三井住友建設株式会社_2026/04","2026/04","INV-0000000073","2026-04-30","送付待ち","決済待ち"
"a03RB00001NswjQYAR","a00RB000024Ux5dYAC","請求済","period_month_unique_invoice","三井住友建設株式会社_2026/05","2026/05","INV-0000000094","2026-05-20","送付済み","決済待ち"
"a03RB00001NswjSYAR","a00RB000024Ux5gYAC","請求済","period_month_unique_invoice","Asplead株式会社_2026/05","2026/05","INV-0000000097","2026-05-20","送付済み","決済済み"
"a03RB00001NswjUYAR","a00RB000024Ux5eYAC","請求済","period_month_unique_invoice","スタイルテック総合計画_2026/05","2026/05","INV-0000000095","2026-05-20","送付済み","決済済み"
"a03RB00001NswjWYAR","a00RB000024Ux5fYAC","請求済","period_month_unique_invoice","株式会社ecoaハウス_2026/05","2026/05","INV-0000000096","2026-05-20","送付済み","決済待ち"
"a03RB00001NswjfYAB","a00RB000024Ux5hYAC","請求済","period_month_unique_invoice","フィールド・デザイン・アーキテクツ一級建築士事務所_2026/05","2026/05","INV-0000000098","2026-05-20","送付済み","決済待ち"
"a03RB00001Nswk6YAB","a00RB000024Ux5HYAS","請求済","period_month_unique_invoice","株式会社安井建築設計事務所_2026/04","2026/04","INV-0000000072","2026-04-23","送付済み","決済済み"
"a03RB00001NswnbYAB","a00RB000024Ux4dYAC","請求済","period_month_unique_invoice","リアルティホールディングス株式会社_2026/03","2026/03","INV-0000000032","2026-03-20","送付待ち","決済待ち"
"a03RB00001NswpgYAB","a00RB000024Ux5CYAS","請求済","period_month_unique_invoice","株式会社香川不動産買取センター_2026/04","2026/04","INV-0000000067","2026-04-20","送付済み","決済待ち"
"a03RB00001NswqzYAB","a00RB000024Ux4iYAC","請求済","period_month_unique_invoice","ONETEAM不動産_2026/03","2026/03","INV-0000000037","2026-03-20","送付済み","決済済み"
"a03RB00001Nswr0YAB","a00RB000024Ux59YAC","請求済","period_month_unique_invoice","ONETEAM不動産_2026/04","2026/04","INV-0000000064","2026-04-20","送付済み","決済済み"
"a03RB00001NswrMYAR","a00RB000024Ux4gYAC","請求済","period_month_unique_invoice","TC神鋼不動産株式会社_2026/03","2026/03","INV-0000000035","2026-03-20","送付済み","決済済み"
"a03RB00001NswrNYAR","a00RB000024Ux57YAC","請求済","period_month_unique_invoice","TC神鋼不動産株式会社_2026/04","2026/04","INV-0000000062","2026-04-20","送付済み","決済済み"
"a03RB00001NswrXYAR","a00RB000024Ux4fYAC","請求済","period_month_unique_invoice","株式会社TAKUTO_2026/03","2026/03","INV-0000000034","2026-03-20","送付済み","決済済み"
"a03RB00001NswrYYAR","a00RB000024Ux56YAC","請求済","period_month_unique_invoice","株式会社TAKUTO_2026/04","2026/04","INV-0000000061","2026-04-20","送付済み","決済済み"
"a03RB00001NswsQYAR","a00RB000024Ux4XYAS","請求済","period_month_unique_invoice","株式会社 三福管理センター_2026/03","2026/03","INV-0000000026","2026-03-20","送付済み","決済済み"
"a03RB00001NswsRYAR","a00RB000024Ux4zYAC","請求済","period_month_unique_invoice","株式会社 三福管理センター_2026/04","2026/04","INV-0000000054","2026-04-20","送付済み","決済済み"
"a03RB00001NswsVYAR","a00RB000024Ux4SYAS","請求済","period_month_unique_invoice","株式会社ケン・プロパティマネジメント_2026/03","2026/03","INV-0000000021","2026-03-20","送付済み","決済済み"
"a03RB00001NswsWYAR","a00RB000024Ux4vYAC","請求済","period_month_unique_invoice","株式会社ケン・プロパティマネジメント_2026/04","2026/04","INV-0000000050","2026-04-20","送付済み","決済済み"
"a03RB00001NswsXYAR","a00RB000024Ux5QYAS","請求済","period_month_unique_invoice","株式会社ケン・プロパティマネジメント_2026/05","2026/05","INV-0000000081","2026-05-20","送付済み","決済待ち"
"a03RB00001NswsZYAR","a00RB000024Ux4bYAC","請求済","period_month_unique_invoice","株式会社建新_2026/03","2026/03","INV-0000000030","2026-03-20","送付済み","決済待ち"
"a03RB00001NswsaYAB","a00RB000024Ux53YAC","請求済","period_month_unique_invoice","株式会社建新_2026/04","2026/04","INV-0000000058","2026-04-20","送付済み","決済待ち"
"a03RB00001NswsbYAB","a00RB000024Ux5YYAS","請求済","period_month_unique_invoice","株式会社建新_2026/05","2026/05","INV-0000000089","2026-05-20","送付済み","決済待ち"
"a03RB00001NswsdYAB","a00RB000024Ux4aYAC","請求済","period_month_unique_invoice","株式会社夢のおてつだい_2026/03","2026/03","INV-0000000029","2026-03-20","送付済み","決済済み"
"a03RB00001NswseYAB","a00RB000024Ux52YAC","請求済","period_month_unique_invoice","株式会社夢のおてつだい_2026/04","2026/04","INV-0000000057","2026-04-20","送付済み","決済済み"
"a03RB00001NswsfYAB","a00RB000024Ux5XYAS","請求済","period_month_unique_invoice","株式会社夢のおてつだい_2026/05","2026/05","INV-0000000088","2026-05-20","送付済み","決済済み"
