"Category","ContractId","AccountName","ContractName","ContractUpdate","StartDate","EndDate","LineCount","MinPeriodStart","MaxPeriodStart"
"NoFreeeWorkMatched","a04RB00000kUANgYAO","東急株式会社","東急株式会社","月","2024-10-01","","20","2024-10-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUANhYAO","東急建設株式会社","東急建設 ○独特の請求書式あり","年","2024-09-01","","29","2024-09-01","2027-03-01"
"NoFreeeWorkMatched","a04RB00000kUANjYAO","株式会社前田工務店","前田工務店","月","2024-10-01","","19","2024-10-01","2026-04-01"
"NoFreeeWorkMatched","a04RB00000kUANmYAO","株式会社ムゲンエステート","ムゲンエステート","月","2024-10-01","","37","2024-10-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUANnYAO","株式会社 STUDIO55","studio55","月","2024-09-01","","6","2024-09-01","2024-11-01"
"NoFreeeWorkMatched","a04RB00000kUANqYAO","東急リゾーツ&ステイ株式会社","東急リゾーツ＆ステイ","月","2024-11-01","","20","2024-11-01","2026-06-01"
"NoFreeeWorkMatched","a04RB00000kUANtYAO","ジェイアール北海道エンジニアリング株式会社","ジェイアール北海道エンジニアリング株式会社(大塚商会)","月","2024-12-01","","9","2024-12-01","2026-10-01"
"NoFreeeWorkMatched","a04RB00000kUANuYAO","リリカラ株式会社","リリカラ(大塚商会)","月","2024-11-01","","24","2024-11-01","2026-10-01"
"NoFreeeWorkMatched","a04RB00000kUANwYAO","株式会社TRIAD","株式会社TRIAD","月","2025-01-01","","17","2025-01-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUANxYAO","九州旅客鉄道 株式会社","九州旅客鉄道株式会社　工事部施設課","月","2024-12-01","","18","2024-12-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAO1YAO","47内装株式会社","47内装株式会社","月","2025-03-01","","15","2025-03-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAO2YAO","ANAスカイビルサービス株式会社","ANAスカイビルサービス株式会社　※郵送希望","月","2025-04-01","","14","2025-04-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAO6YAO","佐伯綜合建設","佐伯綜合建設(大塚商会)","年","2025-02-01","","24","2025-02-01","2027-01-01"
"NoFreeeWorkMatched","a04RB00000kUAO7YAO","吉村紳 一級建築士事務所","吉村紳　一級建築士事務所","月","2025-04-01","","14","2025-04-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAO9YAO","矢作建設工業株式会社","矢作建設工業株式会社","年","2025-04-01","","14","2025-04-01","2026-07-01"
"NoFreeeWorkMatched","a04RB00000kUAOFYA4","野原グループ株式会社","野原グループ株式会社","月","2025-05-01","","13","2025-05-01","2026-05-01"
