"Id","Name","FreeeInvoiceId__c","FreeeInvoiceNumber__c","FreeePartnerId__c","PartnerName__c","BillingDate__c","TargetPeriodStartDate__c","TargetPeriodEndDate__c","InvoiceAmount__c","SendStatus__c","PaymentStatus__c","ImportStatus__c","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","CreatedInvoice__c","ValidationMessage__c"
"a0FRB00000UsZSL2A3","MFIW-000050","54529958","INV-0000001097","111164170","株式会社サンケイビル","2026-03-23","","","924000","送付済み","決済済み","反映済み","001RB00001VTrvXYAT","a04RB00000kVL7WYAW","a0BRB00000ypw692AA","a00RB000024Ux4BYAS",""
"a0FRB00000Ut0EN2AZ","MFIW-000122","60417633","INV-0000001286","113391577","近鉄不動産株式会社","2026-06-09","","","176000","送付済み","決済待ち","反映可能","001RB00001VTrvcYAD","a04RB00000kVL7cYAG","a0BRB00000ypw6H2AQ","a00RB000024Ux4FYAS",""
"a0FRB00000UtCfV2AV","MFIW-000027","54361336","INV-0000001096","114219627","株式会社コスモスイニシア","2026-03-19","","","973500","送付済み","決済済み","取得済み","001RB00001VTqgBYAT","a04RB00000kVL7VYAW","a0BRB00000ypw662AA","a00RB000024Ux4GYAS",""
"a0FRB00000UtK9l2AF","MFIW-000034","54067665","INV-0000001033","103334594","株式会社石勝エクステリア","2026-03-20","","","154000","送付済み","決済済み","反映済み","001RB00001VTqnMYAT","a04RB00000kVL7aYAG","a0BRB00000ypw6E2AQ","a00RB000024Ux4UYAS",""
"a0FRB00000UtK9m2AF","MFIW-000035","54067668","INV-0000001034","108589480","株式会社アールシーコア","2026-03-20","","","275000","送付済み","決済済み","反映済み","001RB00001VTqxQYAT","a04RB00000kVL7SYAW","a0BRB00000ypw602AA","a00RB000024Ux4VYAS",""
"a0FRB00000UtKRV2A3","MFIW-000065","56461111","INV-0000001113","108589480","株式会社アールシーコア","2026-04-20","","","275000","送付済み","決済済み","反映済み","001RB00001VTqxQYAT","a04RB00000kVL7SYAW","a0BRB00000ypw612AA","a00RB000024Ux4xYAC",""
"a0FRB00000UtKT32AN","MFIW-000081","56826003","INV-0000001188","104523268","野村不動産株式会社","2026-04-22","","","660000","送付済み","決済待ち","反映済み","001RB00001VTCYEYA5","a04RB00000kVL7jYAG","a0BRB00000ypw6S2AQ","a00RB000024Ux5DYAS",""
"a0FRB00000UtKT42AN","MFIW-000082","56841170","INV-0000001189","105448655","株式会社コスモスイニシア（流通事業部）","2026-04-22","","","950400","送付済み","決済待ち","反映済み","001RB00001VTqgBYAT","a04RB00000kVL7VYAW","a0BRB00000ypw672AA","a00RB000024Ux5EYAS",""
"a0FRB00000UtKT52AN","MFIW-000083","56841400","INV-0000001190","105043583","株式会社コスモスイニシア　建築本部","2026-04-22","","","2217600","送付済み","決済済み","反映済み","001RB00001VTqgBYAT","a04RB00000kVL7VYAW","a0BRB00000ypw672AA","a00RB000024Ux5FYAS",""
"a0FRB00000UtKT62AN","MFIW-000084","56857997","INV-0000001191","104523268","野村不動産株式会社","2026-04-22","","","308000","送付済み","決済済み","反映済み","001RB00001VTCYEYA5","a04RB00000kVL7jYAG","a0BRB00000ypw6S2AQ","a00RB000024Ux5GYAS",""
"a0FRB00000UtKmP2AV","MFIW-000088","58388932","INV-0000001196","94597892","株式会社デザインアーク","2026-05-13","","","181500","送付待ち","決済待ち","反映可能","001RB00001VTruAYAT","a04RB00000kUAOAYA4","a0BRB00000ynb652AA","a00RB000024Ux5KYAS",""
"a0FRB00000UtKsv2AF","MFIW-000098","58549442","INV-0000001203","108589480","株式会社アールシーコア","2026-05-20","","","275000","送付済み","決済待ち","反映可能","001RB00001VTqxQYAT","a04RB00000kVL7SYAW","a0BRB00000ypw622AA","a00RB000024Ux5SYAS",""
"a0FRB00000UtKw52AF","MFIW-000115","58937326","INV-0000001278","114219627","株式会社コスモスイニシア","2026-05-22","","","825000","送付済み","決済待ち","反映可能","001RB00001VTqgBYAT","a04RB00000kVL7VYAW","a0BRB00000ypw682AA","a00RB000024Ux5iYAC",""
"a0FRB00000UtL0v2AF","MFIW-000119","59295041","INV-0000001283","113391577","近鉄不動産株式会社","2026-05-27","","","324500","送付待ち","決済待ち","反映可能","001RB00001VTrvcYAD","a04RB00000kVL7cYAG","a0BRB00000ypw6G2AQ","a00RB000024Vf1yYAC",""
"a0FRB00000UtLdd2AF","MFIW-000120","60012375","INV-0000001284","117928193","株式会社エリオクリエイト","2026-05-31","","","105600","送付済み","決済待ち","反映可能","001RB00001VTrxYYAT","a04RB00000kVL7UYAW","a0BRB00000ypw652AA","a00RB000024Vf1zYAC",""
"a0FRB00000UtM532AF","MFIW-000124","60970507","INV-0000001367","94597892","株式会社デザインアーク","2026-06-18","","","217800","送付待ち","決済待ち","反映可能","001RB00001VTruAYAT","a04RB00000kVL7YYAW","a0BRB00000ypw6B2AQ","a00RB000024Vf22YAC",""
"a0FRB00000UtMBZ2A3","MFIW-000133","60792891","INV-0000001292","108589480","株式会社アールシーコア","2026-06-20","","","275000","送付済み","決済待ち","反映済み","001RB00001VTqxQYAT","a04RB00000kVL7SYAW","a0BRB00000ypw632AA","a00RB000024Vf2AYAS",""
