"FreeeInvoiceId","FreeeInvoiceNumber","PartnerName","BillingDate","Amount","WorkStatus","WorkResolvedContract","TargetContractId","TargetContract","TargetStart","TargetEnd","TargetUpdate"
"54529958","INV-0000001097","株式会社サンケイビル","2026-03-23","924000","反映済み","Mig_freee請求移行_株式会社サンケイビル","a04RB00000kUAP2YAO","株式会社サンケイビル","2026-04-01","","年"
"60417633","INV-0000001286","近鉄不動産株式会社","2026-06-09","176000","反映可能","Mig_freee請求移行_近鉄不動産株式会社","a04RB00000kUAP8YAO","近鉄不動産","2026-04-01","","月"
"60417633","INV-0000001286","近鉄不動産株式会社","2026-06-09","176000","反映可能","Mig_freee請求移行_近鉄不動産株式会社","a04RB00000kUAP9YAO","近鉄不動産(セキュリティオプション月額）","2026-04-01","","月"
"54361336","INV-0000001096","株式会社コスモスイニシア","2026-03-19","973500","反映済み","Mig_freee請求移行_株式会社コスモスイニシア","a04RB00000kUAOXYA4","株式会社コスモスイニシア　建築本部","2025-10-01","","月"
"54361336","INV-0000001096","株式会社コスモスイニシア","2026-03-19","973500","反映済み","Mig_freee請求移行_株式会社コスモスイニシア","a04RB00000kUAOYYA4","株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）","2026-04-01","","年"
"54361336","INV-0000001096","株式会社コスモスイニシア","2026-03-19","973500","反映済み","Mig_freee請求移行_株式会社コスモスイニシア","a04RB00000kUAOZYA4","株式会社コスモスイニシア　事業本部（流通事業）","2025-10-01","","年"
"54361336","INV-0000001096","株式会社コスモスイニシア","2026-03-19","973500","反映済み","Mig_freee請求移行_株式会社コスモスイニシア","a04RB00000kUAOaYAO","株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）","2026-04-01","","年"
"54067665","INV-0000001033","株式会社石勝エクステリア","2026-03-20","154000","反映済み","Mig_freee請求移行_株式会社石勝エクステリア","a04RB00000kUAOkYAO","株式会社石勝エクステリア","2025-10-01","","年"
"54067665","INV-0000001033","株式会社石勝エクステリア","2026-03-20","154000","反映済み","Mig_freee請求移行_株式会社石勝エクステリア","a04RB00000kUAOrYAO","株式会社石勝エクステリア(シングルサインオン分）","2025-10-01","","年"
"54067668","INV-0000001034","株式会社アールシーコア","2026-03-20","275000","反映済み","Mig_freee請求移行_株式会社アールシーコア","a04RB00000kUAOoYAO","株式会社アールシーコア","2026-01-01","","月"
"54067668","INV-0000001034","株式会社アールシーコア","2026-03-20","275000","反映済み","Mig_freee請求移行_株式会社アールシーコア","a04RB00000kUAOsYAO","株式会社アールシーコア(セキュリティオプション月額）","2026-01-01","","月"
"56461111","INV-0000001113","株式会社アールシーコア","2026-04-20","275000","反映済み","Mig_freee請求移行_株式会社アールシーコア","a04RB00000kUAOoYAO","株式会社アールシーコア","2026-01-01","","月"
"56461111","INV-0000001113","株式会社アールシーコア","2026-04-20","275000","反映済み","Mig_freee請求移行_株式会社アールシーコア","a04RB00000kUAOsYAO","株式会社アールシーコア(セキュリティオプション月額）","2026-01-01","","月"
"56826003","INV-0000001188","野村不動産株式会社","2026-04-22","660000","反映済み","Mig_freee請求移行_野村不動産株式会社","a04RB00000kUAOvYAO","野村不動産株式会社","2026-04-01","","月"
