"Id","ContractName","Status","Category","HasDirectInvoice","HasMonthlyLine","HasMonthlyRelatedInvoice"
"a04RB00000kJSUMYA4","不動産A株式会社のRendary商談_2026-06-18","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUANdYAO","サンフロンティア不動産株式会社","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUANeYAO","東急不動産株式会社","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANfYAO","株式会社 ノムラメディアス","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANgYAO","東急株式会社","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANhYAO","東急建設 ○独特の請求書式あり","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANiYAO","株式会社フロンティアコンサルティング","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUANjYAO","前田工務店","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANkYAO","東京建物","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANlYAO","三井デザインテック","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANmYAO","ムゲンエステート","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANnYAO","studio55","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANoYAO","コクヨ","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANpYAO","戸田建設(開発推進部:年額)","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANqYAO","東急リゾーツ＆ステイ","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANrYAO","インフィニティ株式会社","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANsYAO","株式会社リノシスコーポレーション","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANtYAO","ジェイアール北海道エンジニアリング株式会社(大塚商会)","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANuYAO","リリカラ(大塚商会)","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANvYAO","株式会社イトーキ","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANwYAO","株式会社TRIAD","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANxYAO","九州旅客鉄道株式会社　工事部施設課","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANyYAO","株式会社オリバー","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUANzYAO","アイリスチトセ株式会社","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAO0YAO","戸田建設(設計部:月額)","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAO1YAO","47内装株式会社","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAO2YAO","ANAスカイビルサービス株式会社　※郵送希望","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAO3YAO","株式会社 ノムラメディアス","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAO4YAO","株式会社URリンケージ(月額払い)","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAO5YAO","株式会社URリンケージ(年額払い)","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAO6YAO","佐伯綜合建設(大塚商会)","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAO7YAO","吉村紳　一級建築士事務所","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAO8YAO","株式会社乃村工藝社","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAO9YAO","矢作建設工業株式会社","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOAYA4","株式会社デザインアーク","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAOBYA4","大塚商会(株式会社長谷建築設計事務所様)","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOCYA4","アイリスオーヤマ（ストアデザイン部）","解約","C. 契約月次明細あり・請求なし","False","True","False"
