Id,Name,Account__c,MasterContract__c,ContractPeriod__c,PeriodStartDate__c,PeriodEndDate__c,ContractYearMonth__c,ProductMaster__c,RelatedInvoice__c,InvoiceStatus__c
a03RB00001NHLyOYAX,a03RB00001NHLyO,001RB00001UvdpFYAR,a04RB00000kJSUMYA4,a0BRB00000yTxF32AK,2026-06-01,2026-06-30,2026/06,,a00RB000023liu7YAA,請求済
a03RB00001NswUHYAZ,サンフロンティア不動産株式会社_2024/06,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2024-06-01,,2024/06,,,未請求
a03RB00001NswUIYAZ,サンフロンティア不動産株式会社_2024/07,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2024-07-01,,2024/07,,,未請求
a03RB00001NswUJYAZ,サンフロンティア不動産株式会社_2024/08,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2024-08-01,,2024/08,,,未請求
a03RB00001NswUKYAZ,サンフロンティア不動産株式会社_2024/09,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2024-09-01,,2024/09,,,未請求
a03RB00001NswULYAZ,サンフロンティア不動産株式会社_2024/10,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2024-10-01,,2024/10,,,未請求
a03RB00001NswUMYAZ,サンフロンティア不動産株式会社_2024/11,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2024-11-01,,2024/11,,,未請求
a03RB00001NswUNYAZ,サンフロンティア不動産株式会社_2024/12,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2024-12-01,,2024/12,,,未請求
a03RB00001NswUOYAZ,サンフロンティア不動産株式会社_2025/01,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2025-01-01,,2025/01,,,未請求
a03RB00001NswUPYAZ,サンフロンティア不動産株式会社_2025/02,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2025-02-01,,2025/02,,,未請求
a03RB00001NswUQYAZ,サンフロンティア不動産株式会社_2025/03,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2025-03-01,,2025/03,,,未請求
a03RB00001NswURYAZ,サンフロンティア不動産株式会社_2025/04,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2025-04-01,,2025/04,,,未請求
a03RB00001NswUSYAZ,サンフロンティア不動産株式会社_2025/05,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2025-05-01,,2025/05,,,未請求
a03RB00001NswUTYAZ,サンフロンティア不動産株式会社_2025/06,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2025-06-01,,2025/06,,,未請求
a03RB00001NswUUYAZ,サンフロンティア不動産株式会社_2025/07,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2025-07-01,,2025/07,,,未請求
a03RB00001NswUVYAZ,サンフロンティア不動産株式会社_2025/08,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2025-08-01,,2025/08,,,未請求
a03RB00001NswUWYAZ,サンフロンティア不動産株式会社_2025/09,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2025-09-01,,2025/09,,,未請求
a03RB00001NswUXYAZ,サンフロンティア不動産株式会社_2025/10,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2025-10-01,,2025/10,,,未請求
a03RB00001NswUYYAZ,サンフロンティア不動産株式会社_2025/11,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,2025-11-01,,2025/11,,,未請求
