Id,RelatedInvoice__c,RelatedInvoiceFreeeInvoiceStatus__c,RelatedInvoicePaymentStatus__c
a03RB00001NHLyOYAX,a00RB000023liu7YAA,送付待ち,決済待ち
a03RB00001NswUcYAJ,a00RB000024Ux4KYAS,送付済み,決済済み
a03RB00001NswWFYAZ,a00RB000024Ux4LYAS,送付済み,決済済み
a03RB00001NswgIYAR,a00RB000024Ux4MYAS,送付済み,決済済み
a03RB00001NswcHYAR,a00RB000024Ux4NYAS,送付済み,決済済み
a03RB00001NsweoYAB,a00RB000024Ux4RYAS,送付済み,決済済み
a03RB00001NswsVYAR,a00RB000024Ux4SYAS,送付済み,決済済み
a03RB00001NswgfYAB,a00RB000024Ux4TYAS,送付済み,決済済み
a03RB00001NswglYAB,a00RB000024Ux4WYAS,送付済み,決済済み
a03RB00001NswsQYAR,a00RB000024Ux4XYAS,送付済み,決済済み
a03RB00001Nswi2YAB,a00RB000024Ux4YYAS,送付済み,決済済み
a03RB00001NswgpYAB,a00RB000024Ux4ZYAS,送付済み,決済済み
a03RB00001NswsdYAB,a00RB000024Ux4aYAC,送付済み,決済済み
a03RB00001NswsZYAR,a00RB000024Ux4bYAC,送付済み,決済待ち
a03RB00001NswihYAB,a00RB000024Ux4cYAC,送付済み,決済待ち
a03RB00001NswnbYAB,a00RB000024Ux4dYAC,送付待ち,決済待ち
a03RB00001NswZzYAJ,a00RB000024Ux4eYAC,送付済み,決済済み
a03RB00001NswrXYAR,a00RB000024Ux4fYAC,送付済み,決済済み
a03RB00001NswrMYAR,a00RB000024Ux4gYAC,送付済み,決済済み
a03RB00001NswqzYAB,a00RB000024Ux4iYAC,送付済み,決済済み
a03RB00001NswjOYAR,a00RB000024Ux4kYAC,送付済み,決済済み
a03RB00001NswsWYAR,a00RB000024Ux4vYAC,送付済み,決済済み
a03RB00001NswggYAB,a00RB000024Ux4wYAC,送付済み,決済済み
a03RB00001NswgmYAB,a00RB000024Ux4yYAC,送付済み,決済済み
a03RB00001NswsRYAR,a00RB000024Ux4zYAC,送付済み,決済済み
a03RB00001Nswi3YAB,a00RB000024Ux50YAC,送付済み,決済済み
a03RB00001NswgqYAB,a00RB000024Ux51YAC,送付済み,決済済み
a03RB00001NswseYAB,a00RB000024Ux52YAC,送付済み,決済済み
a03RB00001NswsaYAB,a00RB000024Ux53YAC,送付済み,決済待ち
a03RB00001NswiiYAB,a00RB000024Ux54YAC,送付済み,決済待ち
a03RB00001Nswj8YAB,a00RB000024Ux55YAC,送付済み,決済済み
a03RB00001NswrYYAR,a00RB000024Ux56YAC,送付済み,決済済み
a03RB00001NswrNYAR,a00RB000024Ux57YAC,送付済み,決済済み
a03RB00001Nswr0YAB,a00RB000024Ux59YAC,送付済み,決済済み
a03RB00001NswpgYAB,a00RB000024Ux5CYAS,送付済み,決済待ち
a03RB00001Nswk6YAB,a00RB000024Ux5HYAS,送付済み,決済済み
a03RB00001NswjPYAR,a00RB000024Ux5IYAS,送付待ち,決済待ち
a03RB00001Nswc1YAB,a00RB000024Ux5KYAS,送付待ち,決済待ち
a03RB00001NswUeYAJ,a00RB000024Ux5LYAS,送付済み,決済待ち
a03RB00001NswWHYAZ,a00RB000024Ux5MYAS,送付済み,決済済み
a03RB00001NsweqYAB,a00RB000024Ux5PYAS,送付済み,決済待ち
a03RB00001NswsXYAR,a00RB000024Ux5QYAS,送付済み,決済待ち
a03RB00001NswghYAB,a00RB000024Ux5RYAS,送付済み,決済待ち
a03RB00001NswgnYAB,a00RB000024Ux5TYAS,送付済み,決済待ち
a03RB00001Nswi4YAB,a00RB000024Ux5VYAS,送付済み,決済済み
a03RB00001NswgrYAB,a00RB000024Ux5WYAS,送付済み,決済済み
a03RB00001NswsfYAB,a00RB000024Ux5XYAS,送付済み,決済済み
a03RB00001NswsbYAB,a00RB000024Ux5YYAS,送付済み,決済待ち
a03RB00001NswijYAB,a00RB000024Ux5ZYAS,送付済み,決済待ち
a03RB00001Nswj9YAB,a00RB000024Ux5aYAC,送付済み,決済待ち
a03RB00001Nswj4YAB,a00RB000024Ux5bYAC,送付済み,決済済み
a03RB00001Nswj6YAB,a00RB000024Ux5cYAC,送付済み,決済待ち
a03RB00001NswjQYAR,a00RB000024Ux5dYAC,送付済み,決済待ち
a03RB00001NswjUYAR,a00RB000024Ux5eYAC,送付済み,決済済み
a03RB00001NswjWYAR,a00RB000024Ux5fYAC,送付済み,決済待ち
a03RB00001NswjSYAR,a00RB000024Ux5gYAC,送付済み,決済済み
a03RB00001NswjfYAB,a00RB000024Ux5hYAC,送付済み,決済待ち
a03RB00001NswhoYAB,a00RB000024Ux5kYAC,送付待ち,決済待ち
a03RB00001NswgiYAB,a00RB000024Vf29YAC,送付済み,決済待ち
a03RB00001NswgoYAB,a00RB000024Vf2BYAS,送付済み,決済待ち
