Id,Name,Account__c,ParentContract__c,ContractPeriod__c,TargetPeriodStartDate__c,TargetPeriodEndDate__c,Billing_Date__c,Freee_Invoice_Status__c,PaymentStatus__c,CancelStatus__c,Freee_Invoice_Id__c
a00RB000023liu7YAA,INV-0000000003,001RB00001UvdpFYAR,a04RB00000kJSUMYA4,a0BRB00000yTxF32AK,,,2026-06-19,送付待ち,決済待ち,通常,60979452
a00RB000024Ux4BYAS,INV-0000000004,001RB00001VTrvXYAT,a04RB00000kVL7WYAW,a0BRB00000ypw692AA,,,2026-03-23,送付済み,決済済み,通常,54529958
a00RB000024Ux4CYAS,INV-0000000005,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,,,2026-05-15,送付待ち,決済済み,通常,58486126
a00RB000024Ux4DYAS,INV-0000000006,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,,,2026-05-15,送付待ち,決済済み,通常,58486360
a00RB000024Ux4EYAS,INV-0000000007,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,,,2026-03-25,送付済み,決済済み,通常,54695329
a00RB000024Ux4FYAS,INV-0000000008,001RB00001VTrvcYAD,a04RB00000kVL7cYAG,a0BRB00000ypw6H2AQ,,,2026-06-09,送付済み,決済待ち,通常,60417633
a00RB000024Ux4GYAS,INV-0000000009,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw662AA,,,2026-03-19,送付済み,決済済み,通常,54361336
a00RB000024Ux4HYAS,INV-0000000010,001RB00001VcyFLYAZ,a04RB00000kVL7MYAW,a0BRB00000ypw5t2AA,,,2026-03-02,送付済み,決済済み,通常,53082772
a00RB000024Ux4IYAS,INV-0000000011,001RB00001VTqkoYAD,a04RB00000kVL7eYAG,a0BRB00000ypw6J2AQ,,,2026-03-02,送付済み,決済済み,通常,53100155
a00RB000024Ux4JYAS,INV-0000000012,001RB00001VcyFMYAZ,a04RB00000kVL7XYAW,a0BRB00000ypw6A2AQ,,,2026-03-13,送付済み,決済済み,通常,53825605
a00RB000024Ux4KYAS,INV-0000000013,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,,,2026-03-18,送付済み,決済済み,通常,54237366
a00RB000024Ux4LYAS,INV-0000000014,001RB00001VTqlHYAT,a04RB00000kUANiYAO,a0BRB00000ynb5d2AA,,,2026-03-18,送付済み,決済済み,通常,54237761
a00RB000024Ux4MYAS,INV-0000000015,001RB00001VTqleYAD,a04RB00000kUAObYAO,a0BRB00000ynb6W2AQ,,,2026-03-18,送付済み,決済済み,通常,54238142
a00RB000024Ux4NYAS,INV-0000000016,001RB00001VTrtrYAD,a04RB00000kUAOEYA4,a0BRB00000ynb692AA,,,2026-03-18,送付済み,決済済み,通常,54240654
a00RB000024Ux4OYAS,INV-0000000017,001RB00001VcyFNYAZ,a04RB00000kVL7dYAG,a0BRB00000ypw6I2AQ,,,2026-04-09,送付済み,決済済み,通常,56091285
a00RB000024Ux4PYAS,INV-0000000018,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,,,2026-04-09,送付待ち,決済待ち,通常,56133730
a00RB000024Ux4QYAS,INV-0000000019,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6O2AQ,,,2026-03-20,送付済み,決済済み,通常,54067648
a00RB000024Ux4RYAS,INV-0000000020,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,,,2026-03-20,送付済み,決済済み,通常,54067657
a00RB000024Ux4SYAS,INV-0000000021,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,,,2026-03-20,送付済み,決済済み,通常,54067660
a00RB000024Ux4TYAS,INV-0000000022,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,,,2026-03-20,送付済み,決済済み,通常,54067663
a00RB000024Ux4UYAS,INV-0000000023,001RB00001VTqnMYAT,a04RB00000kVL7aYAG,a0BRB00000ypw6E2AQ,,,2026-03-20,送付済み,決済済み,通常,54067665
a00RB000024Ux4VYAS,INV-0000000024,001RB00001VTqxQYAT,a04RB00000kVL7SYAW,a0BRB00000ypw602AA,,,2026-03-20,送付済み,決済済み,通常,54067668
a00RB000024Ux4WYAS,INV-0000000025,001RB00001VTqy1YAD,a04RB00000kUAOgYAO,a0BRB00000ynb6b2AA,,,2026-03-20,送付済み,決済済み,通常,54067671
a00RB000024Ux4XYAS,INV-0000000026,001RB00001VTqatYAD,a04RB00000kUAQ9YAO,a0BRB00000ynn612AA,,,2026-03-20,送付済み,決済済み,通常,54067674
