Id,Name,FreeeInvoiceId__c,FreeeInvoiceNumber__c,FreeePartnerId__c,PartnerName__c,BillingDate__c,TargetPeriodStartDate__c,TargetPeriodEndDate__c,InvoiceAmount__c,SendStatus__c,PaymentStatus__c,ImportStatus__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c,ValidationMessage__c
a0FRB00000UsZSL2A3,MFIW-000050,54529958,INV-0000001097,111164170,株式会社サンケイビル,2026-03-23,,,924000,送付済み,決済済み,反映済み,001RB00001VTrvXYAT,a04RB00000kVL7WYAW,a0BRB00000ypw692AA,a00RB000024Ux4BYAS,
a0FRB00000Usb9f2AB,MFIW-000089,58486126,INV-0000001197,102184607,株式会社ＬＩＸＩＬ住宅研究所,2026-05-15,,,237600,送付待ち,決済済み,反映可能,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Ux4CYAS,
a0FRB00000Usb9g2AB,MFIW-000090,58486360,INV-0000001198,102184607,株式会社ＬＩＸＩＬ住宅研究所,2026-05-15,,,3168000,送付待ち,決済済み,反映可能,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Ux4DYAS,
a0FRB00000Usthk2AB,MFIW-000054,54695329,INV-0000001101,102184607,株式会社ＬＩＸＩＬ住宅研究所,2026-03-25,,,53900,送付済み,決済済み,反映済み,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Ux4EYAS,
a0FRB00000Ut0EN2AZ,MFIW-000122,60417633,INV-0000001286,113391577,近鉄不動産株式会社,2026-06-09,,,176000,送付済み,決済待ち,反映可能,001RB00001VTrvcYAD,a04RB00000kVL7cYAG,a0BRB00000ypw6H2AQ,a00RB000024Ux4FYAS,
a0FRB00000UtCfV2AV,MFIW-000027,54361336,INV-0000001096,114219627,株式会社コスモスイニシア,2026-03-19,,,973500,送付済み,決済済み,反映済み,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw662AA,a00RB000024Ux4GYAS,
a0FRB00000UtJtZ2AV,MFIW-000020,53082772,INV-0000001025,112236938,さいたま家づくりネットワーク事務局,2026-03-02,,,56940,送付済み,決済済み,反映済み,001RB00001VcyFLYAZ,a04RB00000kVL7MYAW,a0BRB00000ypw5t2AA,a00RB000024Ux4HYAS,
a0FRB00000UtJta2AF,MFIW-000021,53100155,INV-0000001026,102411107,三菱商事株式会社,2026-03-02,,,1837000,送付済み,決済済み,反映済み,001RB00001VTqkoYAD,a04RB00000kVL7eYAG,a0BRB00000ypw6J2AQ,a00RB000024Ux4IYAS,
a0FRB00000UtJvB2AV,MFIW-000022,53825605,INV-0000001028,85038097,株式会社スタッコ,2026-03-13,,,12870000,送付済み,決済済み,反映済み,001RB00001VcyFMYAZ,a04RB00000kVL7XYAW,a0BRB00000ypw6A2AQ,a00RB000024Ux4JYAS,
a0FRB00000UtJwn2AF,MFIW-000023,54237366,INV-0000001087,73914642,サンフロンティア不動産株式会社,2026-03-18,,,70400,送付済み,決済済み,反映済み,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,a00RB000024Ux4KYAS,
