Account__c,ContractUpdate__c,ContractName__c,AnnualBillingMonthType__c,NextInvoiceCreationDate__c,RenewalConfirmationStatus__c,RenewalStop__c,CompanySigned__c,CustomerSignedDate__c,CustomerSigned__c,Description__c,EndDate__c,StartDate__c,Status__c,ActivatedDate__c,Oppotunity__c,Payment__c,Plan__c,ExpectedDuration__c,ACV__c,ARR__c,MRR__c
001RB00001VTqlYYAT,月,サンフロンティア不動産株式会社,,,,,,,,備考: 毎月手動送付,,2024-06-01,Activated,,,Invoice,Pro,,768000,768000,64000
001RB00001VTqUVYA1,月,東急不動産株式会社,,,,,,,,備考: 解約,2026-06-01,2024-08-01,解約,,,Invoice,EN,,2508000,2508000,209000
001RB00001VTCZGYA5,月,株式会社 ノムラメディアス,,,,,,,,備考: (解約)ENへ変更,2025-02-01,2024-08-01,解約,,,Invoice,Pro,,1248000,1248000,104000
001RB00001VTrs0YAD,月,東急株式会社,,,,,,,,,,2024-10-01,Activated,,,Invoice,EN,,132000,132000,11000
001RB00001VTrseYAD,年,東急建設 ○独特の請求書式あり,利用開始前月,,,,,,,備考: 年払い,,2024-09-01,Activated,,,Invoice,Pro,,96000,96000,8000
001RB00001VTqlHYAT,月,株式会社フロンティアコンサルティング,,,,,,,,備考: ●納品書同時送付,,2024-08-01,Activated,,,Invoice,EN,,6600000,6600000,550000
001RB00001VTCYmYAP,月,前田工務店,,,,,,,,,,2024-10-01,Activated,,,Invoice,Pro,,96000,96000,8000
001RB00001VTqf9YAD,月,東京建物,,,,,,,,備考: 解約,2024-12-01,2024-09-01,解約,,,Invoice,EN,,1320000,1320000,110000
001RB00001VTrtaYAD,月,三井デザインテック,,,,,,,,備考: 解約,2025-03-01,2024-09-01,解約,,,Invoice,BA,,240000,240000,20000
001RB00001VTqlOYAT,月,ムゲンエステート,,,,,,,,,,2024-10-01,Activated,,,Invoice,Pro,,96000,96000,8000
001RB00001VTrOjYAL,月,studio55,,,,,,,,備考: 無料,,2024-09-01,Activated,,,Invoice,BA,,,,
001RB00001VTCZ9YAP,月,コクヨ,,,,,,,,備考: 解約,2025-03-01,2024-11-01,解約,,,Invoice,EN,,660000,660000,55000
001RB00001VTrmnYAD,月,戸田建設(開発推進部:年額),,,,,,,,備考: 解約,2026-01-01,2024-11-01,解約,,,Invoice,EN,,264000,264000,22000
001RB00001VTrkXYAT,月,東急リゾーツ＆ステイ,,,,,,,,,,2024-11-01,Activated,,,Invoice,EN,,528000,528000,44000
001RB00001VTCYwYAP,月,インフィニティ株式会社,,,,,,,,備考: 解約,2026-05-01,2024-11-01,解約,,,Invoice,Pro,,96000,96000,8000
001RB00001VTrtuYAD,月,株式会社リノシスコーポレーション,,,,,,,,備考: 解約,2025-10-01,2024-10-01,解約,,,Invoice,EN,,660000,660000,55000
001RB00001VTr0TYAT,月,ジェイアール北海道エンジニアリング株式会社(大塚商会),,,,,,,,備考: 半年払い,,2024-12-01,Activated,,,Invoice,Pro＋,,76800,76800,6400
001RB00001VTr1PYAT,月,リリカラ(大塚商会),,,,,,,,備考: 半年払い,,2024-11-01,Activated,,,Invoice,Pro＋,,153600,153600,12800
001RB00001VTCYyYAP,月,株式会社イトーキ,,,,,,,,備考: 解約,2025-12-01,2024-12-01,解約,,,Invoice,BA,,60000,60000,5000
001RB00001VTqUoYAL,月,株式会社TRIAD,,,,,,,,,,2025-01-01,Activated,,,Invoice,Pro,,96000,96000,8000
001RB00001VTrOlYAL,月,九州旅客鉄道株式会社　工事部施設課,,,,,,,,部署: 工事部施設課,,2024-12-01,Activated,,,Invoice,Pro,,96000,96000,8000
001RB00001VTqjbYAD,月,株式会社オリバー,,,,,,,,備考: 半年払い？一旦解約みたいになってる,2025-07-01,2025-01-01,解約,,,Invoice,Pro,,252000,252000,21000
001RB00001VTqlZYAT,月,アイリスチトセ株式会社,,,,,,,,備考: (解約)ENへ変更,2025-05-01,2025-04-01,解約,,,Invoice,Pro,,192000,192000,16000
001RB00001VTrmnYAD,月,戸田建設(設計部:月額),,,,,,,,,,2025-02-01,Activated,,,Invoice,EN,,660000,660000,55000
001RB00001VTCYGYA5,月,47内装株式会社,,,,,,,,備考: Billoneにて請求書送付。備考にアドレス有。,,2025-03-01,Activated,,,Invoice,EN,,660000,660000,55000
001RB00001VTCYFYA5,月,ANAスカイビルサービス株式会社　※郵送希望,,,,,,,,備考: 4月から,,2025-04-01,Activated,,,Invoice,Pro,,192000,192000,16000
001RB00001VTCZGYA5,月,株式会社 ノムラメディアス,,,,,,,,備考: 解約　請求アドレス：n.ikeda@nomura-g.jpへ変更,2026-02-01,2025-03-01,解約,,,Invoice,EN,,660000,660000,55000
001RB00001VTtIPYA1,月,株式会社URリンケージ(月額払い),,,,,,,,備考: 解約,2025-04-01,2025-03-01,解約,,,Invoice,Pro,,96000,96000,8000
001RB00001VTtIPYA1,月,株式会社URリンケージ(年額払い),,,,,,,,備考: 解約　年払,2026-02-01,2025-03-01,解約,,,Invoice,Pro,,96000,96000,8000
001RB00001VTtIQYA1,年,佐伯綜合建設(大塚商会),利用開始前月,,,,,,,備考: 年払1/31まで,,2025-02-01,Activated,,,Invoice,Pro＋,,76800,76800,6400
001RB00001VTqU3YAL,月,吉村紳　一級建築士事務所,,,,,,,,,,2025-04-01,Activated,,,Invoice,Pro,,96000,96000,8000
001RB00001VTCZZYA5,月,株式会社乃村工藝社,,,,,,,,備考: 解約,2025-04-01,2025-01-01,解約,,,Invoice,Pro,,192000,192000,16000
001RB00001VTqlfYAD,年,矢作建設工業株式会社,利用開始前月,,,,,,,備考: 年払い,,2025-04-01,Activated,,,Invoice,EN,,660000,660000,55000
001RB00001VTruAYAT,月,株式会社デザインアーク,,,,,,,,備考: 4月スタートですが、5月に合算請求,,2025-05-01,Activated,,,Invoice,EN,,660000,660000,55000
001RB00001VTqleYAD,月,大塚商会(株式会社長谷建築設計事務所様),,,,,,,,備考: 解約　４月のみ復活,2026-04-01,2025-04-01,解約,,,Invoice,Pro＋,,76800,76800,6400
001RB00001VTqkwYAD,月,アイリスオーヤマ（ストアデザイン部）,,,,,,,,備考: エンプラ変更　解約,2025-05-01,2025-05-01,解約,,,Invoice,Pro,,288000,288000,24000
001RB00001VTqkwYAD,月,アイリスオーヤマ（空間デザイン部）,,,,,,,,備考: エンプラ変更　解約,2025-05-01,2025-05-01,解約,,,Invoice,Pro,,96000,96000,8000
