Name,MasterContract__c,Month__c,PeopleNumber__c,CheckStatus__c,Total__c,Account__c,Payment__c,Plan__c,ContractYearMonth__c,ARR_Target__c,ContractPeriod__c,InitialFee__c,InvoiceStatus__c,MRR_Target__c,PeriodEndDate__c,PeriodStartDate__c,RevenueAmount__c,ProductMaster__c
サンフロンティア不動産株式会社_2024/06,a04RB00000kUANdYAO,2024/06,8,入金,64000,001RB00001VTqlYYAT,請求書,Pro,2024/06,,a0BRB00000ynb5Y2AQ,,,,,2024-06-01,,
サンフロンティア不動産株式会社_2024/07,a04RB00000kUANdYAO,2024/07,8,入金,64000,001RB00001VTqlYYAT,請求書,Pro,2024/07,,a0BRB00000ynb5Y2AQ,,,,,2024-07-01,,
サンフロンティア不動産株式会社_2024/08,a04RB00000kUANdYAO,2024/08,8,入金,64000,001RB00001VTqlYYAT,請求書,Pro,2024/08,,a0BRB00000ynb5Y2AQ,,,,,2024-08-01,,
サンフロンティア不動産株式会社_2024/09,a04RB00000kUANdYAO,2024/09,8,入金,64000,001RB00001VTqlYYAT,請求書,Pro,2024/09,,a0BRB00000ynb5Y2AQ,,,,,2024-09-01,,
サンフロンティア不動産株式会社_2024/10,a04RB00000kUANdYAO,2024/10,8,入金,64000,001RB00001VTqlYYAT,請求書,Pro,2024/10,,a0BRB00000ynb5Y2AQ,,,,,2024-10-01,,
サンフロンティア不動産株式会社_2024/11,a04RB00000kUANdYAO,2024/11,8,入金,64000,001RB00001VTqlYYAT,請求書,Pro,2024/11,,a0BRB00000ynb5Y2AQ,,,,,2024-11-01,,
サンフロンティア不動産株式会社_2024/12,a04RB00000kUANdYAO,2024/12,8,入金,64000,001RB00001VTqlYYAT,請求書,Pro,2024/12,,a0BRB00000ynb5Y2AQ,,,,,2024-12-01,,
サンフロンティア不動産株式会社_2025/01,a04RB00000kUANdYAO,2025/01,8,入金,64000,001RB00001VTqlYYAT,請求書,Pro,2025/01,,a0BRB00000ynb5Y2AQ,,,,,2025-01-01,,
サンフロンティア不動産株式会社_2025/02,a04RB00000kUANdYAO,2025/02,8,入金,64000,001RB00001VTqlYYAT,請求書,Pro,2025/02,,a0BRB00000ynb5Y2AQ,,,,,2025-02-01,,
サンフロンティア不動産株式会社_2025/03,a04RB00000kUANdYAO,2025/03,8,入金,64000,001RB00001VTqlYYAT,請求書,Pro,2025/03,,a0BRB00000ynb5Y2AQ,,,,,2025-03-01,,
サンフロンティア不動産株式会社_2025/04,a04RB00000kUANdYAO,2025/04,8,入金,64000,001RB00001VTqlYYAT,請求書,Pro,2025/04,,a0BRB00000ynb5Y2AQ,,,,,2025-04-01,,
サンフロンティア不動産株式会社_2025/05,a04RB00000kUANdYAO,2025/05,8,入金,64000,001RB00001VTqlYYAT,請求書,Pro,2025/05,,a0BRB00000ynb5Y2AQ,,,,,2025-05-01,,
サンフロンティア不動産株式会社_2025/06,a04RB00000kUANdYAO,2025/06,8,送付,64000,001RB00001VTqlYYAT,請求書,Pro,2025/06,,a0BRB00000ynb5Y2AQ,,,,,2025-06-01,,
サンフロンティア不動産株式会社_2025/07,a04RB00000kUANdYAO,2025/07,8,送付,64000,001RB00001VTqlYYAT,請求書,Pro,2025/07,,a0BRB00000ynb5Y2AQ,,,,,2025-07-01,,
サンフロンティア不動産株式会社_2025/08,a04RB00000kUANdYAO,2025/08,8,送付,64000,001RB00001VTqlYYAT,請求書,Pro,2025/08,,a0BRB00000ynb5Y2AQ,,,,,2025-08-01,,
