"FreeePartnerId__c","PartnerName__c","FuzzyCount","CandidateIds","CandidateNames","CandidateFreeeIds"
"77887489","クウジット株式会社","0","","",""
"119152943","コクヨ株式会社 ワークプレイス事業本部 スペースソリューション本部","3","001RB00001VTCZ9YAP;001RB00001VTqZjYAL;001RB00001VTsyAYAT","コクヨ 株式会社;株式会社スペース;ワーク株式会社","119249628;119251709;119251538"
"112236938","さいたま家づくりネットワーク事務局","1","001RB00001VTsyAYAT","ワーク株式会社","119251538"
"113337501","トヨタ・コニック・プロ株式会社","1","001RB00001VTrkUYAT","トヨタコニックプロ株式会社","119250118"
"111309576","株式会社ＬＩＸＩＬ","0","","",""
"102184607","株式会社ＬＩＸＩＬ住宅研究所","0","","",""
"105043583","株式会社コスモスイニシア　建築本部","1","001RB00001VTqgBYAT","株式会社コスモスイニシア","114219627"
"105448655","株式会社コスモスイニシア（流通事業部）","1","001RB00001VTqgBYAT","株式会社コスモスイニシア","114219627"
"85038097","株式会社スタッコ","0","","",""
"104848225","株式会社三越伊勢丹プロパティ・デザイン","2","001RB00001VTqxsYAD;001RB00001VTrIVYA1","三越伊勢丹プロパティ・デザイン株式会社;株式会社三越伊勢丹","119254229;119252091"
"104848225","株式会社三越伊勢丹プロパティデザイン","2","001RB00001VTqxsYAD;001RB00001VTrIVYA1","三越伊勢丹プロパティ・デザイン株式会社;株式会社三越伊勢丹","119254229;119252091"
"108865293","株式会社錢高組","1","001RB00001VTqW8YAL","株式会社 錢高組","119250967"
"109374968","合同会社髙木秀太事務所 NOI STUDIO","0","","",""
"103564412","三井不動産レジデンシャルリース株式会社(ソリューション推進部)","3","001RB00001VTqbXYAT;001RB00001VTrvNYAT;001RB00001VTrw1YAD","三井不動産レジデンシャルリース株式会社;三井不動産レジデンシャル株式会社;三井不動産株式会社","86172797;119253963;69527124"
"102411107","三菱商事株式会社","2","001RB00001VTqkoYAD;001RB00001VTr0OYAT","三菱商事 株式会社;三菱商事都市開発株式会社","119253736;119253775"
"98221039","松栄不動産株式会社(アパマンショップ仙台東口店)","1","001RB00001VTtIeYAL","松栄不動産株式会社","119255085"
"84446808","神奈川県知事　黒岩　祐治","0","","",""
"96603066","西和不動産株式会社 栗東店","3","001RB00001VTqaNYAT;001RB00001VTriKYAT;001RB00001VTtIZYA1","西和不動産株式会社;株式会社 和;リユースせいわ 西和不動産株式会社 栗東店","95201216;119250810;119250276"
"96810444","帝国不動産株式会社","0","","",""
"108259265","柏井建設株式会社","2","001RB00001VTrI5YAL;001RB00001VTrl9YAD","柏井建設 株式会社;柏井建設株式会社 建築設計部","119255254;119255303"
