"Id","Name","ProductCategory__c","PlanCategory__c","AccountCount__c"
"a08RB00001Z16Q6YAJ","[サンプル] EmpowerMove","Rendery",,
"a08RB00001Z16Q7YAJ","Renderyエンプラ導入","Rendery","Enterprise","5"
"a08RB00001Z16Q8YAJ","さくらホームグループ株式会社 の取引","Rendery","Pro","3"
"a08RB00001Z16Q9YAJ","株式会社フジタ","Rendery","Enterprise","5"
"a08RB00001Z16QAYAZ","ハウジング・ジャパン株式会社 の取引","Rendery","Enterprise","5"
"a08RB00001Z16QBYAZ","株式会社リロケーション・ジャパン の取引","knock knock AI","Basic","3"
"a08RB00001Z16QCYAZ","チルホーム株式会社 の取引","Rendery","Pro","1"
"a08RB00001Z16QDYAZ","髙松テクノサービス株式会社 の取引","Rendery","Pro","2"
"a08RB00001Z16QEYAZ","有限会社汗青社 の取引","knock knock AI","Basic","1"
"a08RB00001Z16QGYAZ","サムティアセットマネジメント株式会社","knock knock AI","Basic","1"
"a08RB00001Z16QHYAZ","株式会社現代建築研究所 の取引","Rendery",,
"a08RB00001Z16QIYAZ","ユニオンテック株式会社 の取引","Rendery","Pro","3"
"a08RB00001Z16QJYAZ","西日本旅客鉄道株式会社　金沢支社　金沢建築区 の取引","Rendery","Basic","1"
"a08RB00001Z16QKYAZ","三菱商事 の取引","受託開発",,
"a08RB00001Z16QLYAZ","株式会社三福管理センター の取引","knock knock AI","Pro","1"
"a08RB00001Z16QMYAZ","株式会社ケイミックス の取引","Rendery","Pro","1"
"a08RB00001Z16QNYAZ","株式会社オーナーズ・スタイル の取引","knock knock AI",,
"a08RB00001Z16QOYAZ","三井不動産レジデンシャルリース株式会社(ソリ推)の取引","Rendery","Enterprise","10"
"a08RB00001Z16QPYAZ","TC神鋼不動産株式会社 の取引","knock knock AI","Basic","1"
"a08RB00001Z16QQYAZ","不動産業 の取引","knock knock AI",,
"a08RB00001Z16QRYAZ","Nowhere Group株式会社 の取引","Rendery","Pro","3"
"a08RB00001Z16QSYAZ","株式会社リペア の取引","Rendery",,
"a08RB00001Z16QTYAZ","株式会社ひかり工務店 の取引","Rendery","Pro","1"
"a08RB00001Z16QUYAZ","株式会社オークハウス（本社） の取引","受託開発",,
"a08RB00001Z16QVYAZ","中央日本土地建物株式会社 の取引","Rendery","Enterprise","5"
"a08RB00001Z16QWYAZ","株式会社レーベントラスト の取引","knock knock AI","Pro","1"
"a08RB00001Z16QXYAZ","矢作建設工業株式会社 の取引","Rendery","Enterprise","5"
"a08RB00001Z16QYYAZ","三井不動産レジデンシャルリース株式会社 の取引","knock knock AI","Enterprise","2"
"a08RB00001Z16QZYAZ","東急建設株式会社 の取引","Rendery","Pro","1"
"a08RB00001Z16QaYAJ","一条工務店 の取引","Rendery","Pro","2"
"a08RB00001Z16QbYAJ","株式会社コスモスイニシア の取引","knock knock AI","Basic","1"
