"Id","Name","ProductCategory__c","PlanCategory__c","AccountCount__c","CSV_DealId","CSV_Product","CSV_Quantity"
"a08RB00001Z16Q6YAJ","[サンプル] EmpowerMove",,,,"1","",""
"a08RB00001Z16Q7YAJ","Renderyエンプラ導入",,,,"8","Rendery Enterpriseプラン","5"
"a08RB00001Z16Q8YAJ","さくらホームグループ株式会社 の取引",,,,"9","Rendery Proプラン","3"
"a08RB00001Z16Q9YAJ","株式会社フジタ",,,,"10","Rendery Enterpriseプラン","5"
"a08RB00001Z16QAYAZ","ハウジング・ジャパン株式会社 の取引",,,,"11","Rendery Enterpriseプラン","5"
"a08RB00001Z16QBYAZ","株式会社リロケーション・ジャパン の取引",,,,"13","knock knock AI Basicプラン","3"
"a08RB00001Z16QCYAZ","チルホーム株式会社 の取引",,,,"15","Rendery Proプラン","1"
"a08RB00001Z16QDYAZ","髙松テクノサービス株式会社 の取引",,,,"16","Rendery Proプラン","2"
"a08RB00001Z16QEYAZ","有限会社汗青社 の取引",,,,"17","knock knock AI Basicプラン","1"
"a08RB00001Z16QGYAZ","サムティアセットマネジメント株式会社",,,,"20","knock knock AI Basicプラン","1"
"a08RB00001Z16QHYAZ","株式会社現代建築研究所 の取引",,,,"21","",""
"a08RB00001Z16QIYAZ","ユニオンテック株式会社 の取引",,,,"22","Rendery Proプラン","3"
"a08RB00001Z16QJYAZ","西日本旅客鉄道株式会社　金沢支社　金沢建築区 の取引",,,,"23","Rendery Basicプラン","1"
"a08RB00001Z16QKYAZ","三菱商事 の取引",,,,"24","",""
"a08RB00001Z16QLYAZ","株式会社三福管理センター の取引",,,,"25","knock knock AI Proプラン","1"
"a08RB00001Z16QMYAZ","株式会社ケイミックス の取引",,,,"26","Rendery Proプラン","1"
"a08RB00001Z16QNYAZ","株式会社オーナーズ・スタイル の取引",,,,"28","",""
"a08RB00001Z16QOYAZ","三井不動産レジデンシャルリース株式会社(ソリ推)の取引",,,,"29","Rendery Enterpriseプラン","10"
