"Reason","MatchCount","CSV_DealId","CSV_Title","CSV_Product","CSV_Quantity","CSV_Pipeline","CSV_Stage","CSV_Status","CSV_ACV","CSV_MRR","CSV_ARR","DerivedProductCategory","DerivedPlanCategory","DerivedAccountCount"
"Salesforceに複合キー一致なし","0","19","野村不動産 Rendery エンプラ導入の取引","Rendery Enterpriseプラン,Rendery セキュリティオプション(SSO)_初期費用,Rendery セキュリティオプション(SSO)_運用費用","12","Rendery 商談管理","決済手続/稟議中","成立","2260000","180000","2160000","Rendery","Enterprise","12"
"更新値を導出できない","1","45","株式会社ゼンリン東海 の取引","","","代理販売","アプローチ中","進行中","0","0","0","","",""
"更新値を導出できない","1","46","株式会社クラッチワークス の取引","","","代理販売","契約手続き中","進行中","0","0","0","","",""
"Salesforceに複合キー一致なし","0","135","乃村工藝社 の取引","Rendery Enterpriseプラン,Rendery セキュリティオプション+_初期費用,Rendery セキュリティオプション+_運用費用","7","Rendery 商談管理","トライアル中","進行中","2450000","175000","2100000","Rendery","Enterprise","7"
"更新値を導出できない","1","141","TOPPAN株式会社 の取引","","","代理販売","契約手続き中","進行中","0","0","0","","",""
"更新値を導出できない","1","183","日本社宅サービス株式会社","","","代理販売","初回お打ち合わせ完了","進行中","0","0","0","","",""
"Salesforce候補が複数あり一意に照合不可","2","193","東急建設株式会社","","","受託案件 商談管理","提案作成済み","進行中","0","0","0","受託開発","",""
"更新値を導出できない","1","194","福井コンピュータースマート株式会社","","","代理販売","契約開始","進行中","0","0","0","","",""
"更新値を導出できない","1","201","株式会社エムアールビジネス の取引","","","代理販売","内容の調整中","進行中","0","0","0","","",""
"更新値を導出できない","1","202","株式会社ホープハウスシステム","","","代理販売","契約手続き中","進行中","0","0","0","","",""
"Salesforceに複合キー一致なし","0","203","株式会社店研創意","Rendery Enterpriseプラン","5","Rendery アップセルPipe","意思決定構造の可視化","進行中","900000","75000","900000","Rendery","Enterprise","5"
"Salesforceに複合キー一致なし","0","248","大東建託株式会社 流通設計部","Rendery Enterpriseプラン","5","Rendery 商談管理","導入意向の確認中","進行中","900000","75000","900000","Rendery","Enterprise","5"
"Salesforceに複合キー一致なし","0","257","コンチネンタルホーム株式会社","Rendery Proプラン","3","Rendery 商談管理","決済手続/稟議中","成立","316800","26400","316800","Rendery","Pro","3"
"Salesforce候補が複数あり一意に照合不可","4","323","個人 の取引","Rendery Basicプラン","0","Rendery 商談管理","お問い合わせ受領","成立","0","0","0","Rendery","Basic","0"
"Salesforce候補が複数あり一意に照合不可","2","360","横松建設株式会社 等 の取引","Rendery Proプラン","1","Rendery 商談管理","お問い合わせ受領","成立","8800","0","0","Rendery","Pro","1"
"Salesforce候補が複数あり一意に照合不可","4","361","個人 の取引","","","Rendery 商談管理","お問い合わせ受領","成立","0","0","0","Rendery","",""
"Salesforce候補が複数あり一意に照合不可","2","362","IB設計 の取引","Rendery Proプラン","1","Rendery 商談管理","お問い合わせ受領","成立","8800","0","0","Rendery","Pro","1"
"Salesforce候補が複数あり一意に照合不可","7","364","個人 の取引","Rendery Proプラン","1","Rendery 商談管理","お問い合わせ受領","成立","8800","0","0","Rendery","Pro","1"
"Salesforce候補が複数あり一意に照合不可","7","365","個人 の取引","Rendery Proプラン","1","Rendery 商談管理","お問い合わせ受領","成立","8800","0","0","Rendery","Pro","1"
"Salesforce候補が複数あり一意に照合不可","2","367","IB設計 の取引","Rendery Proプラン","1","Rendery 商談管理","お問い合わせ受領","成立","8800","0","0","Rendery","Pro","1"
"Salesforce候補が複数あり一意に照合不可","4","368","個人 の取引","","","Rendery 商談管理","お問い合わせ受領","成立","0","0","0","Rendery","",""
"Salesforce候補が複数あり一意に照合不可","2","370","の取引","","","Rendery 商談管理","お問い合わせ受領","成立","0","0","0","Rendery","",""
"Salesforce候補が複数あり一意に照合不可","2","372","横松建設株式会社 等 の取引","Rendery Proプラン","1","Rendery 商談管理","お問い合わせ受領","成立","8800","0","0","Rendery","Pro","1"
"Salesforce候補が複数あり一意に照合不可","7","377","個人 の取引","Rendery Proプラン","1","Rendery 商談管理","お問い合わせ受領","成立","8800","0","0","Rendery","Pro","1"
"Salesforce候補が複数あり一意に照合不可","7","379","個人 の取引","Rendery Proプラン","1","Rendery 商談管理","お問い合わせ受領","成立","8800","0","0","Rendery","Pro","1"
"Salesforce候補が複数あり一意に照合不可","7","382","個人 の取引","Rendery Proプラン","1","Rendery 商談管理","お問い合わせ受領","成立","8800","0","0","Rendery","Pro","1"
"Salesforce候補が複数あり一意に照合不可","7","383","個人 の取引","Rendery Proプラン","1","Rendery 商談管理","お問い合わせ受領","成立","8800","0","0","Rendery","Pro","1"
"Salesforce候補が複数あり一意に照合不可","4","387","個人 の取引","Rendery Proプラン","0","Rendery 商談管理","お問い合わせ受領","成立","0","0","0","Rendery","Pro","0"
"Salesforce候補が複数あり一意に照合不可","7","390","個人 の取引","Rendery Proプラン","1","Rendery 商談管理","お問い合わせ受領","成立","8800","0","0","Rendery","Pro","1"
"Salesforce候補が複数あり一意に照合不可","2","393","の取引","","","Rendery 商談管理","お問い合わせ受領","成立","0","0","0","Rendery","",""
"Salesforce候補が複数あり一意に照合不可","2","425","錢高組","Rendery Proプラン","3","Rendery 商談管理","決済手続/稟議中","成立","316800","26400","316800","Rendery","Pro","3"
"Salesforce候補が複数あり一意に照合不可","2","437","錢高組","Rendery Proプラン","3","Rendery アップセルPipe","課題の組織化（個人→組織）","進行中","316800","26400","316800","Rendery","Pro","3"
"Salesforce候補が複数あり一意に照合不可","2","460","株式会社スタイルテック総合計画","Rendery Enterpriseプラン","5","Rendery 商談管理","決済手続/稟議中","成立","900000","75000","900000","Rendery","Enterprise","5"
"Salesforceに複合キー一致なし","0","506","近鉄不動産株式会社","Rendery Enterpriseプラン,Rendery セキュリティオプション+_初期費用,Rendery セキュリティオプション+_運用費用","13","Rendery 商談管理","決済手続/稟議中","成立","3530000","265000","3180000","Rendery","Enterprise","13"
"Salesforce候補が複数あり一意に照合不可","2","533","東急建設株式会社","","","Renderyリード管理","未接触（追客）","進行中","0","0","0","Rendery","",""
"Salesforce候補が複数あり一意に照合不可","2","566","株式会社ABC店舗","","","Renderyリード管理","接触成功","進行中","0","0","0","Rendery","",""
