"sf__Id","sf__Error",Name,ACV__c,ContractUpdate__c,Account__c,Contact__c,Description__c,ExpectedCloseDate__c,LostDate__c,LostReason__c,MRR__c,NextActivityDate__c,NextStep__c,StageName__c,StandardCloseDate__c,StandardProbability__c,StartDate__c,StandardStartDate__c,ExpectedDuration__c
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: わからん:LostReason__c --","[サンプル] EmpowerMove","0.0","","","","","2025-02-26","2025-02-26","わからん","0.0","","","お問い合わせ受領","2025-02-26","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: 予算不足（ランニング）:LostReason__c --","Renderyエンプラ導入","660000.0","","001RB00001VTqkLYAT","","","","2025-06-25","予算不足（ランニング）","55000.0","","","決済手続/稟議中","2025-06-25","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","さくらホームグループ株式会社 の取引","288000.0","","001RB00001VTCY7YAP","","","","","","24000.0","2025-09-05","","お問い合わせ受領","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","株式会社フジタ","900000.0","","001RB00001VTrwFYAT","","","","","","75000.0","","","決済手続/稟議中","2026-01-29","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: ニーズとのミスマッチ:LostReason__c --","ハウジング・ジャパン株式会社 の取引","660000.0","","001RB00001VTCY8YAP","","","","2025-06-02","ニーズとのミスマッチ","55000.0","","","決済手続/稟議中","2025-06-02","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続き中/稟議中:StageName__c --","株式会社リロケーション・ジャパン の取引","435600.0","","001RB00001VTCYAYA5","003RB00001NpNcsYAF","","","","","36300.0","","","決済手続き中/稟議中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: キーパーソンにアプローチできていない:LostReason__c --","チルホーム株式会社 の取引","105600.0","","001RB00001VTCYBYA5","003RB00001NpNcuYAF","","","2025-09-04","キーパーソンにアプローチできていない","8800.0","","","社内検討中","2025-09-04","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","髙松テクノサービス株式会社 の取引","192000.0","","001RB00001VTCYCYA5","003RB00001NpNcvYAF","","","","","16000.0","","","決済手続/稟議中","2025-05-06","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","有限会社汗青社 の取引","132000.0","","001RB00001VTCYDYA5","003RB00001NpNcwYAF","","","","","11000.0","2025-11-21","","社内検討中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","野村不動産 Rendery エンプラ導入の取引","2260000.0","","001RB00001VTCYEYA5","003RB00001NsWvhYAF","","2026-03-12","","","180000.0","2026-03-11","","決済手続/稟議中","2026-03-11","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: トライアル中:StageName__c --","サムティアセットマネジメント株式会社","145200.0","","001RB00001VTqarYAD","","","","","","12100.0","","","トライアル中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: 課題の設定・合意形成ができていない:LostReason__c --","株式会社現代建築研究所 の取引","0.0","","001RB00001VTqasYAD","003RB00001NsMQcYAN","","","2025-10-15","課題の設定・合意形成ができていない","0.0","","","休眠","2025-10-15","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","ユニオンテック株式会社 の取引","316800.0","","001RB00001VTCZSYA5","","","","","","26400.0","2025-12-17","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","西日本旅客鉄道株式会社　金沢支社　金沢建築区 の取引","66000.0","","001RB00001VTqaZYAT","","","","","","5500.0","","","決済手続/稟議中","2025-11-26","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 契約意向表明:StageName__c --","三菱商事 の取引","0.0","","001RB00001VTqkoYAD","003RB00001NsMQdYAN","","","","","0.0","","","契約意向表明","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 導入意向表明:StageName__c --","株式会社三福管理センター の取引","726000.0","","001RB00001VTqatYAD","003RB00001NsMQeYAN","","","","","60500.0","","","導入意向表明","2025-10-20","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: キーパーソンにアプローチできていない:LostReason__c --","株式会社ケイミックス の取引","105600.0","","001RB00001VTqauYAD","","","","2025-08-28","キーパーソンにアプローチできていない","8800.0","","","社内検討中","2025-08-28","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: 対象外(競合や営業など):LostReason__c --","株式会社オーナーズ・スタイル の取引","0.0","","001RB00001VTqj2YAD","003RB00001NsNIIYA3","","","2025-06-16","対象外(競合や営業など)","0.0","","","打ち合わせセッティング完了","2025-06-16","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","三井不動産レジデンシャルリース株式会社(ソリ推)の取引","1320000.0","","001RB00001VTqbXYAT","003RB00001NsMpCYAV","","","","","110000.0","","","決済手続/稟議中","2025-09-18","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続き中/稟議中:StageName__c --","TC神鋼不動産株式会社 の取引","145200.0","","001RB00001VTqfsYAD","003RB00001NsMpuYAF","","","","","12100.0","","","決済手続き中/稟議中","2025-06-26","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: ニーズとのミスマッチ:LostReason__c --","不動産業 の取引","0.0","","001RB00001VTqkGYAT","003RB00001NsMpRYAV","","","2025-06-15","ニーズとのミスマッチ","0.0","","","社内検討中","2025-06-15","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","Nowhere Group株式会社 の取引","316800.0","","001RB00001VTqlRYAT","","","","","","26400.0","","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","株式会社リペア の取引","0.0","","001RB00001VTqklYAD","003RB00001NsNJKYA3","","","","","0.0","","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","株式会社ひかり工務店 の取引","105600.0","","001RB00001VTqkmYAD","003RB00001NsWvpYAF","","","","","8800.0","","","お問い合わせ受領","2025-07-04","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: ニーズとのミスマッチ:LostReason__c --","株式会社オークハウス（本社） の取引","0.0","","001RB00001VTqkkYAD","","","","2025-10-09","ニーズとのミスマッチ","0.0","","","社内検討中","2025-10-09","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: サポート体制・実績不足:LostReason__c --","中央日本土地建物株式会社 の取引","660000.0","","001RB00001VTqkJYAT","003RB00001NsWwfYAF","","","2026-01-05","サポート体制・実績不足","55000.0","","","休眠","2026-01-05","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続き中/稟議中:StageName__c --","株式会社レーベントラスト の取引","726000.0","","001RB00001VTqbqYAD","","","","","","60500.0","2025-12-15","","決済手続き中/稟議中","2025-08-28","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","矢作建設工業株式会社 の取引","660000.0","","001RB00001VTqlfYAD","","","","","","55000.0","","","決済手続/稟議中","2025-06-12","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: 他社比較:LostReason__c --","三井不動産レジデンシャルリース株式会社 の取引","2244000.0","","001RB00001VTqbXYAT","003RB00001NsN9uYAF","","","2025-10-15","他社比較","187000.0","","","提案作成済み","2025-10-15","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 課題の組織化（個人→組織）:StageName__c --","東急建設株式会社 の取引","105600.0","","001RB00001VTrseYAD","003RB00001NsWvBYAV","","","","","8800.0","2025-08-04","","課題の組織化（個人→組織）","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","一条工務店 の取引","211200.0","","001RB00001VTqbnYAD","003RB00001NsMbLYAV","","","","","17600.0","","","決済手続/稟議中","2025-08-05","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: ニーズとのミスマッチ:LostReason__c --","株式会社コスモスイニシア の取引","145200.0","","001RB00001VTqgBYAT","003RB00001NsMqHYAV","","","2025-10-15","ニーズとのミスマッチ","12100.0","","","社内検討中","2025-10-15","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: 他社比較:LostReason__c --","株式会社賃貸メイト の取引","2244000.0","","001RB00001VTqlmYAD","003RB00001NsNcjYAF","","","2025-08-29","他社比較","187000.0","","","社内検討中","2025-08-29","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: アプローチ中:StageName__c --","株式会社ゼンリン東海 の取引","0.0","","001RB00001VTqdzYAD","003RB00001NsMc9YAF","","","","","0.0","","","アプローチ中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 契約手続き中:StageName__c --","株式会社クラッチワークス の取引","0.0","","001RB00001VTqb9YAD","","","","","","0.0","2025-10-20","","契約手続き中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: 時期ずれ:LostReason__c --","株式会社オープンハウス・ディベロップメント の取引","0.0","","001RB00001VTqV6YAL","003RB00001NsNctYAF","","","2025-08-28","時期ずれ","0.0","","","社内検討中","2025-08-28","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 課題の組織化（個人→組織）:StageName__c --","株式会社ゴールドクレスト の取引","660000.0","","001RB00001VTrOfYAL","","","","","","55000.0","","","課題の組織化（個人→組織）","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: 対象外(競合や営業など):LostReason__c --","東建コーポレーション株式会社 の取引","726000.0","","001RB00001VTrxGYAT","003RB00001NsMbAYAV","","","2025-09-03","対象外(競合や営業など)","60500.0","","","トライアル中","2025-09-03","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","株式会社クラス の取引","105600.0","","001RB00001VTqkSYAT","","","","","","8800.0","","","決済手続/稟議中","2025-09-08","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 導入意向の確認中:StageName__c --","生和コーポレーション株式会社 の取引","105600.0","","001RB00001VTqmcYAD","","","","","","8800.0","2026-03-01","","導入意向の確認中","2025-11-10","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","株式会社アル.パートナーズ建築設計 の取引","316800.0","","001RB00001VTqlvYAD","003RB00001NsWvtYAF","","","","","26400.0","2026-02-25","","社内検討中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続き中/稟議中:StageName__c --","株式会社グローバルセンター の取引","145200.0","","001RB00001VTqm2YAD","","","","","","12100.0","","","決済手続き中/稟議中","2025-07-16","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","株式会社B-PROJECT の取引","792000.0","","001RB00001VTqm7YAD","003RB00001NsV8TYAV","","","","","66000.0","","","決済手続/稟議中","2025-09-01","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: キーパーソンにアプローチできていない:LostReason__c --","アイリスチトセ株式会社 の取引","600000.0","","001RB00001VTqlZYAT","","","2026-03-01","2026-04-22","キーパーソンにアプローチできていない","50000.0","","","導入条件の合意（価格・契約・運用）","2026-04-22","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 導入意向の確認中:StageName__c --","株式会社白水社 の取引","2440000.0","","001RB00001VTqm4YAD","","","2026-07-01","","","195000.0","2026-04-01","","導入意向の確認中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","プラナス株式会社一級建築士事務所 の取引","66000.0","","001RB00001VTqmCYAT","","","","","","5500.0","2025-07-28","","社内検討中","2025-08-28","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","大東建託株式会社 の取引","1584000.0","","001RB00001VTruMYAT","","","","","","132000.0","","","決済手続/稟議中","2025-07-24","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","株式会社アルファ建築設計事務所 の取引","105600.0","","001RB00001VTqnBYAT","","","","","","8800.0","","","決済手続/稟議中","2025-07-15","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","株式会社JR東日本建築設計 の取引","105600.0","","001RB00001VTrHVYA1","","","","","","8800.0","","","決済手続/稟議中","2025-07-15","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","株式会社石勝エクステリア の取引","1780000.0","","001RB00001VTqnMYAT","","","","","","140000.0","","","決済手続/稟議中","2025-10-02","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","株式会社アットオフィス の取引","660000.0","","001RB00001VTqlgYAD","","","","","","55000.0","","","決済手続/稟議中","2025-10-17","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続き中/稟議中:StageName__c --","株式会社マルク の取引","726000.0","","001RB00001VTqlrYAD","","","","","","60500.0","","","決済手続き中/稟議中","2025-07-18","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","Atelier Ohtaki architecture の取引","66000.0","","001RB00001VTqmGYAT","","","","","","5500.0","","","決済手続/稟議中","2025-07-18","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","JOA株式会社 の取引","660000.0","","001RB00001VTqmBYAT","003RB00001NsWwPYAV","","","","","55000.0","","","決済手続/稟議中","2025-08-22","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続き中/稟議中:StageName__c --","ホームトレードセンター株式会社 の取引","145200.0","","001RB00001VTqnbYAD","","","","","","12100.0","","","決済手続き中/稟議中","2025-07-25","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: ニーズとのミスマッチ:LostReason__c --","株式会社日立プラントサービス の取引","1320000.0","","001RB00001VTqnJYAT","","","2026-06-01","2026-05-22","ニーズとのミスマッチ","110000.0","2026-02-16","","導入意向の確認中","2026-05-22","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","エコワークス の取引","145200.0","","001RB00001VTqjqYAD","003RB00001NsShHYAV","","","","","12100.0","","","社内検討中","","","","",""
