"sf__Id","sf__Created",Name,ACV__c,ContractUpdate__c,Account__c,Contact__c,Description__c,ExpectedCloseDate__c,LostDate__c,LostReason__c,MRR__c,NextActivityDate__c,NextStep__c,StageName__c,StandardCloseDate__c,StandardProbability__c,StartDate__c,StandardStartDate__c,ExpectedDuration__c
"a08RB00001Z16Q6YAJ","true","[サンプル] EmpowerMove","0.0","月","","","","2025-02-26","2025-02-26","","0.0","","","Closed Lost","2025-02-26","","","",""
"a08RB00001Z16Q7YAJ","true","Renderyエンプラ導入","660000.0","月","001RB00001VTqkLYAT","","","","2025-06-25","Budget shortage - running cost","55000.0","","","Closed Lost","2025-06-25","","","",""
"a08RB00001Z16Q8YAJ","true","さくらホームグループ株式会社 の取引","288000.0","月","001RB00001VTCY7YAP","","","","","","24000.0","2025-09-05","","Prospecting","","","","",""
"a08RB00001Z16Q9YAJ","true","株式会社フジタ","900000.0","月","001RB00001VTrwFYAT","","","","","","75000.0","","","Closed Won","2026-01-29","","","",""
"a08RB00001Z16QAYAZ","true","ハウジング・ジャパン株式会社 の取引","660000.0","月","001RB00001VTCY8YAP","","","","2025-06-02","Needs mismatch","55000.0","","","Closed Lost","2025-06-02","","","",""
"a08RB00001Z16QBYAZ","true","株式会社リロケーション・ジャパン の取引","435600.0","月","001RB00001VTCYAYA5","003RB00001NpNcsYAF","","","","","36300.0","","","Negotiation","","","","",""
"a08RB00001Z16QCYAZ","true","チルホーム株式会社 の取引","105600.0","月","001RB00001VTCYBYA5","003RB00001NpNcuYAF","","","2025-09-04","Key person unreachable","8800.0","","","Closed Lost","2025-09-04","","","",""
"a08RB00001Z16QDYAZ","true","髙松テクノサービス株式会社 の取引","192000.0","月","001RB00001VTCYCYA5","003RB00001NpNcvYAF","","","","","16000.0","","","Closed Won","2025-05-06","","","",""
"a08RB00001Z16QEYAZ","true","有限会社汗青社 の取引","132000.0","月","001RB00001VTCYDYA5","003RB00001NpNcwYAF","","","","","11000.0","2025-11-21","","Prospecting","","","","",""
"a08RB00001Z16QFYAZ","true","野村不動産 Rendery エンプラ導入の取引","2260000.0","月","001RB00001VTCYEYA5","003RB00001NsWvhYAF","","2026-03-12","","","180000.0","2026-03-11","","Closed Won","2026-03-11","","","",""
"a08RB00001Z16QGYAZ","true","サムティアセットマネジメント株式会社","145200.0","月","001RB00001VTqarYAD","","","","","","12100.0","","","ValueProposition","","","","",""
"a08RB00001Z16QHYAZ","true","株式会社現代建築研究所 の取引","0.0","月","001RB00001VTqasYAD","003RB00001NsMQcYAN","","","2025-10-15","No agreement on issue or setup","0.0","","","Closed Lost","2025-10-15","","","",""
"a08RB00001Z16QIYAZ","true","ユニオンテック株式会社 の取引","316800.0","月","001RB00001VTCZSYA5","","","","","","26400.0","2025-12-17","","Closed Lost","","","","",""
"a08RB00001Z16QJYAZ","true","西日本旅客鉄道株式会社　金沢支社　金沢建築区 の取引","66000.0","月","001RB00001VTqaZYAT","","","","","","5500.0","","","Closed Won","2025-11-26","","","",""
