"sf__Id","sf__Created",Name,MasterContract__c,Month__c,PeopleNumber__c,CheckStatus__c,Total__c,Account__c,Payment__c,Plan__c,ContractYearMonth__c,ARR_Target__c,ContractPeriod__c,InitialFee__c,InvoiceStatus__c,MRR_Target__c,PeriodEndDate__c,PeriodStartDate__c,RevenueAmount__c,ProductMaster__c
"a03RB00001NswUHYAZ","true","サンフロンティア不動産株式会社_2024/06","a04RB00000kUANdYAO","2024/06","8.0","入金","64000.0","001RB00001VTqlYYAT","請求書","Pro","2024/06","","a0BRB00000ynb5Y2AQ","","","","","2024-06-01","",""
"a03RB00001NswUIYAZ","true","サンフロンティア不動産株式会社_2024/07","a04RB00000kUANdYAO","2024/07","8.0","入金","64000.0","001RB00001VTqlYYAT","請求書","Pro","2024/07","","a0BRB00000ynb5Y2AQ","","","","","2024-07-01","",""
"a03RB00001NswUJYAZ","true","サンフロンティア不動産株式会社_2024/08","a04RB00000kUANdYAO","2024/08","8.0","入金","64000.0","001RB00001VTqlYYAT","請求書","Pro","2024/08","","a0BRB00000ynb5Y2AQ","","","","","2024-08-01","",""
"a03RB00001NswUKYAZ","true","サンフロンティア不動産株式会社_2024/09","a04RB00000kUANdYAO","2024/09","8.0","入金","64000.0","001RB00001VTqlYYAT","請求書","Pro","2024/09","","a0BRB00000ynb5Y2AQ","","","","","2024-09-01","",""
"a03RB00001NswULYAZ","true","サンフロンティア不動産株式会社_2024/10","a04RB00000kUANdYAO","2024/10","8.0","入金","64000.0","001RB00001VTqlYYAT","請求書","Pro","2024/10","","a0BRB00000ynb5Y2AQ","","","","","2024-10-01","",""
"a03RB00001NswUMYAZ","true","サンフロンティア不動産株式会社_2024/11","a04RB00000kUANdYAO","2024/11","8.0","入金","64000.0","001RB00001VTqlYYAT","請求書","Pro","2024/11","","a0BRB00000ynb5Y2AQ","","","","","2024-11-01","",""
"a03RB00001NswUNYAZ","true","サンフロンティア不動産株式会社_2024/12","a04RB00000kUANdYAO","2024/12","8.0","入金","64000.0","001RB00001VTqlYYAT","請求書","Pro","2024/12","","a0BRB00000ynb5Y2AQ","","","","","2024-12-01","",""
"a03RB00001NswUOYAZ","true","サンフロンティア不動産株式会社_2025/01","a04RB00000kUANdYAO","2025/01","8.0","入金","64000.0","001RB00001VTqlYYAT","請求書","Pro","2025/01","","a0BRB00000ynb5Y2AQ","","","","","2025-01-01","",""
"a03RB00001NswUPYAZ","true","サンフロンティア不動産株式会社_2025/02","a04RB00000kUANdYAO","2025/02","8.0","入金","64000.0","001RB00001VTqlYYAT","請求書","Pro","2025/02","","a0BRB00000ynb5Y2AQ","","","","","2025-02-01","",""
"a03RB00001NswUQYAZ","true","サンフロンティア不動産株式会社_2025/03","a04RB00000kUANdYAO","2025/03","8.0","入金","64000.0","001RB00001VTqlYYAT","請求書","Pro","2025/03","","a0BRB00000ynb5Y2AQ","","","","","2025-03-01","",""
