"Id","Name","MasterContract__c","MasterContract__r.Name","PeriodStartDate__c","Total__c","RelatedInvoice__c","RelatedInvoice__r.Name","RelatedInvoice__r.ParentContract__c"
"a03RB00001NswhHYAR","株式会社石勝エクステリア_2026/03","a04RB00000kUAOkYAO","CN-00000072","2026-03-01","110000","a00RB000024Ux4UYAS","INV-0000000023","a04RB00000kVL7aYAG"
"a03RB00001NswhzYAB","株式会社アールシーコア_2026/04","a04RB00000kUAOoYAO","CN-00000076","2026-04-01","150000","a00RB000024Ux4xYAC","INV-0000000052","a04RB00000kVL7SYAW"
"a03RB00001Nswi0YAB","株式会社アールシーコア_2026/05","a04RB00000kUAOoYAO","CN-00000076","2026-05-01","150000","a00RB000024Ux5SYAS","INV-0000000083","a04RB00000kVL7SYAW"
"a03RB00001NswiOYAR","株式会社石勝エクステリア(シングルサインオン分）_2026/03","a04RB00000kUAOrYAO","CN-00000079","2026-03-01","30000","a00RB000024Ux4UYAS","INV-0000000023","a04RB00000kVL7aYAG"
"a03RB00001NswieYAB","株式会社アールシーコア(セキュリティオプション月額）_2026/04","a04RB00000kUAOsYAO","CN-00000080","2026-04-01","100000","a00RB000024Ux4xYAC","INV-0000000052","a04RB00000kVL7SYAW"
"a03RB00001NswifYAB","株式会社アールシーコア(セキュリティオプション月額）_2026/05","a04RB00000kUAOsYAO","CN-00000080","2026-05-01","100000","a00RB000024Ux5SYAS","INV-0000000083","a04RB00000kVL7SYAW"
"a03RB00001NswjCYAR","株式会社サンケイビル_2026/04","a04RB00000kUAP2YAO","CN-00000090","2026-04-01","70000","a00RB000024Ux4BYAS","INV-0000000004","a04RB00000kVL7WYAW"
"a03RB00001NswjDYAR","株式会社サンケイビル_2026/05","a04RB00000kUAP2YAO","CN-00000090","2026-05-01","70000","a00RB000024Ux4BYAS","INV-0000000004","a04RB00000kVL7WYAW"
"a03RB00001NswjEYAR","株式会社サンケイビル_2026/06","a04RB00000kUAP2YAO","CN-00000090","2026-06-01","70000","a00RB000024Ux4BYAS","INV-0000000004","a04RB00000kVL7WYAW"
"a03RB00001NswjFYAR","株式会社サンケイビル_2026/07","a04RB00000kUAP2YAO","CN-00000090","2026-07-01","70000","a00RB000024Ux4BYAS","INV-0000000004","a04RB00000kVL7WYAW"
"a03RB00001NswjGYAR","株式会社サンケイビル_2026/08","a04RB00000kUAP2YAO","CN-00000090","2026-08-01","70000","a00RB000024Ux4BYAS","INV-0000000004","a04RB00000kVL7WYAW"
"a03RB00001NswjHYAR","株式会社サンケイビル_2026/09","a04RB00000kUAP2YAO","CN-00000090","2026-09-01","70000","a00RB000024Ux4BYAS","INV-0000000004","a04RB00000kVL7WYAW"
"a03RB00001NswjIYAR","株式会社サンケイビル_2026/10","a04RB00000kUAP2YAO","CN-00000090","2026-10-01","70000","a00RB000024Ux4BYAS","INV-0000000004","a04RB00000kVL7WYAW"
"a03RB00001NswjJYAR","株式会社サンケイビル_2026/11","a04RB00000kUAP2YAO","CN-00000090","2026-11-01","70000","a00RB000024Ux4BYAS","INV-0000000004","a04RB00000kVL7WYAW"
"a03RB00001NswjKYAR","株式会社サンケイビル_2026/12","a04RB00000kUAP2YAO","CN-00000090","2026-12-01","70000","a00RB000024Ux4BYAS","INV-0000000004","a04RB00000kVL7WYAW"
"a03RB00001NswjLYAR","株式会社サンケイビル_2027/01","a04RB00000kUAP2YAO","CN-00000090","2027-01-01","70000","a00RB000024Ux4BYAS","INV-0000000004","a04RB00000kVL7WYAW"
"a03RB00001NswjMYAR","株式会社サンケイビル_2027/02","a04RB00000kUAP2YAO","CN-00000090","2027-02-01","70000","a00RB000024Ux4BYAS","INV-0000000004","a04RB00000kVL7WYAW"
"a03RB00001NswjNYAR","株式会社サンケイビル_2027/03","a04RB00000kUAP2YAO","CN-00000090","2027-03-01","70000","a00RB000024Ux4BYAS","INV-0000000004","a04RB00000kVL7WYAW"
"a03RB00001NswkdYAB","株式会社エリオクリエイト_2026/06","a04RB00000kUAPNYA4","CN-00000111","2026-06-01","96000","a00RB000024Vf1zYAC","INV-0000000104","a04RB00000kVL7UYAW"
