"Id","Name","MasterContract__c","MasterContract__r.Name","PeriodStartDate__c","Month__c","Total__c","RevenueAmount__c","RelatedInvoice__c","RelatedInvoice__r.Name","RelatedInvoice__r.TotalAmount__c","RelatedInvoice__r.ParentContract__c"
"a03RB00001NswerYAB","株式会社LIXIL住宅研究所 リノベーション推進室_2025/09","a04RB00000kUAOUYA4","CN-00000056","2025-09-01","2025/09","16000","","a00RB000024Vf1xYAC","INV-0000000102","140000","a04RB00000kUAOUYA4"
"a03RB00001NswesYAB","株式会社LIXIL住宅研究所 リノベーション推進室_2025/10","a04RB00000kUAOUYA4","CN-00000056","2025-10-01","2025/10","16000","","a00RB000024Vf1xYAC","INV-0000000102","140000","a04RB00000kUAOUYA4"
"a03RB00001NswetYAB","株式会社LIXIL住宅研究所 リノベーション推進室_2025/11","a04RB00000kUAOUYA4","CN-00000056","2025-11-01","2025/11","16000","","a00RB000024Vf1xYAC","INV-0000000102","140000","a04RB00000kUAOUYA4"
"a03RB00001NsweuYAB","株式会社LIXIL住宅研究所 リノベーション推進室_2025/12","a04RB00000kUAOUYA4","CN-00000056","2025-12-01","2025/12","16000","","a00RB000024Vf1xYAC","INV-0000000102","140000","a04RB00000kUAOUYA4"
"a03RB00001NswevYAB","株式会社LIXIL住宅研究所 リノベーション推進室_2026/01","a04RB00000kUAOUYA4","CN-00000056","2026-01-01","2026/01","16000","","a00RB000024Vf1xYAC","INV-0000000102","140000","a04RB00000kUAOUYA4"
"a03RB00001NswewYAB","株式会社LIXIL住宅研究所 リノベーション推進室_2026/02","a04RB00000kUAOUYA4","CN-00000056","2026-02-01","2026/02","16000","","a00RB000024Vf1xYAC","INV-0000000102","140000","a04RB00000kUAOUYA4"
"a03RB00001NswexYAB","株式会社LIXIL住宅研究所 リノベーション推進室_2026/03","a04RB00000kUAOUYA4","CN-00000056","2026-03-01","2026/03","8000","","a00RB000024Vf1xYAC","INV-0000000102","140000","a04RB00000kUAOUYA4"
"a03RB00001NsweyYAB","株式会社LIXIL住宅研究所 リノベーション推進室_2026/04","a04RB00000kUAOUYA4","CN-00000056","2026-04-01","2026/04","8000","","a00RB000024Vf1xYAC","INV-0000000102","140000","a04RB00000kUAOUYA4"
"a03RB00001NswezYAB","株式会社LIXIL住宅研究所 リノベーション推進室_2026/05","a04RB00000kUAOUYA4","CN-00000056","2026-05-01","2026/05","8000","","a00RB000024Vf1xYAC","INV-0000000102","140000","a04RB00000kUAOUYA4"
"a03RB00001NswhHYAR","株式会社石勝エクステリア_2026/03","a04RB00000kUAOkYAO","CN-00000072","2026-03-01","2026/03","110000","","a00RB000024Ux4UYAS","INV-0000000023","140000","a04RB00000kVL7aYAG"
