Id,Name,FreeeInvoiceId__c,BillingDate__c,InvoiceAmount__c,ImportStatus__c,ValidationMessage__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c
a0FRB00000Wi4gf2AB,MFIW-000152,61633945,2026-06-29,3861000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。",001RB00001br9KhYAI,,,
a0FRB00000Wic2L2AR,MFIW-000154,62334543,2026-07-03,72630,要確認,請求金額と明細合計が一致していません。請求金額=72630、明細合計=79893,001RB00001VTrkSYAT,a04RB00000kUAPJYA4,a0BRB00000ynn5A2AQ,
a0FRB00000WieAb2AJ,MFIW-000156,61438597,2026-06-25,544500,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",001RB00001br9KXYAY,,,
a0FRB00000Wi6a42AB,MFIW-000157,61466312,2026-06-26,440000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",001RB00001VTqgBYAT,,,
a0FRB00000WhTPP2A3,MFIW-000183,60861173,2026-06-20,181500,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。",001RB00001VTruAYAT,,,
a0FRB00000WihDQ2AZ,MFIW-000206,60906771,2026-06-20,924000,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。,001RB00001VTrkSYAT,a04RB00000kUAPJYA4,a0BRB00000ynn5A2AQ,a00RB00002B5oL3YAJ
a0FRB00000WihDS2AZ,MFIW-000208,60907570,2026-06-20,1650000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",001RB00001br9KJYAY,,,
a0FRB00000WihDV2AZ,MFIW-000211,60952602,2026-06-20,1108800,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。,001RB00001VTrm3YAD,a04RB00000kUAPOYA4,a0BRB00000ynn5F2AQ,a00RB00002B5oL4YAJ
a0FRB00000WjSKT2A3,MFIW-000229,58573614,2026-05-20,12100,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。,001RB00001br9KKYAY,a04RB00000n5JdsYAE,a0BRB000012EChM2AW,
a0FRB00000WjTBg2AN,MFIW-000248,58573648,2026-05-20,108900,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",001RB00001br9KMYAY,,,
a0FRB00000WjTml2AF,MFIW-000267,58711460,2026-05-20,291500,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",001RB00001VTrvcYAD,,,
a0FRB00000Wjfvr2AB,MFIW-000295,56527531,2026-04-20,12100,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。,001RB00001br9KKYAY,a04RB00000n5JdsYAE,a0BRB000012EChM2AW,
a0FRB00000Wj5UB2AZ,MFIW-000314,56527556,2026-04-20,108900,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",001RB00001br9KMYAY,,,
a0FRB00000Wj5UM2AZ,MFIW-000325,56647918,2026-04-20,5181000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",001RB00001br9KZYAY,,,
a0FRB00000WjFOi2AN,MFIW-000334,56681536,2026-04-20,1716000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",001RB00001VTqnMYAT,,,
a0FRB00000WjFOq2AN,MFIW-000342,56685582,2026-04-20,676500,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",001RB00001VTrvcYAD,,,
a0FRB00000WjFOu2AN,MFIW-000346,56693657,2026-04-20,924000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",001RB00001VTrwFYAT,,,
a0FRB00000WjFOx2AN,MFIW-000349,56697026,2026-04-20,1293600,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",001RB00001VTrwFYAT,,,
a0FRB00000WjFOy2AN,MFIW-000350,56698344,2026-04-20,554400,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",001RB00001VTrwFYAT,,,
a0FRB00000WjhrF2AR,MFIW-000357,54153861,2026-03-20,108900,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",001RB00001br9KMYAY,,,
a0FRB00000WjhzK2AR,MFIW-000368,54153879,2026-03-20,123200,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",001RB00001VTtIhYAL,,,
