Id,Name,FreeeInvoiceId__c,BillingDate__c,InvoiceAmount__c,ImportStatus__c,ValidationMessage__c,CreatedInvoice__c,CreatedInvoice__r.Name,CreatedInvoice__r.Freee_Invoice_Id__c
a0FRB00000Wi4gf2AB,MFIW-000152,61633945,2026-06-29,3861000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。",,,
a0FRB00000Wic2L2AR,MFIW-000154,62334543,2026-07-03,72630,要確認,請求金額と明細合計が一致していません。請求金額=72630、明細合計=79893,,,
a0FRB00000WieAb2AJ,MFIW-000156,61438597,2026-06-25,544500,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。",,,
a0FRB00000Wi6a42AB,MFIW-000157,61466312,2026-06-26,440000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
a0FRB00000WhTPP2A3,MFIW-000183,60861173,2026-06-20,181500,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。",,,
a0FRB00000WihDQ2AZ,MFIW-000206,60906771,2026-06-20,924000,反映済み,既存Salesforce請求はfreeeの年払い本体・割引行を1明細へ集約済みです。請求総額・税額・数量・商品を照合し、既存請求明細へ紐づけました。,a00RB00002B5oL3YAJ,INV-0000000381,60906771
a0FRB00000WihDS2AZ,MFIW-000208,60907570,2026-06-20,1650000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
a0FRB00000WihDV2AZ,MFIW-000211,60952602,2026-06-20,1108800,反映済み,既存Salesforce請求はfreeeの年払い本体・割引行を1明細へ集約済みです。請求総額・税額・数量・商品を照合し、既存請求明細へ紐づけました。,a00RB00002B5oL4YAJ,INV-0000000382,60952602
a0FRB00000WjSKT2A3,MFIW-000229,58573614,2026-05-20,12100,反映済み,,a00RB00002BZaqsYAD,INV-0000000405,58573614
a0FRB00000WjTBg2AN,MFIW-000248,58573648,2026-05-20,108900,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
a0FRB00000WjTml2AF,MFIW-000267,58711460,2026-05-20,291500,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
a0FRB00000Wjfvr2AB,MFIW-000295,56527531,2026-04-20,12100,反映済み,,a00RB00002BZaqtYAD,INV-0000000406,56527531
a0FRB00000Wj5UB2AZ,MFIW-000314,56527556,2026-04-20,108900,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
a0FRB00000Wj5UM2AZ,MFIW-000325,56647918,2026-04-20,5181000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
a0FRB00000WjFOi2AN,MFIW-000334,56681536,2026-04-20,1716000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
a0FRB00000WjFOq2AN,MFIW-000342,56685582,2026-04-20,676500,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
a0FRB00000WjFOu2AN,MFIW-000346,56693657,2026-04-20,924000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。",,,
a0FRB00000WjFOx2AN,MFIW-000349,56697026,2026-04-20,1293600,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。",,,
a0FRB00000WjFOy2AN,MFIW-000350,56698344,2026-04-20,554400,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。",,,
a0FRB00000WjhrF2AR,MFIW-000357,54153861,2026-03-20,108900,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
a0FRB00000WjhzK2AR,MFIW-000368,54153879,2026-03-20,123200,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
a0FRB00000XX8tV2AT,MFIW-000373,62557474,2026-07-07,127800,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
請求金額と明細合計が一致していません。請求金額=127800、明細合計=140580",,,
a0FRB00000YomM12AJ,MFIW-000374,62989809,2026-07-14,495000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
a0FRB00000Ypg4u2AB,MFIW-000377,63077927,2026-07-20,52800,要確認,請求金額と明細合計が一致していません。請求金額=52800、明細合計=105600,a00RB00002B4i4CYAR,INV-0000000362,63077927
a0FRB00000Ypg4v2AB,MFIW-000378,63077930,2026-07-20,275000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
a0FRB00000Yq7Em2AJ,MFIW-000398,63077980,2026-07-20,357500,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。
請求金額と明細合計が一致していません。請求金額=357500、明細合計=665500",,,
a0FRB00000YqK3t2AF,MFIW-000405,63110944,2026-07-20,1584000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。",,,
a0FRB00000YqK3u2AF,MFIW-000406,63110969,2026-07-20,35200,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
a0FRB00000YqK3v2AF,MFIW-000407,63120578,2026-07-20,8800,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
a0FRB00000YqK412AF,MFIW-000413,63126510,2026-07-20,2244000,要確認,商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。,,,
a0FRB00000YqSO82AN,MFIW-000421,63150544,2026-07-20,12100,反映済み,,a00RB00002BZaquYAD,INV-0000000407,63150544
a0FRB00000YqLuW2AV,MFIW-000431,63150560,2026-07-20,181500,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。",,,
a0FRB00000YswQ42AJ,MFIW-000447,63150583,2026-07-31,6600000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。",,,
a0FRB00000Znh2r2AB,MFIW-000448,58810995,2026-06-19,33000,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。",,,
