Id,Name,FreeeInvoiceId__c,InvoiceAmount__c,ImportStatus__c,CreatedInvoice__c
a0FRB00000UtK9v2AF,MFIW-000044,54113194,500500,反映可能,a00RB000024Ux4eYAC
a0FRB00000Ut0EN2AZ,MFIW-000122,60417633,176000,反映可能,a00RB000024Ux4FYAS
a0FRB00000UtLlh2AF,MFIW-000123,60518749,693000,反映可能,a00RB000024Vf21YAC
a0FRB00000UtM532AF,MFIW-000124,60970507,217800,反映可能,
a0FRB00000UtM9u2AF,MFIW-000126,59151137,52800,反映可能,a00RB000024Vf24YAC
a0FRB00000UtM9v2AF,MFIW-000127,60979452,26400,反映可能,a00RB000023liu7YAA
a0FRB00000UtM9w2AF,MFIW-000128,60984868,544500,反映可能,a00RB000024Vf25YAC
a0FRB00000UtMBV2A3,MFIW-000129,60792877,229900,反映可能,a00RB000024Vf26YAC
a0FRB00000UtMBW2A3,MFIW-000130,60792884,145200,反映可能,a00RB000024Vf27YAC
a0FRB00000UtMBX2A3,MFIW-000131,60792886,12100,反映可能,a00RB000024Vf28YAC
a0FRB00000UtMBY2A3,MFIW-000132,60792889,52800,反映可能,a00RB000024Vf29YAC
a0FRB00000UtMBZ2A3,MFIW-000133,60792891,275000,反映可能,a00RB000024Vf2AYAS
a0FRB00000UtMBa2AN,MFIW-000134,60792892,17600,反映可能,a00RB000024Vf2BYAS
a0FRB00000UtMBb2AN,MFIW-000135,60792893,60500,反映可能,a00RB000024Vf2CYAS
a0FRB00000UtMBc2AN,MFIW-000136,60792894,26400,反映可能,a00RB000024Vf2DYAS
a0FRB00000UtMBd2AN,MFIW-000137,60792896,8800,反映可能,a00RB000024Vf2EYAS
a0FRB00000UtMBe2AN,MFIW-000138,60792897,60500,反映可能,a00RB000024Vf2FYAS
a0FRB00000UtMBf2AN,MFIW-000139,60792898,12100,反映可能,a00RB000024Vf2GYAS
a0FRB00000UtMBg2AN,MFIW-000140,60792899,17600,反映可能,a00RB000024Vf2HYAS
a0FRB00000UtMBh2AN,MFIW-000141,60792900,82500,反映可能,a00RB000024Vf2IYAS
a0FRB00000UtMBi2AN,MFIW-000142,60792903,17600,反映可能,a00RB000024Vf2JYAS
a0FRB00000UtMBj2AN,MFIW-000143,60792904,26400,反映可能,a00RB000024Vf2KYAS
a0FRB00000UtMBk2AN,MFIW-000144,60792905,8800,反映可能,a00RB000024Vf2LYAS
a0FRB00000UtMBl2AN,MFIW-000145,60792906,82500,反映可能,a00RB000024Vf2MYAS
a0FRB00000UtMBm2AN,MFIW-000146,60792907,82500,反映可能,a00RB000024Vf2NYAS
a0FRB00000UtMBn2AN,MFIW-000147,60792909,8800,反映可能,a00RB000024Vf2OYAS
a0FRB00000UtMBo2AN,MFIW-000148,60792910,17600,反映可能,a00RB000024Vf2PYAS
a0FRB00000UtMbJ2AV,MFIW-000149,60792928,6600000,反映可能,a00RB000024Vf2QYAS
a0FRB00000Wi4gd2AB,MFIW-000150,61624916,3300000,反映可能,a00RB00002BMqK5YAL
a0FRB00000WiSXe2AN,MFIW-000153,62159546,247500,反映可能,
a0FRB00000WiCuz2AF,MFIW-000155,62350392,35200,反映可能,a00RB000027ffOkYAI
a0FRB00000Wifcv2AB,MFIW-000158,60861151,12100,反映可能,a00RB000027flsLYAQ
a0FRB00000WicaE2AR,MFIW-000159,60792913,8800,反映可能,a00RB000027fzNdYAI
a0FRB00000WicaF2AR,MFIW-000160,60792915,44000,反映可能,a00RB000027fzNeYAI
a0FRB00000WicaG2AR,MFIW-000161,60792917,8800,反映可能,a00RB000027fzNfYAI
a0FRB00000WicaH2AR,MFIW-000162,60792918,8800,反映可能,a00RB000027fzNgYAI
a0FRB00000WicaI2AR,MFIW-000163,60792921,8800,反映可能,a00RB000027fzNhYAI
a0FRB00000WicaJ2AR,MFIW-000164,60792923,324500,反映可能,a00RB00002B4i3KYAR
a0FRB00000WicaK2AR,MFIW-000165,60792925,8800,反映可能,a00RB000027fzNiYAI
a0FRB00000WicaL2AR,MFIW-000166,60861149,12100,反映可能,a00RB000027fzNjYAI
a0FRB00000WicaM2AR,MFIW-000167,60861153,12100,反映可能,a00RB000027fzNkYAI
a0FRB00000WicaN2AR,MFIW-000168,60861154,12100,反映可能,a00RB00002B4i3LYAR
a0FRB00000WicaO2AR,MFIW-000169,60861155,12100,反映可能,a00RB00002B4i3MYAR
a0FRB00000WicaP2AR,MFIW-000170,60861156,12100,反映可能,a00RB000027fzNlYAI
a0FRB00000WicaQ2AR,MFIW-000171,60861157,12100,反映可能,a00RB000027fzNmYAI
a0FRB00000WicaR2AR,MFIW-000172,60861158,60500,反映可能,a00RB00002Am2AUYAZ
a0FRB00000WicaS2AR,MFIW-000173,60861159,12100,反映可能,a00RB00002B2ejdYAB
a0FRB00000WicaT2AR,MFIW-000174,60861161,175450,反映可能,a00RB00002B5oL2YAJ
a0FRB00000WicaU2AR,MFIW-000175,60861162,36300,反映可能,a00RB000027fzNnYAI
a0FRB00000WicaV2AR,MFIW-000176,60861164,12100,反映可能,a00RB000027fzNoYAI
a0FRB00000WicaW2AR,MFIW-000177,60861166,12100,反映可能,a00RB000027fzNpYAI
a0FRB00000WicaX2AR,MFIW-000178,60861167,8800,反映可能,a00RB00002B4i3NYAR
a0FRB00000WhTPL2A3,MFIW-000179,60861169,12100,反映可能,a00RB00002B4i3EYAR
a0FRB00000WhTPM2A3,MFIW-000180,60861170,48400,反映可能,a00RB00002B4i3FYAR
a0FRB00000WhTPN2A3,MFIW-000181,60861171,8800,反映可能,a00RB00002B4i3GYAR
a0FRB00000WhTPO2A3,MFIW-000182,60861172,8800,反映可能,a00RB000027fzNRYAY
a0FRB00000WhTPQ2A3,MFIW-000184,60861174,8800,反映可能,a00RB000027fzNSYAY
a0FRB00000WhTPR2A3,MFIW-000185,60861175,17600,反映可能,a00RB000027fzNTYAY
a0FRB00000WhTPS2A3,MFIW-000186,60861177,60500,反映可能,a00RB000027fzNUYAY
a0FRB00000WhTPT2A3,MFIW-000187,60861179,8800,反映可能,a00RB00002B4i3HYAR
a0FRB00000WhTPU2A3,MFIW-000188,60861180,8800,反映可能,a00RB000027fzNVYAY
a0FRB00000WhTPV2A3,MFIW-000189,60861181,48400,反映可能,a00RB00002B2ejcYAB
a0FRB00000WhTPW2A3,MFIW-000190,60861182,8800,反映可能,a00RB000027fzNWYAY
a0FRB00000WhTPX2A3,MFIW-000191,60861183,12100,反映可能,a00RB000027fzNXYAY
a0FRB00000WhTPY2A3,MFIW-000192,60861184,60500,反映可能,a00RB000027fzNYYAY
a0FRB00000WhTPZ2A3,MFIW-000193,60861185,12100,反映可能,a00RB000027fzNZYAY
a0FRB00000WhTPa2AN,MFIW-000194,60861186,12100,反映可能,a00RB000027fzNaYAI
a0FRB00000WhTPb2AN,MFIW-000195,60861187,12100,反映可能,a00RB000027fzNbYAI
a0FRB00000WhTPc2AN,MFIW-000196,60861188,8800,反映可能,a00RB00002B4i3IYAR
