Chunk,StartIndex,EndIndex,Requested,ExitCode,SuccessCount,SkippedCount,FailedCount,Status,Message
1,1,50,50,1,,,,ERROR,"sf.cmd : (node:26712) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\p ackage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:26712) [E...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM"
2,51,100,50,1,,,,ERROR,"sf.cmd : (node:15508) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\p ackage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:15508) [E...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM"
3,101,150,50,1,,,,ERROR,"sf.cmd : (node:29424) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\p ackage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:29424) [E...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM"
4,151,200,50,1,,,,ERROR,"sf.cmd : (node:23620) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\p ackage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:23620) [E...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM"
5,201,250,50,1,,,,ERROR,"sf.cmd : (node:16424) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\p ackage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:16424) [E...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM"
6,251,300,50,1,,,,ERROR,"sf.cmd : (node:17220) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\p ackage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:17220) [E...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM"
7,301,350,50,1,,,,ERROR,"sf.cmd : (node:13640) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\p ackage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:13640) [E...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM"
8,351,400,50,1,,,,ERROR,"sf.cmd : (node:24532) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\p ackage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:24532) [E...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM"
9,401,450,50,1,,,,ERROR,"sf.cmd : (node:2340) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\pa ckage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:2340) [EP...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM:"
10,451,500,50,1,,,,ERROR,"sf.cmd : (node:19296) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\p ackage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:19296) [E...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM"
11,501,550,50,1,,,,ERROR,"sf.cmd : (node:8280) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\pa ckage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:8280) [EP...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM:"
12,551,600,50,1,,,,ERROR,"sf.cmd : (node:3828) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\pa ckage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:3828) [EP...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM:"
13,601,650,50,1,,,,ERROR,"sf.cmd : (node:2656) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\pa ckage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:2656) [EP...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM:"
14,651,700,50,1,,,,ERROR,"sf.cmd : (node:27760) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\p ackage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:27760) [E...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM"
15,701,750,50,1,,,,ERROR,"sf.cmd : (node:16540) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\p ackage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:16540) [E...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM"
16,751,800,50,1,,,,ERROR,"sf.cmd : (node:7296) [EPERM] Error: EPERM: operation not permitted, open 'C:\Users\ShuKawanami(川波嵩)\AppData\Local\sf\pa ckage.json' 発生場所 行:26 文字:10 +   $out = & sf apex run --target-org prod --file $apexPath 2>&1 | Out- ... +          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: ((node:7296) [EP...f\package.json':String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   (Use `node --trace-warnings ...` to show where the warning was created) node:events:497       throw er; // Unhandled 'error' event       ^  Error: EPERM:"
