"OwnerId","Name","Account__c","ContractUpdate__c","ContractName__c","AnnualBillingMonthType__c","Event__c","NextInvoiceCreationDate__c","PreviousContract__c","RenewalConfirmationStatus__c","RenewalStop__c","SourceQuotation__c","CompanySigned__c","CustomerSignedDate__c","CustomerSigned__c","Description__c","EndDate__c","Pricebook2__c","StartDate__c","Status__c","ActivatedDate__c","Oppotunity__c","Payment__c","Plan__c","ExpectedDuration__c","ACV__c","ARR__c","MRR__c"
"","","サンフロンティア不動産株式会社","","サンフロンティア不動産株式会社","","","","","","","","","","","備考: 毎月手動送付","","","2024-06-01","Activated","","","Invoice","Pro","","768000","768000","64000"
"","","東急不動産株式会社","","東急不動産株式会社","","","","","","","","","","","備考: 解約","2026-06-01","","2024-08-01","解約","","","Invoice","EN","","2508000","2508000","209000"
"","","ノムラメディアス","","株式会社 ノムラメディアス","","","","","","","","","","","備考: (解約)ENへ変更","2025-02-01","","2024-08-01","解約","","","Invoice","Pro","","1248000","1248000","104000"
"","","東急株式会社","","東急株式会社","","","","","","","","","","","","","","2024-10-01","Activated","","","Invoice","EN","","132000","132000","11000"
"","","東急建設株式会社","","東急建設 ○独特の請求書式あり","","","","","","","","","","","備考: 年払い","","","2024-09-01","Activated","","","Invoice","Pro","","96000","96000","8000"
"","","株式会社フロンティアコンサルティング","","株式会社フロンティアコンサルティング","","","","","","","","","","","備考: ●納品書同時送付","","","2024-08-01","Activated","","","Invoice","EN","","6600000","6600000","550000"
"","","株式会社前田工務店","","前田工務店","","","","","","","","","","","","","","2024-10-01","Activated","","","Invoice","Pro","","96000","96000","8000"
"","","東京建物株式会社","","東京建物","","","","","","","","","","","備考: 解約","2024-12-01","","2024-09-01","解約","","","Invoice","EN","","1320000","1320000","110000"
"","","三井デザインテック 株式会社","","三井デザインテック","","","","","","","","","","","備考: 解約","2025-03-01","","2024-09-01","解約","","","Invoice","BA","","240000","240000","20000"
"","","株式会社ムゲンエステート","","ムゲンエステート","","","","","","","","","","","","","","2024-10-01","Activated","","","Invoice","Pro","","96000","96000","8000"
"","","株式会社 STUDIO55","","studio55","","","","","","","","","","","備考: 無料","","","2024-09-01","Activated","","","Invoice","BA","","","",""
"","","コクヨ 株式会社","","コクヨ","","","","","","","","","","","備考: 解約","2025-03-01","","2024-11-01","解約","","","Invoice","EN","","660000","660000","55000"
"","","戸田建設株式会社","","戸田建設(開発推進部:年額)","","","","","","","","","","","備考: 解約","2026-01-01","","2024-11-01","解約","","","Invoice","EN","","264000","264000","22000"
