"Name","ACV__c","ContractUpdate__c","Account__c","Contact__c","Description__c","ExpectedCloseDate__c","LostDate__c","LostReason__c","MRR__c","NextActivityDate__c","NextStep__c","StageName__c","StandardCloseDate__c","StandardProbability__c","StartDate__c","StandardStartDate__c","ExpectedDuration__c"
"[サンプル] EmpowerMove","0","月","","","","2025-02-26","2025-02-26","","0","","","Closed Lost","2025-02-26","","","",""
"Renderyエンプラ導入","660000","月","001BS00001bgVY9YAM","","","","2025-06-25","Budget shortage - running cost","55000","","","Closed Lost","2025-06-25","","","",""
"さくらホームグループ株式会社 の取引","288000","月","001BS00001bgV4pYAE","","","","","","24000","2025-09-05","","Prospecting","","","","",""
"株式会社フジタ","900000","月","001BS00001bgWP5YAM","","","","","","75000","","","Closed Won","2026-01-29","","","",""
"ハウジング・ジャパン株式会社 の取引","660000","月","001BS00001bgV4qYAE","","","","2025-06-02","Needs mismatch","55000","","","Closed Lost","2025-06-02","","","",""
"株式会社リロケーション・ジャパン の取引","435600","月","001BS00001bgV4sYAE","003BS00000f3pBjYAI","","","","","36300","","","Negotiation","","","","",""
"チルホーム株式会社 の取引","105600","月","001BS00001bgV4tYAE","003BS00000f3pBlYAI","","","2025-09-04","Key person unreachable","8800","","","Closed Lost","2025-09-04","","","",""
"髙松テクノサービス株式会社 の取引","192000","月","001BS00001bgV4uYAE","003BS00000f3pBmYAI","","","","","16000","","","Closed Won","2025-05-06","","","",""
"有限会社汗青社 の取引","132000","月","001BS00001bgV4vYAE","003BS00000f3pBnYAI","","","","","11000","2025-11-21","","Prospecting","","","","",""
"野村不動産 Rendery エンプラ導入の取引","2260000","月","001BS00001bgV4wYAE","","","2026-03-12","","","180000","2026-03-11","","Closed Won","2026-03-11","","","",""
"サムティアセットマネジメント株式会社","145200","月","001BS00001bgVQHYA2","003BS00000f4JJPYA2","","","","","12100","","","ValueProposition","","","","",""
"株式会社現代建築研究所 の取引","0","月","001BS00001bgVQIYA2","003BS00000f4JJQYA2","","","2025-10-15","No agreement on issue or setup","0","","","Closed Lost","2025-10-15","","","",""
"ユニオンテック株式会社 の取引","316800","月","001BS00001bgV6AYAU","","","","","","26400","2025-12-17","","Closed Lost","","","","",""
