"Object","ExcelColumn","SalesforceApi","SalesforceLabel","DataType","Required","BlankCount","ReferenceTo","PicklistValues","Readonly"
"Account","取引先 ID","Id","","id","True","7619","","","False"
"Account","削除","IsDeleted","","チェックボックス","False","7619","","","True"
"Account","マスターレコード ID","MasterRecordId","","参照関係 (取引先)","False","7619","","","True"
"Account","取引先名","Name","","テキスト","True","0","","","False"
"Account","取引先 種別","Type","","選択リスト","False","7619","","Prospect;Customer - Direct;Customer - Channel;Channel Partner / Reseller;Installation Partner;Technology Partner;Other","False"
"Account","親取引先 ID","ParentId","","参照関係 (取引先)","False","7619","","","False"
"Account","町名・番地(請求先)","BillingStreet","","テキストエリア","False","7619","","","False"
"Account","市区郡(請求先)","BillingCity","","テキスト","False","7619","","","False"
"Account","都道府県(請求先)","BillingState","","テキスト","False","7619","","","False"
"Account","郵便番号(請求先)","BillingPostalCode","","テキスト","False","7619","","","False"
"Account","国(請求先)","BillingCountry","","テキスト","False","7619","","","False"
"Account","緯度(請求先)","BillingLatitude","","数値 (3, 15)","False","7619","","","False"
"Account","経度(請求先)","BillingLongitude","","数値 (3, 15)","False","7619","","","False"
"Account","Billing Geocode Accuracy","BillingGeocodeAccuracy","","選択リスト","False","7619","","Address;NearAddress;Block;Street;ExtendedZip;Zip;Neighborhood;City;County;State;Unknown","False"
"Account","住所(請求先)","BillingAddress","","住所","False","7619","","","True"
"Account","町名・番地(納入先)","ShippingStreet","","テキストエリア","False","7619","","","False"
"Account","市区郡(納入先)","ShippingCity","","テキスト","False","7619","","","False"
"Account","都道府県(納入先)","ShippingState","","テキスト","False","7619","","","False"
"Account","郵便番号(納入先)","ShippingPostalCode","","テキスト","False","7619","","","False"
"Account","国(納入先)","ShippingCountry","","テキスト","False","7619","","","False"
"Account","緯度(納入先)","ShippingLatitude","","数値 (3, 15)","False","7619","","","False"
"Account","経度(納入先)","ShippingLongitude","","数値 (3, 15)","False","7619","","","False"
"Account","Shipping Geocode Accuracy","ShippingGeocodeAccuracy","","選択リスト","False","7619","","Address;NearAddress;Block;Street;ExtendedZip;Zip;Neighborhood;City;County;State;Unknown","False"
"Account","住所(納入先)","ShippingAddress","","住所","False","7619","","","True"
"Account","取引先 電話","Phone","","電話","False","7619","","","False"
"Account","取引先 Fax","Fax","","電話","False","7619","","","False"
"Account","取引先番号","AccountNumber","","テキスト","False","7619","","","False"
"Account","Web サイト","Website","","URL","False","7572","","","False"
"Account","写真の URL","PhotoUrl","","URL","False","7619","","","True"
"Account","産業コード","Sic","","テキスト","False","7619","","","False"
"Account","業種","Industry","","選択リスト","False","7619","","Agriculture;Apparel;Banking;Biotechnology;Chemicals;Communications;Construction;Consulting;Education;Electronics;Energy;Engineering;Entertainment;Environmental;Finance;Food & Beverage;Government;Healthcare;Hospitality;Insurance;Machinery;Manufacturing;Media;Not For Profit;Recreation;Retail;Shipping;Technology;Telecommunications;Transportation;Utilities;Other","False"
"Account","年間売上","AnnualRevenue","","通貨","False","7619","","","False"
"Account","従業員数","NumberOfEmployees","","数値 (0, 0)","False","7619","","","False"
"Account","会社形態","Ownership","","選択リスト","False","7619","","Public;Private;Subsidiary;Other","False"
"Account","株式コード","TickerSymbol","","テキスト","False","7619","","","False"
"Account","取引先 説明","Description","","ロングテキストエリア","False","7619","","","False"
"Account","取引先 評価","Rating","","選択リスト","False","7619","","Hot;Warm;Cold","False"
"Account","取引先 部門","Site","","テキスト","False","7619","","","False"
"Account","所有者 ID","OwnerId","","参照関係 (ユーザー)","True","0","","","False"
"Account","作成日","CreatedDate","","日付/時間","True","0","","","True"
"Account","作成者 ID","CreatedById","","参照関係 (ユーザー)","True","7619","","","True"
