"No","優先度","主原因","Work名","SalesforceURL","Freee請求書ID","Freee請求書番号","取引先","解決済み取引先","請求日","請求金額","契約管理","契約期間","作成済み請求","請求明細","確認コード","個別確認対象","具体的な確認事項","確認後の対応","自動反映可否","担当","現在の検証メッセージ"
"1","高","既存請求明細との照合不一致","MFIW-000022","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000UtJvB2AV/view","53825605","INV-0000001028","株式会社スタッコ","株式会社スタッコ","2026-03-13","12870000","","CP-00000183","INV-0000000012","【要件定義】 ヒアリング・仕様整理 / 数量:1 / 単価:1,300,000 / 金額:1,300,000 / 確定:受託開発 || 【基本設計】UI設計・構成設計 / 数量:2 / 単価:1,300,000 / 金額:2,600,000 / 確定:受託開発 || 【詳細設計】 モジュール間IF仕様設計 / 数量:1 / 単価:1,300,000 / 金額:1,300,000 / 確定:受託開発 || 【実装】 インフラ構築/フロントエンド/バックエンド開発 / 数量:4 / 単価:1,300,000 / 金額:5,200,000 / 確定:受託開発 || 【テスト・導入】 動作検証、導入支援 / 数量:1 / 単価:1,300,000 / 金額:1,300,000 / 確定:受託開発","I01","明細照合: Salesforce請求「INV-0000000012」 / Freee請求書ID 53825605","作成済みSalesforce請求「INV-0000000012」とFreee請求書ID 53825605 の明細を、Freee明細ID・件名・数量・単価・金額単位で比較する。 Salesforce側の明細を残す・修正する・不足分を追加するのどれが正しいか確認する。","既存請求明細を直接削除せず、Freee原本との差分を確定してから不足明細の追加または誤明細の訂正を行う。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"2","高","商品名の類似性不足","MFIW-000044","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000UtK9v2AF/view","54113194","INV-0000001043","戸田建設株式会社","戸田建設株式会社","2026-03-20","500500","","CP-00000024","INV-0000000033","VISIOAL＿ベーシックプラン / 数量:3 / 単価:85,000 / 金額:255,000 / 確定:[月払] knock knock AI Enterpriseプラン 500クレジット || 既存写真との整合（敷地） / 数量:1 / 単価:30,000 / 金額:30,000 / 確定:Rendery セキュリティオプション(SSO)_運用費用 || 詳細整合（インテリア） / 数量:2 / 単価:25,000 / 金額:50,000 / 確定:Rendery セキュリティオプション(IP制限)_運用費用 || 確認タイミング追加 / 数量:1 / 単価:30,000 / 金額:30,000 / 確定:Rendery セキュリティオプション(SSO)_運用費用 || 追加修正 / 数量:3 / 単価:30,000 / 金額:90,000 / 確定:Rendery セキュリティオプション(SSO)_運用費用","P03","商品誤紐づけ確認: 「VISIOAL＿ベーシックプラン」 -> 「[月払] knock knock AI Enterpriseプラン 500クレジット」 || 商品誤紐づけ確認: 「既存写真との整合（敷地）」 -> 「Rendery セキュリティオプション(SSO)_運用費用」 || 商品誤紐づけ確認: 「詳細整合（インテリア）」 -> 「Rendery セキュリティオプション(IP制限)_運用費用」 || 商品誤紐づけ確認: 「確認タイミング追加」 -> 「Rendery セキュリティオプション(SSO)_運用費用」 || 商品誤紐づけ確認: 「追加修正」 -> 「Rendery セキュリティオプション(SSO)_運用費用」","Freee明細「VISIOAL＿ベーシックプラン」を商品「[月払] knock knock AI Enterpriseプラン 500クレジット」としてよいか、名称だけでなく単価・数量・契約内容も確認する。 Freee明細「既存写真との整合（敷地）」を商品「Rendery セキュリティオプション(SSO)_運用費用」としてよいか、名称だけでなく単価・数量・契約内容も確認する。 Freee明細「詳細整合（インテリア）」を商品「Rendery セキュリティオプション(IP制限)_運用費用」としてよいか、名称だけでなく単価・数量・契約内容も確認する。 Freee明細「確認タイミング追加」を商品「Rendery セキュリティオプション(SSO)_運用費用」としてよいか、名称だけでなく単価・数量・契約内容も確認する。 Freee明細「追加修正」を商品「Rendery セキュリティオプション(SSO)_運用費用」としてよいか、名称だけでなく単価・数量・契約内容も確認する。","商品対応が正しければ商品マッピングへ正式な別名として登録する。誤りなら確定商品を解除して正しい商品を選択する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「VISIOAL＿ベーシックプラン」の商品マスタを確認してください。"
"3","中","契約・契約期間未確定","MFIW-000271","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59D2AR/view","54153830","INV-0000001050","西和不動産株式会社 栗東店","西和不動産株式会社 栗東店","2026-03-20","12100","","","","knock knock AI Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:knock knock AI Basicプラン(50クレジット)","C01","請求区分と契約先: 西和不動産株式会社 栗東店 / 請求日: 2026-03-20","取引先「西和不動産株式会社 栗東店」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"4","中","契約・商品未確定","MFIW-000275","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59H2AR/view","54153834","INV-0000001054","株式会社ヨコハマ地所","株式会社ヨコハマ地所","2026-03-20","12100","","","","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 候補:knock knock AI Basicプラン(50クレジット)","C01,P01","請求区分と契約先: 株式会社ヨコハマ地所 / 請求日: 2026-03-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","取引先「株式会社ヨコハマ地所」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。 明細「knock knock AI_Basicプラン」（数量 1、単価 11,000 円）を商品「knock knock AI Basicプラン(50クレジット)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"5","中","契約・契約期間未確定","MFIW-000276","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59I2AR/view","54153835","INV-0000001055","株式会社シアーズホーム","株式会社シアーズホーム","2026-03-20","12100","","","","knock knock AI Basicプラン(月額) / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:knock knock AI Basicプラン(50クレジット)","C01","請求区分と契約先: 株式会社シアーズホーム / 請求日: 2026-03-20","取引先「株式会社シアーズホーム」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"6","中","商品未確定","MFIW-000277","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59J2AR/view","54153836","INV-0000001056","リアルティホールディングス株式会社","リアルティホールディングス株式会社","2026-03-20","175450","","CP-00000126","","knock knock AI_Enterpriseプラン_1100クレジット / 数量:1,100 / 単価:145 / 金額:159,500 / 商品未候補","P02","商品選択: 「knock knock AI_Enterpriseプラン_1100クレジット」","明細「knock knock AI_Enterpriseプラン_1100クレジット」（数量 1,100、単価 145 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"7","中","契約・商品未確定","MFIW-000280","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59M2AR/view","54153839","INV-0000001059","アグレ都市デザイン株式会社","アグレ都市デザイン株式会社","2026-03-20","12100","","","","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 候補:knock knock AI Basicプラン(50クレジット)","C01,P01","請求区分と契約先: アグレ都市デザイン株式会社 / 請求日: 2026-03-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","取引先「アグレ都市デザイン株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。 明細「knock knock AI_Basicプラン」（数量 1、単価 11,000 円）を商品「knock knock AI Basicプラン(50クレジット)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"8","中","契約・契約期間未確定","MFIW-000282","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59O2AR/view","54153843","INV-0000001061","株式会社JR東日本建築設計","株式会社JR東日本建築設計","2026-03-20","8800","","","","Rendery_Pro_月額利用料 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 株式会社JR東日本建築設計 / 請求日: 2026-03-20","取引先「株式会社JR東日本建築設計」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"9","中","契約・契約期間未確定","MFIW-000283","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59P2AR/view","54153844","INV-0000001062","アイリスオーヤマ株式会社(空間デザイン部)","アイリスオーヤマ株式会社(空間デザイン部)","2026-03-20","12100","","","","RenderyEnterpriseプラン_月額 / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01","請求区分と契約先: アイリスオーヤマ株式会社(空間デザイン部) / 請求日: 2026-03-20","取引先「アイリスオーヤマ株式会社(空間デザイン部)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"10","中","契約・契約期間未確定","MFIW-000284","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59Q2AR/view","54153845","INV-0000001063","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","2026-03-20","48400","","","","RenderyEnterpriseプラン_月額 / 数量:4 / 単価:11,000 / 金額:44,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01","請求区分と契約先: アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム) / 請求日: 2026-03-20","取引先「アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
