"No","優先度","主原因","Work名","Salesforce URL","Freee請求書ID","取引先","請求日","請求金額","契約管理","契約期間","作成済み請求","確認コード","個別確認対象","自動反映可否","主担当","対応状況","確認結果","対応者","確認日","備考"
"1","高","既存請求明細との照合不一致","MFIW-000022","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000UtJvB2AV/view","53825605","株式会社スタッコ","2026-03-13","12870000","","CP-00000183","INV-0000000012","I01","明細照合: Salesforce請求「INV-0000000012」 / Freee請求書ID 53825605","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"2","高","商品名の類似性不足","MFIW-000044","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000UtK9v2AF/view","54113194","戸田建設株式会社","2026-03-20","500500","","CP-00000024","INV-0000000033","P03","商品誤紐づけ確認: 「VISIOAL＿ベーシックプラン」 -> 「[月払] knock knock AI Enterpriseプラン 500クレジット」 || 商品誤紐づけ確認: 「既存写真との整合（敷地）」 -> 「Rendery セキュリティオプション(SSO)_運用費用」 || 商品誤紐づけ確認: 「詳細整合（インテリア）」 -> 「Rendery セキュリティオプション(IP制限)_運用費用」 || 商品誤紐づけ確認: 「確認タイミング追加」 -> 「Rendery セキュリティオプション(SSO)_運用費用」 || 商品誤紐づけ確認: 「追加修正」 -> 「Rendery セキュリティオプション(SSO)_運用費用」","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"3","中","契約・契約期間未確定","MFIW-000271","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59D2AR/view","54153830","西和不動産株式会社 栗東店","2026-03-20","12100","","","","C01","請求区分と契約先: 西和不動産株式会社 栗東店 / 請求日: 2026-03-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"4","中","契約・商品未確定","MFIW-000275","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59H2AR/view","54153834","株式会社ヨコハマ地所","2026-03-20","12100","","","","C01,P01","請求区分と契約先: 株式会社ヨコハマ地所 / 請求日: 2026-03-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"5","中","契約・契約期間未確定","MFIW-000276","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59I2AR/view","54153835","株式会社シアーズホーム","2026-03-20","12100","","","","C01","請求区分と契約先: 株式会社シアーズホーム / 請求日: 2026-03-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"6","中","商品未確定","MFIW-000277","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59J2AR/view","54153836","リアルティホールディングス株式会社","2026-03-20","175450","","CP-00000126","","P02","商品選択: 「knock knock AI_Enterpriseプラン_1100クレジット」","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"7","中","契約・商品未確定","MFIW-000280","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59M2AR/view","54153839","アグレ都市デザイン株式会社","2026-03-20","12100","","","","C01,P01","請求区分と契約先: アグレ都市デザイン株式会社 / 請求日: 2026-03-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"8","中","契約・契約期間未確定","MFIW-000282","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59O2AR/view","54153843","株式会社JR東日本建築設計","2026-03-20","8800","","","","C01","請求区分と契約先: 株式会社JR東日本建築設計 / 請求日: 2026-03-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"9","中","契約・契約期間未確定","MFIW-000283","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59P2AR/view","54153844","アイリスオーヤマ株式会社(空間デザイン部)","2026-03-20","12100","","","","C01","請求区分と契約先: アイリスオーヤマ株式会社(空間デザイン部) / 請求日: 2026-03-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"10","中","契約・契約期間未確定","MFIW-000284","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59Q2AR/view","54153845","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","2026-03-20","48400","","","","C01","請求区分と契約先: アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム) / 請求日: 2026-03-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
