"No","優先度","主原因","Work名","SalesforceURL","Freee請求書ID","Freee請求書番号","取引先","解決済み取引先","請求日","請求金額","契約管理","契約期間","作成済み請求","請求明細","確認コード","個別確認対象","具体的な確認事項","確認後の対応","自動反映可否","担当","現在の検証メッセージ"
"1","高","商品名の類似性不足","MFIW-000044","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000UtK9v2AF/view","54113194","INV-0000001043","戸田建設株式会社","戸田建設株式会社","2026-03-20","500500","CN-00000026","CP-00000024","INV-0000000033","VISIOAL＿ベーシックプラン / 数量:3 / 単価:85,000 / 金額:255,000 / 確定:[月払] knock knock AI Enterpriseプラン 500クレジット || 既存写真との整合（敷地） / 数量:1 / 単価:30,000 / 金額:30,000 / 確定:Rendery セキュリティオプション(SSO)_運用費用 || 詳細整合（インテリア） / 数量:2 / 単価:25,000 / 金額:50,000 / 確定:Rendery セキュリティオプション(IP制限)_運用費用 || 確認タイミング追加 / 数量:1 / 単価:30,000 / 金額:30,000 / 確定:Rendery セキュリティオプション(SSO)_運用費用 || 追加修正 / 数量:3 / 単価:30,000 / 金額:90,000 / 確定:Rendery セキュリティオプション(SSO)_運用費用","P03","商品誤紐づけ確認: 「VISIOAL＿ベーシックプラン」 -> 「[月払] knock knock AI Enterpriseプラン 500クレジット」 || 商品誤紐づけ確認: 「既存写真との整合（敷地）」 -> 「Rendery セキュリティオプション(SSO)_運用費用」 || 商品誤紐づけ確認: 「詳細整合（インテリア）」 -> 「Rendery セキュリティオプション(IP制限)_運用費用」 || 商品誤紐づけ確認: 「確認タイミング追加」 -> 「Rendery セキュリティオプション(SSO)_運用費用」 || 商品誤紐づけ確認: 「追加修正」 -> 「Rendery セキュリティオプション(SSO)_運用費用」","Freee明細「VISIOAL＿ベーシックプラン」を商品「[月払] knock knock AI Enterpriseプラン 500クレジット」としてよいか、名称だけでなく単価・数量・契約内容も確認する。 Freee明細「既存写真との整合（敷地）」を商品「Rendery セキュリティオプション(SSO)_運用費用」としてよいか、名称だけでなく単価・数量・契約内容も確認する。 Freee明細「詳細整合（インテリア）」を商品「Rendery セキュリティオプション(IP制限)_運用費用」としてよいか、名称だけでなく単価・数量・契約内容も確認する。 Freee明細「確認タイミング追加」を商品「Rendery セキュリティオプション(SSO)_運用費用」としてよいか、名称だけでなく単価・数量・契約内容も確認する。 Freee明細「追加修正」を商品「Rendery セキュリティオプション(SSO)_運用費用」としてよいか、名称だけでなく単価・数量・契約内容も確認する。","商品対応が正しければ商品マッピングへ正式な別名として登録する。誤りなら確定商品を解除して正しい商品を選択する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「VISIOAL＿ベーシックプラン」の商品マスタを確認してください。"
"2","中","契約・商品未確定","MFIW-000275","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59H2AR/view","54153834","INV-0000001054","株式会社ヨコハマ地所","株式会社ヨコハマ地所","2026-03-20","12100","","","","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 候補:knock knock AI Basicプラン(50クレジット)","C01,P01","請求区分と契約先: 株式会社ヨコハマ地所 / 請求日: 2026-03-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","取引先「株式会社ヨコハマ地所」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。 明細「knock knock AI_Basicプラン」（数量 1、単価 11,000 円）を商品「knock knock AI Basicプラン(50クレジット)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"3","中","商品未確定","MFIW-000277","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59J2AR/view","54153836","INV-0000001056","リアルティホールディングス株式会社","リアルティホールディングス株式会社","2026-03-20","175450","CN-00000127","CP-00000126","","knock knock AI_Enterpriseプラン_1100クレジット / 数量:1,100 / 単価:145 / 金額:159,500 / 商品未候補","P02","商品選択: 「knock knock AI_Enterpriseプラン_1100クレジット」","明細「knock knock AI_Enterpriseプラン_1100クレジット」（数量 1,100、単価 145 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"4","中","契約・商品未確定","MFIW-000280","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59M2AR/view","54153839","INV-0000001059","アグレ都市デザイン株式会社","アグレ都市デザイン株式会社","2026-03-20","12100","","","","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 候補:knock knock AI Basicプラン(50クレジット)","C01,P01","請求区分と契約先: アグレ都市デザイン株式会社 / 請求日: 2026-03-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","取引先「アグレ都市デザイン株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。 明細「knock knock AI_Basicプラン」（数量 1、単価 11,000 円）を商品「knock knock AI Basicプラン(50クレジット)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"5","中","契約・商品未確定","MFIW-000292","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wio6l2AB/view","54249842","INV-0000001095","株式会社トーケン","株式会社トーケン","2026-03-20","1056000","","","","Rendery_Pro_10アカウント_年間一括払い / 数量:12 / 単価:80,000 / 金額:960,000 / 商品未候補","C01,P02","請求区分と契約先: 株式会社トーケン / 請求日: 2026-03-20 || 商品選択: 「Rendery_Pro_10アカウント_年間一括払い」","取引先「株式会社トーケン」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。 明細「Rendery_Pro_10アカウント_年間一括払い」（数量 12、単価 80,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"6","中","契約・商品未確定","MFIW-000357","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhrF2AR/view","54153861","INV-0000001074","東急リゾーツ＆ステイ株式会社","東急リゾーツ＆ステイ株式会社","2026-03-20","108900","","","","Rendery　エンタープライズプラン / 数量:9 / 単価:11,000 / 金額:99,000 / 候補:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01,P01","請求区分と契約先: 東急リゾーツ＆ステイ株式会社 / 請求日: 2026-03-20 || 商品候補確認: 「Rendery　エンタープライズプラン」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","取引先「東急リゾーツ＆ステイ株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。 明細「Rendery　エンタープライズプラン」（数量 9、単価 11,000 円）を商品「[OLD] Rendery Enterpriseプラン(2025年9月まで)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"7","中","商品未確定","MFIW-000359","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhrH2AR/view","54153863","INV-0000001076","株式会社前田工務店","株式会社前田工務店","2026-03-20","60500","CN-00000009","CP-00000007","","Rendery(エンタープライズプラン：1ヶ月) / 数量:5 / 単価:11,000 / 金額:55,000 / 候補:[OLD] Rendery Enterpriseプラン(2025年9月まで)","P01","商品候補確認: 「Rendery(エンタープライズプラン：1ヶ月)」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","明細「Rendery(エンタープライズプラン：1ヶ月)」（数量 5、単価 11,000 円）を商品「[OLD] Rendery Enterpriseプラン(2025年9月まで)」としてよいか確認する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"8","中","契約・商品未確定","MFIW-000368","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhzK2AR/view","54153879","INV-0000001085","株式会社アークフロンティア　テラスエステート","株式会社アークフロンティア テラスエステート","2026-03-20","123200","","","","knock knock AI_Enterpriseプラン(月額) / 数量:700 / 単価:160 / 金額:112,000 / 商品未候補","C01,P02","請求区分と契約先: 株式会社アークフロンティア　テラスエステート / 請求日: 2026-03-20 || 商品選択: 「knock knock AI_Enterpriseプラン(月額)」","取引先「株式会社アークフロンティア　テラスエステート」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。 明細「knock knock AI_Enterpriseプラン(月額)」（数量 700、単価 160 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"9","中","契約・商品未確定","MFIW-000295","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wjfvr2AB/view","56527531","INV-0000001131","株式会社ヨコハマ地所","株式会社ヨコハマ地所","2026-04-20","12100","","","","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 候補:knock knock AI Basicプラン(50クレジット)","C01,P01","請求区分と契約先: 株式会社ヨコハマ地所 / 請求日: 2026-04-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","取引先「株式会社ヨコハマ地所」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。 明細「knock knock AI_Basicプラン」（数量 1、単価 11,000 円）を商品「knock knock AI Basicプラン(50クレジット)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"10","中","商品未確定","MFIW-000296","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wjfvs2AB/view","56527532","INV-0000001132","リアルティホールディングス株式会社","リアルティホールディングス株式会社","2026-04-20","175450","CN-00000127","CP-00000126","","knock knock AI_Enterpriseプラン_1200クレジット / 数量:1,100 / 単価:145 / 金額:159,500 / 商品未候補","P02","商品選択: 「knock knock AI_Enterpriseプラン_1200クレジット」","明細「knock knock AI_Enterpriseプラン_1200クレジット」（数量 1,100、単価 145 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
