"Severity","Category","Object","RecordId","RecordName","Issue","Evidence","RecommendedAction"
"High","決済ステータス矛盾","Invoice__c","a00RB000024Ux4IYAS","INV-0000000011","決済済みだが金額が完済状態ではない","Paid=1837000, Unpaid=0, Invoice=1670000","freeeから決済ステータスと金額を再同期する"
"High","決済ステータス矛盾","Invoice__c","a00RB000024Ux4qYAC","INV-0000000045","決済済みだが金額が完済状態ではない","Paid=2057000, Unpaid=0, Invoice=1870000","freeeから決済ステータスと金額を再同期する"
"High","参照不一致","ContractLineItem__c","a03RB00001VLhyrYAD","a03RB00001VLhyr","契約期間の親契約と契約管理が異なる","PeriodContract=a04RB00000kUAPEYA4, Master=a04RB00000kVL7KYAW","正しい契約期間へ付け替える"
"High","参照不一致","Invoice__c","a00RB00002BahLfYAJ","INV-0000000410","契約期間の親契約と請求の親契約が異なる","PeriodContract=a04RB00000kUAPEYA4, InvoiceContract=a04RB00000kVL7KYAW","正しい契約期間へ付け替える"
"High","参照不足","ContractLineItem__c","a03RB00001NswrEYAR","TC神鋼不動産株式会社_2025/07","契約期間が未設定","MasterContract=a04RB00000kUAPzYAO","対象年月を含む契約期間を設定する"
"High","参照不足","ContractLineItem__c","a03RB00001NswrFYAR","TC神鋼不動産株式会社_2025/08","契約期間が未設定","MasterContract=a04RB00000kUAPzYAO","対象年月を含む契約期間を設定する"
"High","参照不足","ContractLineItem__c","a03RB00001NswrGYAR","TC神鋼不動産株式会社_2025/09","契約期間が未設定","MasterContract=a04RB00000kUAPzYAO","対象年月を含む契約期間を設定する"
"High","参照不足","ContractLineItem__c","a03RB00001NswrHYAR","TC神鋼不動産株式会社_2025/10","契約期間が未設定","MasterContract=a04RB00000kUAPzYAO","対象年月を含む契約期間を設定する"
"High","参照不足","ContractLineItem__c","a03RB00001NswrIYAR","TC神鋼不動産株式会社_2025/11","契約期間が未設定","MasterContract=a04RB00000kUAPzYAO","対象年月を含む契約期間を設定する"
"High","参照不足","ContractLineItem__c","a03RB00001NswrJYAR","TC神鋼不動産株式会社_2025/12","契約期間が未設定","MasterContract=a04RB00000kUAPzYAO","対象年月を含む契約期間を設定する"
"High","参照不足","ContractLineItem__c","a03RB00001NswrKYAR","TC神鋼不動産株式会社_2026/01","契約期間が未設定","MasterContract=a04RB00000kUAPzYAO","対象年月を含む契約期間を設定する"
"High","参照不足","ContractLineItem__c","a03RB00001NswrLYAR","TC神鋼不動産株式会社_2026/02","契約期間が未設定","MasterContract=a04RB00000kUAPzYAO","対象年月を含む契約期間を設定する"
"High","参照不足","ContractLineItem__c","a03RB00001NswrMYAR","TC神鋼不動産株式会社_2026/03","契約期間が未設定","MasterContract=a04RB00000kUAPzYAO","対象年月を含む契約期間を設定する"
"High","参照不足","ContractLineItem__c","a03RB00001NswrNYAR","TC神鋼不動産株式会社_2026/04","契約期間が未設定","MasterContract=a04RB00000kUAPzYAO","対象年月を含む契約期間を設定する"
"High","参照不足","ContractLineItem__c","a03RB00001NswrOYAR","TC神鋼不動産株式会社_2026/05","契約期間が未設定","MasterContract=a04RB00000kUAPzYAO","対象年月を含む契約期間を設定する"
"High","参照不足","ContractLineItem__c","a03RB00001RIRF2YAP","TC神鋼不動産株式会社_2026/06","契約期間が未設定","MasterContract=a04RB00000kUAPzYAO","対象年月を含む契約期間を設定する"
"High","参照不足","ContractLineItem__c","a03RB00001RcABeYAN","TC神鋼不動産株式会社_2026/07","契約期間が未設定","MasterContract=a04RB00000kUAPzYAO","対象年月を含む契約期間を設定する"
"High","参照不足","ContractLineItem__c","a03RB00001STmHqYAL","TC神鋼不動産株式会社_2026/08","契約期間が未設定","MasterContract=a04RB00000kUAPzYAO","対象年月を含む契約期間を設定する"
"High","参照不足","Invoice__c","a00RB000023liu7YAA","INV-0000000003","親契約が未設定","Account=001RB00001UvdpFYAR, Billing=2026-06-19","取引先・請求明細・請求月から契約を特定する"
"High","取引先不一致","Invoice__c","a00RB00002B5oL5YAJ","INV-0000000383","請求と契約管理の取引先が異なる","Invoice=001RB00001br9KPYAY, Contract=001RB00001VTrHrYAL","正しい契約または取引先へ付け替える"
"High","請求参照不一致","ContractLineItem__c","a03RB00001UyZX6YAN","a03RB00001UyZX6","関連請求の親契約が月次明細の契約と異なる","InvoiceContract=a04RB00000mj59ZYAQ, MonthlyContract=a04RB00000n5JeAYAU","正しい請求へ付け替える"
"High","請求参照不一致","ContractLineItem__c","a03RB00001NswieYAB","株式会社アールシーコア(セキュリティオプション月額）_2026/04","関連請求の親契約が月次明細の契約と異なる","InvoiceContract=a04RB00000kVL7SYAW, MonthlyContract=a04RB00000kUAOsYAO","正しい請求へ付け替える"
"High","請求参照不一致","ContractLineItem__c","a03RB00001NswifYAB","株式会社アールシーコア(セキュリティオプション月額）_2026/05","関連請求の親契約が月次明細の契約と異なる","InvoiceContract=a04RB00000kVL7SYAW, MonthlyContract=a04RB00000kUAOsYAO","正しい請求へ付け替える"
"High","請求参照不一致","ContractLineItem__c","a03RB00001NswhzYAB","株式会社アールシーコア_2026/04","関連請求の親契約が月次明細の契約と異なる","InvoiceContract=a04RB00000kVL7SYAW, MonthlyContract=a04RB00000kUAOoYAO","正しい請求へ付け替える"
"High","請求参照不一致","ContractLineItem__c","a03RB00001Nswi0YAB","株式会社アールシーコア_2026/05","関連請求の親契約が月次明細の契約と異なる","InvoiceContract=a04RB00000kVL7SYAW, MonthlyContract=a04RB00000kUAOoYAO","正しい請求へ付け替える"
"High","請求参照不一致","ContractLineItem__c","a03RB00001NswjCYAR","株式会社サンケイビル_2026/04","関連請求の親契約が月次明細の契約と異なる","InvoiceContract=a04RB00000kVL7WYAW, MonthlyContract=a04RB00000kUAP2YAO","正しい請求へ付け替える"
"High","請求参照不一致","ContractLineItem__c","a03RB00001NswjDYAR","株式会社サンケイビル_2026/05","関連請求の親契約が月次明細の契約と異なる","InvoiceContract=a04RB00000kVL7WYAW, MonthlyContract=a04RB00000kUAP2YAO","正しい請求へ付け替える"
