"Severity","Category","Object","RecordId","RecordName","Issue","Evidence","RecommendedAction"
"High","MRR","Contract__c","a04RB00000kUANnYAO","CN-00000013","有効契約のMRRが空","Status=Activated","請求明細または契約内容を根拠にMRRを設定する"
"High","MRR","Contract__c","a04RB00000n5JeAYAU","CN-00000228","有効契約のMRRが空","Status=Activated","請求明細または契約内容を根拠にMRRを設定する"
"High","MRR","Contract__c","a04RB00000nA94DYAS","CN-00000230","有効契約のMRRが空","Status=Activated","請求明細または契約内容を根拠にMRRを設定する"
"High","MRR","Contract__c","a04RB00000nCmpRYAS","CN-00000233","有効契約のMRRが空","Status=Activated","請求明細または契約内容を根拠にMRRを設定する"
"High","MRR","Contract__c","a04RB00000nCmpSYAS","CN-00000234","有効契約のMRRが空","Status=Activated","請求明細または契約内容を根拠にMRRを設定する"
"High","MRR","Contract__c","a04RB00000nRI1RYAW","CN-00000240","有効契約のMRRが空","Status=Activated","請求明細または契約内容を根拠にMRRを設定する"
"High","MRR","Contract__c","a04RB00000nS9IfYAK","CN-00000242","有効契約のMRRが空","Status=Activated","請求明細または契約内容を根拠にMRRを設定する"
"High","MRR","Contract__c","a04RB00000nS9IgYAK","CN-00000243","有効契約のMRRが空","Status=Activated","請求明細または契約内容を根拠にMRRを設定する"
"High","MRR","ContractLineItem__c","a03RB00001NswjRYAR","Asplead株式会社_2026/04","MRR対象だが売上予定額が空","Month=2026/04, Total=16000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswjSYAR","Asplead株式会社_2026/05","MRR対象だが売上予定額が空","Month=2026/05, Total=16000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswqqYAB","ONETEAM不動産_2025/06","MRR対象だが売上予定額が空","Month=2025/06, Total=55000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswqrYAB","ONETEAM不動産_2025/07","MRR対象だが売上予定額が空","Month=2025/07, Total=11000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswqsYAB","ONETEAM不動産_2025/08","MRR対象だが売上予定額が空","Month=2025/08, Total=11000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswqtYAB","ONETEAM不動産_2025/09","MRR対象だが売上予定額が空","Month=2025/09, Total=11000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswquYAB","ONETEAM不動産_2025/10","MRR対象だが売上予定額が空","Month=2025/10, Total=11000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswqvYAB","ONETEAM不動産_2025/11","MRR対象だが売上予定額が空","Month=2025/11, Total=11000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswqwYAB","ONETEAM不動産_2025/12","MRR対象だが売上予定額が空","Month=2025/12, Total=11000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswqxYAB","ONETEAM不動産_2026/01","MRR対象だが売上予定額が空","Month=2026/01, Total=11000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswqyYAB","ONETEAM不動産_2026/02","MRR対象だが売上予定額が空","Month=2026/02, Total=11000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswqzYAB","ONETEAM不動産_2026/03","MRR対象だが売上予定額が空","Month=2026/03, Total=11000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001Nswr0YAB","ONETEAM不動産_2026/04","MRR対象だが売上予定額が空","Month=2026/04, Total=11000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001Nswr1YAB","ONETEAM不動産_2026/05","MRR対象だが売上予定額が空","Month=2026/05, Total=11000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswigYAB","Phantom株式会社_2026/02","MRR対象だが売上予定額が空","Month=2026/02, Total=16000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswihYAB","Phantom株式会社_2026/03","MRR対象だが売上予定額が空","Month=2026/03, Total=16000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswiiYAB","Phantom株式会社_2026/04","MRR対象だが売上予定額が空","Month=2026/04, Total=16000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswijYAB","Phantom株式会社_2026/05","MRR対象だが売上予定額が空","Month=2026/05, Total=16000","商品単価または請求明細から売上予定額を補完する"
"High","MRR","ContractLineItem__c","a03RB00001NswrEYAR","TC神鋼不動産株式会社_2025/07","MRR対象だが売上予定額が空","Month=2025/07, Total=11000","商品単価または請求明細から売上予定額を補完する"
