"Id","Freee_Invoice_URL__c","ContractPeriod__c"
"a00RB000027flsLYAQ","https://invoice.secure.freee.co.jp/reports/invoices/60861151","a0BRB0000124lpu2AA"
"a00RB00002Am2AUYAZ","https://invoice.secure.freee.co.jp/reports/invoices/60861158","a0BRB0000124jua2AA"
"a00RB00002Am2AVYAZ","https://invoice.secure.freee.co.jp/reports/invoices/54153833","a0BRB0000124juX2AQ"
"a00RB00002Am2AWYAZ","https://invoice.secure.freee.co.jp/reports/invoices/54153849","a0BRB00000ynb6A2AQ"
"a00RB00002Am2AXYAZ","https://invoice.secure.freee.co.jp/reports/invoices/54153853","a0BRB00000ynb622AA"
"a00RB00002Am2AYYAZ","https://invoice.secure.freee.co.jp/reports/invoices/54153854","a0BRB00000ynb5x2AA"
"a00RB00002Am2AZYAZ","https://invoice.secure.freee.co.jp/reports/invoices/56527557","a0BRB00000ynb5h2AA"
"a00RB00002Am2AaYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56527558","a0BRB00000ynb5b2AA"
"a00RB00002Am2AbYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56527559","a0BRB00000ynb5v2AA"
"a00RB00002Am2AcYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56527565","a0BRB00000ynb6M2AQ"
"a00RB00002Am2AdYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56527568","a0BRB00000ynn5y2AA"
"a00RB00002Am2AeYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56675516","a0BRB00000ynb5Y2AQ"
"a00RB00002Am2AfYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56677820","a0BRB00000ynb5d2AA"
"a00RB00002Am2AgYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56681225","a0BRB00000ynb6e2AA"
"a00RB00002Am2AhYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56683113","a0BRB00000ynb6t2AA"
"a00RB00002Am2AiYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56683462","a0BRB00000ynb6u2AA"
"a00RB00002Am2AjYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56683907","a0BRB00000ynb6y2AA"
"a00RB00002Am2AkYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56684523","a0BRB00000ynb702AA"
"a00RB00002Am2AlYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56684847","a0BRB00000ynb712AA"
"a00RB00002Am2AmYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56685055","a0BRB00000ynb722AA"
"a00RB00002Am2AnYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56692304","a0BRB00000ynb6z2AA"
"a00RB00002Am2AoYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56692529","a0BRB00000ynb752AA"
"a00RB00002Am2ApYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56695322","a0BRB00000ynb6w2AA"
"a00RB00002Am2AqYAJ","https://invoice.secure.freee.co.jp/reports/invoices/56695878","a0BRB00000ynb762AA"
"a00RB00002Am2ArYAJ","https://invoice.secure.freee.co.jp/reports/invoices/57147191","a0BRB00000ynb6y2AA"
"a00RB00002Am2AsYAJ","https://invoice.secure.freee.co.jp/reports/invoices/58549482","a0BRB00000ynb6w2AA"
"a00RB00002Am2AtYAJ","https://invoice.secure.freee.co.jp/reports/invoices/58549485","a0BRB00000ynn552AA"
"a00RB00002Am2AuYAJ","https://invoice.secure.freee.co.jp/reports/invoices/58549487","a0BRB00000ynb762AA"
"a00RB00002Am2AvYAJ","https://invoice.secure.freee.co.jp/reports/invoices/58573600","a0BRB0000124lpt2AA"
"a00RB00002Am2AwYAJ","https://invoice.secure.freee.co.jp/reports/invoices/58573613","a0BRB0000124juZ2AQ"
"a00RB00002Am2AxYAJ","https://invoice.secure.freee.co.jp/reports/invoices/58573634","a0BRB00000ynb6A2AQ"
"a00RB00002Am2AyYAJ","https://invoice.secure.freee.co.jp/reports/invoices/58573637","a0BRB00000ynb622AA"
"a00RB00002Am2AzYAJ","https://invoice.secure.freee.co.jp/reports/invoices/58573639","a0BRB00000ynb5x2AA"
"a00RB00002Am2B0YAJ","https://invoice.secure.freee.co.jp/reports/invoices/58573640","a0BRB00000ynb5w2AA"
"a00RB00002Am2B1YAJ","https://invoice.secure.freee.co.jp/reports/invoices/58573644","a0BRB00000ynb5r2AA"
"a00RB00002Am2B2YAJ","https://invoice.secure.freee.co.jp/reports/invoices/58573650","a0BRB00000ynb5h2AA"
"a00RB00002Am2B3YAJ","https://invoice.secure.freee.co.jp/reports/invoices/58573652","a0BRB00000ynb5b2AA"
"a00RB00002Am2B4YAJ","https://invoice.secure.freee.co.jp/reports/invoices/58573654","a0BRB00000ynb5v2AA"
"a00RB00002Am2B5YAJ","https://invoice.secure.freee.co.jp/reports/invoices/58573666","a0BRB00000ynb6M2AQ"
"a00RB00002Am2B6YAJ","https://invoice.secure.freee.co.jp/reports/invoices/58573670","a0BRB00000ynn5y2AA"
"a00RB00002Am2B7YAJ","https://invoice.secure.freee.co.jp/reports/invoices/58709445","a0BRB00000ynb6e2AA"
"a00RB00002Am2B8YAJ","https://invoice.secure.freee.co.jp/reports/invoices/58711258","a0BRB00000ynb722AA"
"a00RB00002Am2B9YAJ","https://invoice.secure.freee.co.jp/reports/invoices/58712978","a0BRB00000ynn582AA"
"a00RB00002Am2BAYAZ","https://invoice.secure.freee.co.jp/reports/invoices/62350333","a0BRB00000ynn592AA"
"a00RB00002Am2BBYAZ","https://invoice.secure.freee.co.jp/reports/invoices/56527529","a0BRB0000124juY2AQ"
"a00RB00002Am2BCYAZ","https://invoice.secure.freee.co.jp/reports/invoices/56527545","a0BRB00000ynb6A2AQ"
"a00RB00002Am2BDYAZ","https://invoice.secure.freee.co.jp/reports/invoices/56527548","a0BRB00000ynb622AA"
"a00RB00002Am2BEYAZ","https://invoice.secure.freee.co.jp/reports/invoices/56527550","a0BRB00000ynb5x2AA"
"a00RB00002Am2BFYAZ","https://invoice.secure.freee.co.jp/reports/invoices/56527551","a0BRB00000ynb5w2AA"
"a00RB00002Am2BGYAZ","https://invoice.secure.freee.co.jp/reports/invoices/56527553","a0BRB00000ynb5r2AA"
"a00RB00002Am2BHYAZ","https://invoice.secure.freee.co.jp/reports/invoices/54153856","a0BRB00000ynb5w2AA"
"a00RB00002Am2BIYAZ","https://invoice.secure.freee.co.jp/reports/invoices/54153858","a0BRB00000ynb5r2AA"
"a00RB00002Am2BJYAZ","https://invoice.secure.freee.co.jp/reports/invoices/54153862","a0BRB00000ynb5h2AA"
"a00RB00002Am2BKYAZ","https://invoice.secure.freee.co.jp/reports/invoices/54153865","a0BRB00000ynb5b2AA"
"a00RB00002Am2BLYAZ","https://invoice.secure.freee.co.jp/reports/invoices/54153866","a0BRB00000ynb5v2AA"
"a00RB00002Am2BMYAZ","https://invoice.secure.freee.co.jp/reports/invoices/54153874","a0BRB00000ynb6M2AQ"
"a00RB00002Am2BNYAZ","https://invoice.secure.freee.co.jp/reports/invoices/54153880","a0BRB00000ynn5y2AA"
"a00RB00002Am2BOYAZ","https://invoice.secure.freee.co.jp/reports/invoices/54246390","a0BRB00000ynb6e2AA"
"a00RB00002Am2BPYAZ","https://invoice.secure.freee.co.jp/reports/invoices/63077933","a0BRB00000ynb6b2AA"
"a00RB00002Am2BQYAZ","https://invoice.secure.freee.co.jp/reports/invoices/63077936","a0BRB00000ynn612AA"
"a00RB00002Am2BRYAZ","https://invoice.secure.freee.co.jp/reports/invoices/63077941","a0BRB00000ynb6c2AA"
"a00RB00002Am2BSYAZ","https://invoice.secure.freee.co.jp/reports/invoices/63077943","a0BRB00000ynn642AA"
"a00RB00002Am2BTYAZ","https://invoice.secure.freee.co.jp/reports/invoices/63077948","a0BRB00000ynb6o2AA"
"a00RB00002Am2BUYAZ","https://invoice.secure.freee.co.jp/reports/invoices/63077953","a0BRB00000ynb6t2AA"
"a00RB00002Am2BVYAZ","https://invoice.secure.freee.co.jp/reports/invoices/63077959","a0BRB00000ynb6y2AA"
"a00RB00002Am2BWYAZ","https://invoice.secure.freee.co.jp/reports/invoices/63077961","a0BRB00000ynb702AA"
"a00RB00002Am2BXYAZ","https://invoice.secure.freee.co.jp/reports/invoices/63077963","a0BRB00000ynb712AA"
"a00RB00002Am2BYYAZ","https://invoice.secure.freee.co.jp/reports/invoices/63077966","a0BRB00000ynb722AA"
"a00RB00002Am2BZYAZ","https://invoice.secure.freee.co.jp/reports/invoices/63077968","a0BRB00000ynb6z2AA"
"a00RB00002Am2BaYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63077971","a0BRB00000ynb752AA"
"a00RB00002Am2BbYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63077973","a0BRB00000ynb6w2AA"
"a00RB00002Am2BcYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63077976","a0BRB00000ynn552AA"
"a00RB00002Am2BdYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63077979","a0BRB00000ynb762AA"
"a00RB00002Am2BeYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63077983","a0BRB00000ynn582AA"
"a00RB00002Am2BfYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63077986","a0BRB00000ynn562AA"
"a00RB00002Am2BgYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63077990","a0BRB00000ynb6i2AA"
"a00RB00002Am2BhYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63124834","a0BRB00000ynb5Y2AQ"
"a00RB00002Am2BiYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63125492","a0BRB00000ynb5d2AA"
"a00RB00002Am2BjYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63150558","a0BRB00000ynb6A2AQ"
"a00RB00002Am2BkYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63150563","a0BRB00000ynb622AA"
"a00RB00002Am2BlYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63150566","a0BRB00000ynb5x2AA"
"a00RB00002Am2BmYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63150567","a0BRB00000ynb5w2AA"
"a00RB00002Am2BnYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63150543","a0BRB0000124jub2AA"
"a00RB00002Am2BoYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63150569","a0BRB00000ynb5r2AA"
"a00RB00002Am2BpYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63150571","a0BRB00000ynb5h2AA"
"a00RB00002Am2BqYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63150572","a0BRB00000ynb5v2AA"
"a00RB00002Am2BrYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63150579","a0BRB00000ynb6M2AQ"
"a00RB00002Am2BsYAJ","https://invoice.secure.freee.co.jp/reports/invoices/63150581","a0BRB00000ynn5y2AA"
"a00RB00002AvrgkYAB","https://invoice.secure.freee.co.jp/reports/invoices/54153831","a0BRB00000ynn5f2AA"
"a00RB00002AvrglYAB","https://invoice.secure.freee.co.jp/reports/invoices/58573609","a0BRB00000ynn5f2AA"
"a00RB00002AvrgmYAB","https://invoice.secure.freee.co.jp/reports/invoices/63150541","a0BRB00000ynn5f2AA"
"a00RB00002AyE69YAF","https://invoice.secure.freee.co.jp/reports/invoices/54153837","a0BRB00000ynn5T2AQ"
"a00RB00002AyE6AYAV","https://invoice.secure.freee.co.jp/reports/invoices/56527562","a0BRB00000ynn5u2AA"
"a00RB00002AyE6BYAV","https://invoice.secure.freee.co.jp/reports/invoices/56527563","a0BRB00000ynn5v2AA"
"a00RB00002AyE6CYAV","https://invoice.secure.freee.co.jp/reports/invoices/58573596","a0BRB00000ynn5s2AA"
"a00RB00002AyE6DYAV","https://invoice.secure.freee.co.jp/reports/invoices/58573618","a0BRB00000ynn5T2AQ"
"a00RB00002AyE6EYAV","https://invoice.secure.freee.co.jp/reports/invoices/58573658","a0BRB00000ynn5u2AA"
"a00RB00002AyE6FYAV","https://invoice.secure.freee.co.jp/reports/invoices/58573661","a0BRB00000ynn5v2AA"
"a00RB00002AyE6GYAV","https://invoice.secure.freee.co.jp/reports/invoices/56527533","a0BRB00000ynn5T2AQ"
"a00RB00002AyE6HYAV","https://invoice.secure.freee.co.jp/reports/invoices/54153869","a0BRB00000ynn5u2AA"
"a00RB00002AyE6IYAV","https://invoice.secure.freee.co.jp/reports/invoices/54153871","a0BRB00000ynn5v2AA"
"a00RB00002AyE6JYAV","https://invoice.secure.freee.co.jp/reports/invoices/63077925","a0BRB00000ynn622AA"
"a00RB00002AyE6KYAV","https://invoice.secure.freee.co.jp/reports/invoices/63077945","a0BRB00000ynn632AA"
"a00RB00002AyE6LYAV","https://invoice.secure.freee.co.jp/reports/invoices/63150536","a0BRB00000ynn5s2AA"
"a00RB00002AyE6MYAV","https://invoice.secure.freee.co.jp/reports/invoices/63150546","a0BRB00000ynn5T2AQ"
"a00RB00002AyE6NYAV","https://invoice.secure.freee.co.jp/reports/invoices/63150574","a0BRB00000ynn5u2AA"
"a00RB00002AyE6OYAV","https://invoice.secure.freee.co.jp/reports/invoices/63150577","a0BRB00000ynn5v2AA"
"a00RB00002AyetYYAR","https://invoice.secure.freee.co.jp/reports/invoices/54153832","a0BRB00000ynn5d2AA"
"a00RB00002AyetZYAR","https://invoice.secure.freee.co.jp/reports/invoices/54153838","a0BRB00000ynn5P2AQ"
"a00RB00002AyetaYAB","https://invoice.secure.freee.co.jp/reports/invoices/54153841","a0BRB00000ynn5N2AQ"
"a00RB00002AyetbYAB","https://invoice.secure.freee.co.jp/reports/invoices/58573604","a0BRB00000ynn5p2AA"
"a00RB00002AyetcYAB","https://invoice.secure.freee.co.jp/reports/invoices/58573611","a0BRB00000ynn5d2AA"
"a00RB00002AyetdYAB","https://invoice.secure.freee.co.jp/reports/invoices/58573620","a0BRB00000ynn5P2AQ"
"a00RB00002AyeteYAB","https://invoice.secure.freee.co.jp/reports/invoices/58573624","a0BRB00000ynn5N2AQ"
"a00RB00002AyetfYAB","https://invoice.secure.freee.co.jp/reports/invoices/56527528","a0BRB00000ynn5d2AA"
"a00RB00002AyetgYAB","https://invoice.secure.freee.co.jp/reports/invoices/56527535","a0BRB00000ynn5P2AQ"
"a00RB00002AyethYAB","https://invoice.secure.freee.co.jp/reports/invoices/56527537","a0BRB00000ynn5N2AQ"
"a00RB00002AyetiYAB","https://invoice.secure.freee.co.jp/reports/invoices/63150549","a0BRB00000ynn5N2AQ"
"a00RB00002AyetjYAB","https://invoice.secure.freee.co.jp/reports/invoices/63150540","a0BRB00000ynn5p2AA"
"a00RB00002AyetkYAB","https://invoice.secure.freee.co.jp/reports/invoices/63150542","a0BRB00000ynn5d2AA"
"a00RB00002AyetlYAB","https://invoice.secure.freee.co.jp/reports/invoices/63150547","a0BRB00000ynn5P2AQ"
"a00RB00002B0dy5YAB","https://invoice.secure.freee.co.jp/reports/invoices/56527560","a0BRB00000ynn5b2AA"
"a00RB00002B0dy6YAB","https://invoice.secure.freee.co.jp/reports/invoices/58573656","a0BRB00000ynn5b2AA"
"a00RB00002B0dy7YAB","https://invoice.secure.freee.co.jp/reports/invoices/54153867","a0BRB00000ynn5b2AA"
"a00RB00002B0dy8YAB","https://invoice.secure.freee.co.jp/reports/invoices/63150573","a0BRB00000ynn5b2AA"
"a00RB00002B2ejcYAB","https://invoice.secure.freee.co.jp/reports/invoices/60861181","a0BRB000012EChG2AW"
"a00RB00002B2ejdYAB","https://invoice.secure.freee.co.jp/reports/invoices/60861159","a0BRB000012EChM2AW"
"a00RB00002B4i3EYAR","https://invoice.secure.freee.co.jp/reports/invoices/60861169","a0BRB000012EChC2AW"
"a00RB00002B4i3FYAR","https://invoice.secure.freee.co.jp/reports/invoices/60861170","a0BRB000012EChD2AW"
"a00RB00002B4i3GYAR","https://invoice.secure.freee.co.jp/reports/invoices/60861171","a0BRB000012EChE2AW"
"a00RB00002B4i3HYAR","https://invoice.secure.freee.co.jp/reports/invoices/60861179","a0BRB000012EChF2AW"
"a00RB00002B4i3IYAR","https://invoice.secure.freee.co.jp/reports/invoices/60861188","a0BRB000012EChH2AW"
"a00RB00002B4i3JYAR","https://invoice.secure.freee.co.jp/reports/invoices/60861191","a0BRB000012EChI2AW"
"a00RB00002B4i3KYAR","https://invoice.secure.freee.co.jp/reports/invoices/60792923","a0BRB000012EChJ2AW"
"a00RB00002B4i3LYAR","https://invoice.secure.freee.co.jp/reports/invoices/60861154","a0BRB000012EChK2AW"
"a00RB00002B4i3MYAR","https://invoice.secure.freee.co.jp/reports/invoices/60861155","a0BRB000012EChL2AW"
"a00RB00002B4i3NYAR","https://invoice.secure.freee.co.jp/reports/invoices/60861167","a0BRB000012EChN2AW"
"a00RB00002B4i3OYAR","https://invoice.secure.freee.co.jp/reports/invoices/60904124","a0BRB000012EChO2AW"
"a00RB00002B4i3PYAR","https://invoice.secure.freee.co.jp/reports/invoices/60905395","a0BRB000012EChP2AW"
