Id,Name,ContractPeriod__c,Freee_Invoice_Id__c,Freee_Invoice_URL__c
a00RB000023liu7YAA,INV-0000000003,,60979452,https://invoice.secure.freee.co.jp/reports/invoices/60979452
a00RB000024Ux4BYAS,INV-0000000004,a0BRB00000ypw692AA,54529958,https://invoice.secure.freee.co.jp/reports/invoices/54529958
a00RB000024Ux4CYAS,INV-0000000005,a0BRB00000ynb6P2AQ,58486126,https://invoice.secure.freee.co.jp/reports/invoices/58486126
a00RB000024Ux4DYAS,INV-0000000006,a0BRB00000ynb6P2AQ,58486360,https://invoice.secure.freee.co.jp/reports/invoices/58486360
a00RB000024Ux4EYAS,INV-0000000007,a0BRB00000ynb6P2AQ,54695329,https://invoice.secure.freee.co.jp/reports/invoices/54695329
a00RB000024Ux4FYAS,INV-0000000008,a0BRB00000ypw6H2AQ,60417633,https://invoice.secure.freee.co.jp/reports/invoices/60417633
a00RB000024Ux4GYAS,INV-0000000009,a0BRB00000ypw662AA,54361336,https://invoice.secure.freee.co.jp/reports/invoices/54361336
a00RB000024Ux4HYAS,INV-0000000010,a0BRB00000ypw5t2AA,53082772,https://invoice.secure.freee.co.jp/reports/invoices/53082772
a00RB000024Ux4IYAS,INV-0000000011,a0BRB00000ypw6J2AQ,53100155,https://invoice.secure.freee.co.jp/reports/invoices/53100155
a00RB000024Ux4JYAS,INV-0000000012,a0BRB00000ypw6A2AQ,53825605,https://invoice.secure.freee.co.jp/reports/invoices/53825605
a00RB000024Ux4KYAS,INV-0000000013,a0BRB00000ynb5Y2AQ,54237366,https://invoice.secure.freee.co.jp/reports/invoices/54237366
a00RB000024Ux4LYAS,INV-0000000014,a0BRB00000ynb5d2AA,54237761,https://invoice.secure.freee.co.jp/reports/invoices/54237761
a00RB000024Ux4MYAS,INV-0000000015,a0BRB00000ynb6W2AQ,54238142,https://invoice.secure.freee.co.jp/reports/invoices/54238142
a00RB000024Ux4NYAS,INV-0000000016,a0BRB00000ynb692AA,54240654,https://invoice.secure.freee.co.jp/reports/invoices/54240654
a00RB000024Ux4OYAS,INV-0000000017,a0BRB00000ypw6I2AQ,56091285,https://invoice.secure.freee.co.jp/reports/invoices/56091285
a00RB000024Ux4PYAS,INV-0000000018,a0BRB00000ynb6O2AQ,56133730,https://invoice.secure.freee.co.jp/reports/invoices/56133730
a00RB000024Ux4QYAS,INV-0000000019,a0BRB00000ypw6O2AQ,54067648,https://invoice.secure.freee.co.jp/reports/invoices/54067648
a00RB000024Ux4RYAS,INV-0000000020,a0BRB00000ynb6O2AQ,54067657,https://invoice.secure.freee.co.jp/reports/invoices/54067657
a00RB000024Ux4SYAS,INV-0000000021,a0BRB00000ynn622AA,54067660,https://invoice.secure.freee.co.jp/reports/invoices/54067660
a00RB000024Ux4TYAS,INV-0000000022,a0BRB00000ynb6a2AA,54067663,https://invoice.secure.freee.co.jp/reports/invoices/54067663
a00RB000024Ux4UYAS,INV-0000000023,a0BRB00000ypw6E2AQ,54067665,https://invoice.secure.freee.co.jp/reports/invoices/54067665
a00RB000024Ux4VYAS,INV-0000000024,a0BRB00000ypw602AA,54067668,https://invoice.secure.freee.co.jp/reports/invoices/54067668
a00RB000024Ux4WYAS,INV-0000000025,a0BRB00000ynb6b2AA,54067671,https://invoice.secure.freee.co.jp/reports/invoices/54067671
a00RB000024Ux4XYAS,INV-0000000026,a0BRB00000ynn612AA,54067674,https://invoice.secure.freee.co.jp/reports/invoices/54067674
a00RB000024Ux4YYAS,INV-0000000027,a0BRB00000ynb6k2AA,54067677,https://invoice.secure.freee.co.jp/reports/invoices/54067677
a00RB000024Ux4ZYAS,INV-0000000028,a0BRB00000ynb6c2AA,54067679,https://invoice.secure.freee.co.jp/reports/invoices/54067679
