Id,Name,Account__c,ParentContract__c,ParentContract__r.Account__c,ContractPeriod__c,ContractPeriod__r.Contract__c,Billing_Date__c,TargetPeriodStartDate__c,TargetPeriodEndDate__c,TotalAmount__c,AmountWithTax__c,InvoiceAmount__c,TaxAmount__c,PaidAmount__c,UnpaidAmount__c,CancelStatus__c,PaymentStatus__c,Freee_Sync_Status__c,Freee_Invoice_Id__c,Freee_Invoice_URL__c
a00RB000023liu7YAA,INV-0000000003,001RB00001UvdpFYAR,,,,,2026-06-19,,,24000,26400,26400,2400,0,26400,通常,決済待ち,Success,60979452,https://invoice.secure.freee.co.jp/reports/invoices/60979452
a00RB000024Ux4BYAS,INV-0000000004,001RB00001VTrvXYAT,a04RB00000kVL7WYAW,001RB00001VTrvXYAT,a0BRB00000ypw692AA,a04RB00000kVL7WYAW,2026-03-23,,,780000,924000,924000,144000,924000,0,通常,決済済み,Success,54529958,https://invoice.secure.freee.co.jp/reports/invoices/54529958
a00RB000024Ux4CYAS,INV-0000000005,001RB00001VTraTYAT,a04RB00000kUAOUYA4,001RB00001VTraTYAT,a0BRB00000ynb6P2AQ,a04RB00000kUAOUYA4,2026-05-15,,,216000,237600,237600,21600,237600,0,通常,決済済み,Success,58486126,https://invoice.secure.freee.co.jp/reports/invoices/58486126
a00RB000024Ux4DYAS,INV-0000000006,001RB00001VTraTYAT,a04RB00000kUAOUYA4,001RB00001VTraTYAT,a0BRB00000ynb6P2AQ,a04RB00000kUAOUYA4,2026-05-15,,,2880000,3168000,3168000,288000,3168000,0,通常,決済済み,Success,58486360,https://invoice.secure.freee.co.jp/reports/invoices/58486360
a00RB000024Ux4EYAS,INV-0000000007,001RB00001VTraTYAT,a04RB00000kUAOUYA4,001RB00001VTraTYAT,a0BRB00000ynb6P2AQ,a04RB00000kUAOUYA4,2026-03-25,,,49000,53900,53900,4900,53900,0,通常,決済済み,Success,54695329,https://invoice.secure.freee.co.jp/reports/invoices/54695329
a00RB000024Ux4FYAS,INV-0000000008,001RB00001VTrvcYAD,a04RB00000kVL7cYAG,001RB00001VTrvcYAD,a0BRB00000ypw6H2AQ,a04RB00000kVL7cYAG,2026-06-09,,,160000,176000,176000,16000,176000,0,通常,決済済み,Success,60417633,https://invoice.secure.freee.co.jp/reports/invoices/60417633
a00RB000024Ux4GYAS,INV-0000000009,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,001RB00001VTqgBYAT,a0BRB00000ypw662AA,a04RB00000kVL7VYAW,2026-03-19,,,885000,973500,973500,88500,973500,0,通常,決済済み,Success,54361336,https://invoice.secure.freee.co.jp/reports/invoices/54361336
a00RB000024Ux4HYAS,INV-0000000010,001RB00001VcyFLYAZ,a04RB00000kVL7MYAW,001RB00001VcyFLYAZ,a0BRB00000ypw5t2AA,a04RB00000kVL7MYAW,2026-03-02,,,51940,56940,56940,5000,56940,0,通常,決済済み,Success,53082772,https://invoice.secure.freee.co.jp/reports/invoices/53082772
a00RB000024Ux4IYAS,INV-0000000011,001RB00001VTqkoYAD,a04RB00000kVL7eYAG,001RB00001VTqkoYAD,a0BRB00000ypw6J2AQ,a04RB00000kVL7eYAG,2026-03-02,,,1670000,1670000,1670000,151818,1837000,0,通常,決済済み,Success,53100155,https://invoice.secure.freee.co.jp/reports/invoices/53100155
a00RB000024Ux4JYAS,INV-0000000012,001RB00001VcyFMYAZ,a04RB00000kVL7XYAW,001RB00001VcyFMYAZ,a0BRB00000ypw6A2AQ,a04RB00000kVL7XYAW,2026-03-13,,,11700000,12870000,12870000,1170000,12870000,0,通常,決済済み,Success,53825605,https://invoice.secure.freee.co.jp/reports/invoices/53825605
